ID;BJD;RV;e_RV
Corot-24   ;2456317.87538;    21.00;11.00
Corot-24   ;2456317.98925;     5.00;11.00
Corot-24   ;2455163.78250; 51367.00;21.00
Corot-24   ;2455168.80944; 51399.00;23.00
Corot-24   ;2455238.60592; 51382.00;19.00
Corot-24   ;2455238.65085; 51332.00;17.00
Corot-24   ;2455239.58374; 51373.00;13.00
Corot-24   ;2455239.62694; 51379.00;12.00
Corot-24   ;2455244.63174; 51360.00;11.00
Corot-24   ;2455244.67206; 51352.00;14.00
Corot-24   ;2455873.82681; 51297.00;15.00
Corot-24   ;2455887.75733; 51315.00;28.00
Corot-24   ;2455888.76728; 51361.00;24.00
Corot-24   ;2455889.71362; 51302.00;48.00
Corot-24   ;2455890.71149; 51330.00;21.00
Corot-24   ;2455891.77165; 51321.00;16.00
Corot-24   ;2455893.70971; 51319.00;20.00
Corot-24   ;2455894.75240; 51301.00;13.00
Corot-24   ;2455895.74860; 51346.00;28.00
Corot-24   ;2455897.73358; 51367.00;17.00
Corot-24   ;2455898.73570; 51365.00;21.00
Corot-24   ;2455899.75383; 51321.00;14.00
Corot-24   ;2455900.72193; 51315.00;30.00
Corot-24   ;2455940.73120; 51314.00;21.00
Corot-24   ;2455941.60339; 51363.00;17.00
Corot-24   ;2455942.59996; 51311.00;30.00
Corot-24   ;2455944.70908; 51321.00;21.00
Corot-24   ;2455945.60067; 51379.00;22.00
Corot-24   ;2455947.70024; 51344.00;15.00
Corot-24   ;2455948.70078; 51312.00;13.00
Corot-24   ;2455949.58968; 51346.00;23.00
Corot-24   ;2455950.60120; 51327.00;18.00
Corot-24   ;2455951.60073; 51337.00;17.00
Corot-24   ;2456248.72977; 51349.00;31.00
Corot-24   ;2456251.77125; 51344.00;15.00
Corot-24   ;2456255.77752; 51328.00;16.00
HD 3167    ;2457576.70031; 19526.75; 0.75
HD 3167    ;2457576.96772;    -8.69; 0.93
HD 3167    ;2457578.69042; 19521.29; 1.51
HD 3167    ;2457578.95901;   -12.99; 1.05
HD 3167    ;2457579.67410; 19519.00; 1.58
HD 3167    ;2457579.94894;    -5.76; 1.33
HD 3167    ;2457580.11952;    -5.44; 0.56
HD 3167    ;2457580.71980; 19520.10; 1.20
HD 3167    ;2457581.10524;    -0.98; 0.52
HD 3167    ;2457581.92629;    -9.64; 0.84
HD 3167    ;2457582.10629;    -0.94; 0.56
HD 3167    ;2457582.91284;     1.35; 1.10
HD 3167    ;2457583.09193;     1.44; 0.69
HD 3167    ;2457583.12091;    -1.69; 0.90
HD 3167    ;2457584.00624;    -4.15; 1.01
HD 3167    ;2457584.04779;    -0.54; 1.00
HD 3167    ;2457584.09959;     1.12; 0.95
HD 3167    ;2457584.91449;     0.75; 0.97
HD 3167    ;2457584.99283;    -3.53; 0.62
HD 3167    ;2457585.08087;     0.32; 0.55
