   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    0.49500  0.00000000000E+00   1.25302   4.33761  10.31738 -30.00000   0.48253   0.00000  0.00000E+00  9.48630E-01  4.36800E-02  4.77700E-04     0.00120     0.99960     0.00000     0.00070    -0.00004  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0000000000
        2    0.49500  1.53490000000E+04   1.25306   4.33762  10.31739 -30.00000   0.48253   0.00000  0.00000E+00  9.48370E-01  4.39400E-02  4.83300E-04     0.00120     1.00130     0.00000     0.00070    -0.00179  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0003285947
        3    0.49500  3.45360000000E+04   1.25309   4.33762  10.31740 -30.00000   0.48253   0.00000  0.00000E+00  9.48040E-01  4.42500E-02  4.90300E-04     0.00120     1.00320     0.00000     0.00070    -0.00371  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0007393542
        4    0.49500  5.85190000000E+04   1.25312   4.33762  10.31741 -30.00000   0.48253   0.00000  0.00000E+00  9.47630E-01  4.46500E-02  4.99100E-04     0.00130     1.00510     0.00000     0.00070    -0.00567  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0012527875
        5    0.49500  8.84980000000E+04   1.25312   4.33762  10.31742 -30.00000   0.48253   0.00000  0.00000E+00  9.47120E-01  4.51500E-02  5.10300E-04     0.00130     1.00690     0.00000     0.00070    -0.00751  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0018945844
        6    0.49500  1.25972000000E+05   1.25309   4.33760  10.31743 -30.00000   0.48253   0.00000  0.00000E+00  9.46490E-01  4.57700E-02  5.24500E-04     0.00130     1.00850     0.00000     0.00070    -0.00907  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0026968359
        7    0.49500  1.72814000000E+05   1.25304   4.33758  10.31744 -30.00000   0.48253   0.00000  0.00000E+00  9.45690E-01  4.65500E-02  5.42500E-04     0.00140     1.00950     0.00000     0.00070    -0.01019  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0036996396
        8    0.49500  2.31367000000E+05   1.25297   4.33755  10.31748 -30.00000   0.48253   0.00000  0.00000E+00  9.44690E-01  4.75300E-02  5.65400E-04     0.00140     1.01010     0.00000     0.00070    -0.01078  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0049531550
        9    0.49500  3.04558000000E+05   1.25295   4.33750  10.31757 -30.00000   0.48253   0.00000  0.00000E+00  9.43440E-01  4.87400E-02  5.94800E-04     0.00140     1.01020     0.00000     0.00070    -0.01088  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0065200438
       10    0.49500  3.96046000000E+05   1.25305   4.33743  10.31775 -30.00000   0.48253   0.00000  0.00000E+00  9.41880E-01  5.02600E-02  6.32600E-04     0.00140     1.00990     0.00000     0.00070    -0.01065  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0084786388
       11    0.49500  5.10406000000E+05   1.25331   4.33735  10.31804 -30.00000   0.48253   0.00000  0.00000E+00  9.39930E-01  5.21600E-02  6.81400E-04     0.00150     1.00950     0.00000     0.00070    -0.01033  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0109268825
       12    0.49500  6.53356000000E+05   1.25374   4.33726  10.31845 -30.00000   0.48253   0.00000  0.00000E+00  9.37500E-01  5.45200E-02  7.45100E-04     0.00150     1.00930     0.00000     0.00070    -0.01009  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0139871871
       13    0.49500  8.32046000000E+05   1.25431   4.33713  10.31898 -30.00000   0.48253   0.00000  0.00000E+00  9.34860E-01  5.70800E-02  8.19000E-04     0.00150     1.00960     0.00000     0.00070    -0.01039  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0178126214
       14    0.49500  1.05540600000E+06   1.25482   4.33701  10.31949 -30.00000   0.48253   0.00000  0.00000E+00  9.34810E-01  5.71200E-02  8.27800E-04     0.00150     1.00930     0.00000     0.00070    -0.01011  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0225943608
       15    0.49500  1.33460600000E+06   1.25531   4.33683  10.32009 -30.00000   0.48253   0.00000  0.00000E+00  9.31550E-01  6.02800E-02  9.23000E-04     0.00150     1.00950     0.00000     0.00070    -0.01034  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0285715350
       16    0.49500  1.67064600000E+06   1.25596   4.33663  10.32081 -30.00000   0.48253   0.00000  0.00000E+00  9.28300E-01  6.34200E-02  1.02500E-03     0.00150     1.00910     0.00000     0.00070    -0.00992  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0357655523
       17    0.49500  2.07674600000E+06   1.25683   4.33638  10.32175 -30.00000   0.48253   0.00000  0.00000E+00  9.23450E-01  6.81000E-02  1.18300E-03     0.00150     1.00910     0.00000     0.00070    -0.00997  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0444594292
       18    0.49500  2.40518600000E+06   1.25757   4.33617  10.32254 -30.00000   0.48253   0.00000  0.00000E+00  9.19530E-01  7.18800E-02  1.32000E-03     0.00150     1.00910     0.00000     0.00070    -0.00994  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0514907441
       19    0.49500  2.73254600000E+06   1.25832   4.33596  10.32333 -30.00000   0.48253   0.00000  0.00000E+00  9.15690E-01  7.55600E-02  1.46200E-03     0.00150     1.00920     0.00000     0.00070    -0.01000  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0584989380
       20    0.49500  3.06640600000E+06   1.25908   4.33576  10.32412 -30.00000   0.48253   0.00000  0.00000E+00  9.11970E-01  7.91300E-02  1.60800E-03     0.00140     1.00910     0.00000     0.00070    -0.00994  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0656462854
       21    0.49500  3.41647600000E+06   1.25987   4.33554  10.32495 -30.00000   0.48253   0.00000  0.00000E+00  9.07930E-01  8.29900E-02  1.77300E-03     0.00140     1.00920     0.00000     0.00070    -0.00998  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0731406600
       22    0.49500  3.75469600000E+06   1.26065   4.33532  10.32577 -30.00000   0.48253   0.00000  0.00000E+00  9.03950E-01  8.68000E-02  1.94300E-03     0.00140     1.00900     0.00000     0.00070    -0.00985  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0803813471
       23    0.49500  4.08559600000E+06   1.26142   4.33512  10.32657 -30.00000   0.48253   0.00000  0.00000E+00  9.00050E-01  9.05100E-02  2.11700E-03     0.00140     1.00900     0.00000     0.00070    -0.00982  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0874653262
       24    0.49500  4.41588600000E+06   1.26221   4.33491  10.32738 -30.00000   0.48253   0.00000  0.00000E+00  8.96280E-01  9.40900E-02  2.29500E-03     0.00140     1.00900     0.00000     0.00070    -0.00985  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0945362462
       25    0.49500  4.75633600000E+06   1.26303   4.33470  10.32821 -30.00000   0.48253   0.00000  0.00000E+00  8.92560E-01  9.76100E-02  2.47900E-03     0.00140     1.00890     0.00000     0.00070    -0.00970  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.1018246737
       26    0.49500  5.11233600000E+06   1.26387   4.33448  10.32906 -30.00000   0.48253   0.00000  0.00000E+00  8.88820E-01  1.01100E-01  2.67300E-03     0.00140     1.00880     0.00000     0.00070    -0.00960  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.1094459990
