   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    0.52500  0.00000000000E+00   1.33213   4.17101  10.69013 -30.00000   0.48252   0.00000  0.00000E+00  9.48630E-01  4.36800E-02  4.77700E-04     0.11210     0.90070     0.00000     0.00060    -0.01235  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0000000000
        2    0.52500  1.53490000000E+04   1.33400   4.17079  10.69151 -30.00000   0.48252   0.00000  0.00000E+00  9.48350E-01  4.39500E-02  4.83500E-04     0.11000     0.89810     0.00000     0.00060    -0.00753  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0003519248
        3    0.52500  3.45360000000E+04   1.33527   4.17064  10.69244 -30.00000   0.48252   0.00000  0.00000E+00  9.48010E-01  4.42900E-02  4.90800E-04     0.10870     0.89720     0.00000     0.00060    -0.00532  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0007918479
        4    0.52500  5.85190000000E+04   1.33599   4.17055  10.69299 -30.00000   0.48252   0.00000  0.00000E+00  9.47580E-01  4.47100E-02  5.00000E-04     0.10740     0.89790     0.00000     0.00060    -0.00469  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0013417346
        5    0.52500  8.84980000000E+04   1.33628   4.17051  10.69320 -30.00000   0.48252   0.00000  0.00000E+00  9.47040E-01  4.52400E-02  5.11600E-04     0.10610     0.89970     0.00000     0.00060    -0.00517  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0020290988
        6    0.52500  1.25972000000E+05   1.33622   4.17052  10.69316 -30.00000   0.48252   0.00000  0.00000E+00  9.46360E-01  4.59000E-02  5.26300E-04     0.10480     0.90210     0.00000     0.00060    -0.00635  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0028883097
        7    0.52500  1.72814000000E+05   1.33591   4.17056  10.69293 -30.00000   0.48252   0.00000  0.00000E+00  9.45510E-01  4.67300E-02  5.45100E-04     0.10360     0.90460     0.00000     0.00060    -0.00767  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0039623119
        8    0.52500  2.31367000000E+05   1.33542   4.17061  10.69258 -30.00000   0.48252   0.00000  0.00000E+00  9.44450E-01  4.77600E-02  5.69000E-04     0.10250     0.90690     0.00000     0.00060    -0.00873  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0053048261
        9    0.52500  3.04558000000E+05   1.33482   4.17066  10.69218 -30.00000   0.48252   0.00000  0.00000E+00  9.43120E-01  4.90500E-02  5.99800E-04     0.10120     0.90870     0.00000     0.00060    -0.00934  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0069829632
       10    0.52500  3.96046000000E+05   1.33423   4.17068  10.69185 -30.00000   0.48252   0.00000  0.00000E+00  9.41460E-01  5.06700E-02  6.39300E-04     0.10000     0.91010     0.00000     0.00060    -0.00953  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0090806173
       11    0.52500  5.10406000000E+05   1.33374   4.17064  10.69169 -30.00000   0.48252   0.00000  0.00000E+00  9.39390E-01  5.26900E-02  6.90700E-04     0.09870     0.91140     0.00000     0.00060    -0.00946  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0117026849
       12    0.52500  6.53356000000E+05   1.33343   4.17054  10.69173 -30.00000   0.48252   0.00000  0.00000E+00  9.36800E-01  5.52000E-02  7.57700E-04     0.09730     0.91260     0.00000     0.00060    -0.00934  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0149802694
       13    0.52500  8.32046000000E+05   1.33327   4.17037  10.69199 -30.00000   0.48252   0.00000  0.00000E+00  9.34000E-01  5.79200E-02  8.35800E-04     0.09580     0.91440     0.00000     0.00060    -0.00953  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0190773073
       14    0.52500  1.05540600000E+06   1.33327   4.17013  10.69246 -30.00000   0.48252   0.00000  0.00000E+00  9.30150E-01  6.16400E-02  9.46900E-04     0.09420     0.91560     0.00000     0.00060    -0.00929  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0241985475
       15    0.52500  1.28366600000E+06   1.33323   4.16997  10.69277 -30.00000   0.48252   0.00000  0.00000E+00  9.31020E-01  6.07900E-02  9.34600E-04     0.09300     0.91670     0.00000     0.00060    -0.00922  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0294321357
