   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    0.68000  0.00000000000E+00   1.63846   3.69748  11.79036 -30.00000   0.48246   0.00000  0.00000E+00  9.48630E-01  4.36800E-02  4.77700E-04     0.58460     0.44720     0.00000     0.00030    -0.03184  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0000000000
        2    0.68000  1.53490000000E+04   1.64513   3.69686  11.79495 -30.00000   0.48246   0.00000  0.00000E+00  9.48350E-01  4.39500E-02  4.83500E-04     0.55960     0.44330     0.00000     0.00030    -0.00281  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0003695014
        3    0.68000  3.45360000000E+04   1.65034   3.69648  11.79831 -30.00000   0.48246   0.00000  0.00000E+00  9.48000E-01  4.42900E-02  4.90800E-04     0.54910     0.44020     0.00000     0.00030     0.01082  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0008313963
        4    0.68000  5.85190000000E+04   1.65110   3.69652  11.79860 -30.00000   0.48246   0.00000  0.00000E+00  9.47570E-01  4.47200E-02  5.00000E-04     0.55140     0.44020     0.00000     0.00030     0.00853  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0014087468
        5    0.68000  8.84980000000E+04   1.64886   3.69680  11.79692 -30.00000   0.48246   0.00000  0.00000E+00  9.47030E-01  4.52500E-02  5.11700E-04     0.55560     0.44220     0.00000     0.00030     0.00225  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0021304410
        6    0.68000  1.25972000000E+05   1.64623   3.69708  11.79505 -30.00000   0.48246   0.00000  0.00000E+00  9.46350E-01  4.59100E-02  5.26400E-04     0.55780     0.44450     0.00000     0.00030    -0.00219  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0030325648
        7    0.68000  1.72814000000E+05   1.64445   3.69726  11.79380 -30.00000   0.48246   0.00000  0.00000E+00  9.45500E-01  4.67400E-02  5.45200E-04     0.55810     0.44610     0.00000     0.00030    -0.00410  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0041602074
        8    0.68000  2.31367000000E+05   1.64347   3.69735  11.79313 -30.00000   0.48246   0.00000  0.00000E+00  9.44440E-01  4.77700E-02  5.69100E-04     0.55780     0.44720     0.00000     0.00030    -0.00479  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0055697727
        9    0.68000  3.04558000000E+05   1.64299   3.69739  11.79280 -30.00000   0.48246   0.00000  0.00000E+00  9.43120E-01  4.90600E-02  5.99700E-04     0.55730     0.44800     0.00000     0.00030    -0.00512  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0073317234
       10    0.68000  3.96046000000E+05   1.64280   3.69741  11.79268 -30.00000   0.48246   0.00000  0.00000E+00  9.41460E-01  5.06700E-02  6.39200E-04     0.55690     0.44860     0.00000     0.00030    -0.00532  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0095341436
       11    0.68000  5.10406000000E+05   1.64282   3.69739  11.79272 -30.00000   0.48246   0.00000  0.00000E+00  9.39390E-01  5.26800E-02  6.90300E-04     0.55660     0.44910     0.00000     0.00030    -0.00542  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0122871689
       12    0.68000  6.53356000000E+05   1.64301   3.69736  11.79288 -30.00000   0.48246   0.00000  0.00000E+00  9.36810E-01  5.51900E-02  7.57200E-04     0.55620     0.44950     0.00000     0.00030    -0.00544  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0157284506
       13    0.68000  8.32046000000E+05   1.64337   3.69731  11.79317 -30.00000   0.48246   0.00000  0.00000E+00  9.33890E-01  5.80200E-02  8.37800E-04     0.55580     0.45000     0.00000     0.00030    -0.00543  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0200301128
       14    0.68000  1.05540600000E+06   1.64387   3.69724  11.79355 -30.00000   0.48246   0.00000  0.00000E+00  9.31190E-01  6.06400E-02  9.18100E-04     0.55530     0.45040     0.00000     0.00030    -0.00550  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0254071305
       15    0.68000  1.33460600000E+06   1.64456   3.69715  11.79408 -30.00000   0.48246   0.00000  0.00000E+00  9.30210E-01  6.15700E-02  9.56100E-04     0.55530     0.45030     0.00000     0.00030    -0.00532  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0321284025
       16    0.68000  1.68360600000E+06   1.64541   3.69704  11.79471 -30.00000   0.48246   0.00000  0.00000E+00  9.26930E-01  6.47500E-02  1.06000E-03     0.55510     0.45030     0.00000     0.00030    -0.00519  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0405299925
       17    0.68000  2.10015600000E+06   1.64629   3.69694  11.79535 -30.00000   0.48246   0.00000  0.00000E+00  9.21640E-01  6.98500E-02  1.23300E-03     0.55450     0.45080     0.00000     0.00030    -0.00508  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0505577356
       18    0.68000  2.40865600000E+06   1.64688   3.69688  11.79577 -30.00000   0.48246   0.00000  0.00000E+00  9.17710E-01  7.36400E-02  1.37100E-03     0.55390     0.45130     0.00000     0.00030    -0.00497  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0579843560
       19    0.68000  2.71562600000E+06   1.64742   3.69683  11.79615 -30.00000   0.48246   0.00000  0.00000E+00  9.14010E-01  7.71900E-02  1.50800E-03     0.55330     0.45190     0.00000     0.00030    -0.00494  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0653741442
       20    0.68000  3.03966600000E+06   1.64794   3.69678  11.79651 -30.00000   0.48246   0.00000  0.00000E+00  9.10020E-01  8.10100E-02  1.66300E-03     0.55260     0.45250     0.00000     0.00030    -0.00490  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0731748641
       21    0.68000  3.35707600000E+06   1.64840   3.69674  11.79682 -30.00000   0.48246   0.00000  0.00000E+00  9.06010E-01  8.48500E-02  1.82600E-03     0.55180     0.45320     0.00000     0.00030    -0.00478  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0808159778
       22    0.68000  3.66592600000E+06   1.64882   3.69670  11.79709 -30.00000   0.48246   0.00000  0.00000E+00  9.02110E-01  8.85700E-02  1.99200E-03     0.55100     0.45390     0.00000     0.00030    -0.00472  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0882510239
       23    0.68000  3.97392600000E+06   1.64921   3.69667  11.79735 -30.00000   0.48246   0.00000  0.00000E+00  8.98640E-01  9.18700E-02  2.15000E-03     0.55030     0.45470     0.00000     0.00030    -0.00470  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.0956656077
       24    0.68000  4.31984600000E+06   1.64961   3.69665  11.79759 -30.00000   0.48246   0.00000  0.00000E+00  8.94310E-01  9.59900E-02  2.35200E-03     0.54930     0.45550     0.00000     0.00030    -0.00458  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.1039930519
       25    0.68000  4.62990600000E+06   1.64992   3.69664  11.79778 -30.00000   0.48246   0.00000  0.00000E+00  8.90420E-01  9.96900E-02  2.54000E-03     0.54830     0.45650     0.00000     0.00030    -0.00451  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.1114572267
       26    0.68000  4.93887600000E+06   1.65021   3.69663  11.79794 -30.00000   0.48246   0.00000  0.00000E+00  8.86710E-01  1.03200E-01  2.72900E-03     0.54730     0.45750     0.00000     0.00030    -0.00458  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.1188951615
       27    0.68000  5.26229600000E+06   1.65047   3.69662  11.79808 -30.00000   0.48246   0.00000  0.00000E+00  8.82860E-01  1.06800E-01  2.93300E-03     0.54620     0.45860     0.00000     0.00030    -0.00455  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.1266809559
       28    0.68000  5.58746600000E+06   1.65069   3.69663  11.79819 -30.00000   0.48246   0.00000  0.00000E+00  8.78800E-01  1.10700E-01  3.15300E-03     0.54500     0.45960     0.00000     0.00030    -0.00440  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.1345088787
       29    0.68000  5.89728600000E+06   1.65087   3.69663  11.79827 -30.00000   0.48246   0.00000  0.00000E+00  8.74930E-01  1.14300E-01  3.37100E-03     0.54390     0.46070     0.00000     0.00030    -0.00435  7.16900E-01  2.75300E-01  1.25800E-03  5.12600E-04  3.45300E-03   1.1419672759
