Name,MPC,a,e,i,Omega,omega,lambda,beta,Dist,Epoch
385201,c5201,6.2659e+01,2.4596e-01,2.1691e-01,2.4546e+00,3.5674e+00,0.432,-0.199,45.562,2456571.9
385266,c5266,4.2620e+01,9.6267e-02,3.1416e-02,5.0905e+00,3.2062e-02,-0.310,0.025,39.739,2456572.7
385362,c5362,4.6247e+01,1.4415e-01,6.4612e-02,5.7382e+00,2.3427e+00,-0.404,0.010,49.415,2456572.7
385363,c5363,4.4861e+01,7.2286e-02,6.8626e-02,5.9309e+00,3.5469e+00,-0.367,0.000,47.798,2456572.7
385437,c5437,4.4143e+01,7.8867e-02,1.9234e-02,2.0330e+00,1.5107e+00,-2.348,0.018,40.903,2456452.7
385447,c5447,4.3827e+01,2.8743e-02,7.7842e-02,1.9923e+00,3.5342e+00,-0.543,-0.046,42.598,2456571.7
385528,c5528,5.6241e+01,3.3874e-01,1.2076e-01,4.9781e+00,2.2717e-01,-0.929,0.048,37.336,2456572.6
126719,C6719,4.7014e+01,1.9164e-01,1.4591e-02,4.3362e+00,5.3658e+00,3.011,-0.014,38.554,2453766.0
386723,c6723,4.4337e+01,1.4344e-01,5.0773e-01,2.4708e+00,1.7464e+00,1.021,-0.505,50.685,2456330.6
134210,D4210,6.1967e+01,3.9265e-01,1.1313e-01,5.5211e+00,3.6099e-01,-0.454,0.036,37.640,2453727.8
134860,D4860,4.2830e+01,2.1021e-02,1.9443e-02,1.6888e+00,2.5967e+00,-0.544,-0.015,42.698,2453944.9
136199,D6199,6.7754e+01,4.3737e-01,7.6774e-01,6.2795e-01,2.6535e+00,0.407,-0.218,96.255,2457617.7
136472,D6472,4.5494e+01,1.6045e-01,5.0618e-01,1.3865e+00,5.1671e+00,-3.119,0.488,52.453,2457618.4
137294,D7294,4.4969e+01,1.0650e-01,2.3579e-02,2.6054e+00,1.9864e+00,-0.412,-0.003,43.217,2454028.6
138537,D8537,4.6524e+01,1.3952e-01,8.5277e-02,7.6376e-02,6.2664e+00,-0.373,-0.037,40.473,2454003.8
138628,D8628,4.4708e+01,2.6634e-01,2.7416e-01,6.2066e+00,5.4761e+00,0.101,0.051,36.241,2454003.9
143991,E3991,4.4602e+01,1.3702e-01,3.3847e-01,1.1678e+00,1.1348e+00,1.250,0.028,40.984,2454063.0
145451,E5451,9.0849e+01,6.1372e-01,5.0185e-01,1.4773e+00,5.5356e+00,0.894,-0.304,35.145,2454041.9
145452,E5452,4.1510e+01,2.2462e-02,3.3631e-01,3.2637e+00,3.0099e+00,-0.583,0.218,40.723,2454041.6
145453,E5453,4.3224e+01,1.3880e-01,4.9752e-01,1.4983e+00,4.8749e+00,0.887,-0.312,38.418,2454041.9
145474,E5474,9.2200e+01,6.4129e-01,2.8405e-01,2.9732e+00,4.8355e+00,0.418,-0.165,41.752,2454037.8
145480,E5480,7.5705e+01,3.9024e-01,4.6211e-01,3.1495e+00,3.0027e+00,-0.359,0.170,46.563,2454040.7
148112,E8112,4.3916e+01,3.7134e-02,1.3841e-02,3.3514e+00,1.5266e+00,-0.066,0.004,43.453,2452112.0
148780,E8780,4.4246e+01,3.5909e-01,9.0391e-02,2.5779e-02,2.6341e+00,1.082,0.079,45.473,2454741.8
408832,e8832,4.4082e+01,3.9985e-02,3.7542e-02,2.8400e+00,5.1581e+00,-0.305,0.000,44.792,2456901.9
150642,F0642,4.5193e+01,1.1905e-01,1.7832e-01,2.3776e+00,8.2229e-01,2.468,0.018,40.907,2454154.8
415720,f5720,4.3047e+01,6.9924e-02,1.3504e-01,2.4946e-01,5.7573e+00,0.596,0.046,40.981,2456571.9
