JD,Dmag
2453027.27485,-0.073
2453027.27719,-0.017
2453027.27953,-0.076
2453027.28186,-0.024
2453027.28420,-0.030
2453027.28654,-0.038
2453027.28888,-0.027
2453027.32255, 0.054
2453027.32488, 0.050
2453027.32721, 0.017
2453027.32955, 0.023
2453027.33189, 0.030
2453027.33422, 0.044
2453027.33656, 0.029
2453027.33890, 0.042
2453027.34123, 0.052
2453027.39659,-0.089
2453027.40426,-0.091
2453027.40660,-0.084
2453027.40894,-0.090
2453027.41127,-0.100
2453027.41361,-0.079
2453027.41595,-0.094
2453027.41828,-0.058
2453027.42061,-0.069
2453027.43794, 0.023
2453027.44029, 0.045
2453027.44263, 0.002
2453027.44495, 0.013
2453027.44729, 0.049
2453027.44963, 0.062
2453027.45197, 0.018
2453027.45431, 0.055
2453027.45664, 0.082
2453027.45898, 0.134
2453027.35714, 0.054
2453027.36648,-0.040

