   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    0.52000  0.00000000000E+00   1.36333   4.39526  10.25723 -30.00000   0.50374   0.00000  0.00000E+00  9.52290E-01  4.76100E-02  2.55000E-06     0.00180     0.99890     0.00000     0.00060    -0.00009  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0000000000
        2    0.52000  1.53490000000E+04   1.36339   4.39527  10.25725 -30.00000   0.50374   0.00000  0.00000E+00  9.51980E-01  4.79100E-02  9.19900E-06     0.00180     1.00090     0.00000     0.00060    -0.00211  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0003909958
        3    0.52000  3.45360000000E+04   1.36345   4.39527  10.25727 -30.00000   0.50374   0.00000  0.00000E+00  9.51600E-01  4.82800E-02  1.75800E-05     0.00190     1.00290     0.00000     0.00060    -0.00424  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0008797597
        4    0.52000  5.85190000000E+04   1.36349   4.39528  10.25728 -30.00000   0.50374   0.00000  0.00000E+00  9.51120E-01  4.87500E-02  2.81700E-05     0.00200     1.00490     0.00000     0.00060    -0.00627  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0014906954
        5    0.52000  8.84980000000E+04   1.36349   4.39527  10.25730 -30.00000   0.50374   0.00000  0.00000E+00  9.50520E-01  4.93400E-02  4.15600E-05     0.00200     1.00670     0.00000     0.00060    -0.00805  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0022543714
        6    0.52000  1.25972000000E+05   1.36346   4.39526  10.25731 -30.00000   0.50374   0.00000  0.00000E+00  9.49760E-01  5.00800E-02  5.85500E-05     0.00210     1.00800     0.00000     0.00060    -0.00940  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0032089728
        7    0.52000  1.72814000000E+05   1.36342   4.39523  10.25734 -30.00000   0.50374   0.00000  0.00000E+00  9.48820E-01  5.10000E-02  8.01700E-05     0.00210     1.00880     0.00000     0.00060    -0.01024  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0044022118
        8    0.52000  2.31367000000E+05   1.36339   4.39520  10.25740 -30.00000   0.50374   0.00000  0.00000E+00  9.47640E-01  5.21500E-02  1.07800E-04     0.00210     1.00900     0.00000     0.00060    -0.01055  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0058937732
        9    0.52000  3.04558000000E+05   1.36346   4.39515  10.25752 -30.00000   0.50374   0.00000  0.00000E+00  9.46170E-01  5.35800E-02  1.43200E-04     0.00220     1.00890     0.00000     0.00060    -0.01048  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0077582187
       10    0.52000  3.96046000000E+05   1.36368   4.39509  10.25774 -30.00000   0.50374   0.00000  0.00000E+00  9.44330E-01  5.53700E-02  1.88800E-04     0.00220     1.00870     0.00000     0.00060    -0.01024  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0100887565
       11    0.52000  5.10406000000E+05   1.36406   4.39503  10.25806 -30.00000   0.50374   0.00000  0.00000E+00  9.42040E-01  5.76100E-02  2.47900E-04     0.00220     1.00840     0.00000     0.00060    -0.01001  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0130019287
       12    0.52000  6.53356000000E+05   1.36460   4.39495  10.25849 -30.00000   0.50374   0.00000  0.00000E+00  9.39170E-01  6.04000E-02  3.25300E-04     0.00220     1.00830     0.00000     0.00060    -0.00988  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0166433939
       13    0.52000  8.32046000000E+05   1.36529   4.39485  10.25903 -30.00000   0.50374   0.00000  0.00000E+00  9.35590E-01  6.38700E-02  4.27300E-04     0.00220     1.00820     0.00000     0.00060    -0.00982  7.56200E-01  2.43700E-01  1.68800E-05  4.68400E-06  4.22200E-05   1.0211952891
