BJD,RV,ERV
2454915.70975,5199.98,6.11
2454932.61601,5189.56,2.43
2454933.59601,5179.59,2.01
2454934.57997,5191.11,2.48
2454935.60739,5183.04,2.11
2454936.61886,5185.69,2.06
2454937.58617,5189.86,2.75
2454938.63577,5181.61,2.08
2454939.62624,5190.88,2.84
2454940.64011,5189.82,2.36
2454941.59308,5182.86,1.75
2455231.82528,5189.43,3.92
2455234.69969,5188.41,2.96
2455236.83937,5194.23,2.69
2455237.80773,5189.28,2.25
2455238.83698,5200.8,2.03
2455239.79166,5192.71,2.11
2455240.75711,5190.16,3.22
2455241.74653,5201.15,2.48
2455241.88258,5199.84,2.25
2455242.67201,5190.25,2.12
2455242.87245,5193.4,2.16
2455243.70452,5200.77,2.51
2455243.86573,5202.18,2.21
2455244.74047,5201.31,2.01
2455244.86183,5199.5,1.91
2455245.72825,5193.7,2.49
2455245.85334,5193.81,2.48
2455248.58878,5188.14,2.64
2455248.76025,5197.02,2.6
2455248.90745,5194.28,3.63
2455272.67494,5194.58,2.22
2455275.69127,5199.19,2.99
2455276.60367,5196.51,3.03
2455277.67914,5193.67,2.32
2455278.67146,5204.72,2.88
2455279.65482,5191.78,4.03
2455281.60269,5201.84,2.7
2455284.67845,5195.32,2.2
2455295.60381,5190.07,2.61
2455296.60277,5197.29,2.85
2455298.63579,5196.7,2.32
2455299.63317,5205.7,3.33
2455300.57068,5196.02,3.46
2455301.55798,5195.25,2.96
2455349.50314,5194.7,3.81
2455351.52827,5188.45,2.46
2455352.50838,5198.3,2.86
2455353.51889,5197.7,2.48
2455354.49993,5192.98,2.19
2455372.47122,5188.48,2.65
2455373.48491,5195.04,2.99
2455374.47029,5202.54,4.78
2455375.47541,5193.37,0.0
