BJD,RV,ERV
2455367.10283,-7.68,4.28
2455376.96302,3.26,3.89
2455377.95045,-2.78,3.73
2455433.94191,14.54,4.22
2455696.94936,12.64,3.97
2455697.95229,2.17,4.29
2455698.94891,-4.71,3.98
2455700.02767,10.59,4.03
2455734.0527,-1.17,3.67
2455735.98664,-13.52,3.84
2455739.04963,-2.81,4.63
2455751.9358,-16.11,3.97
2455752.79368,-18.65,3.7
2455759.96606,5.85,3.59
2455760.80952,-4.73,3.78
2455761.10265,-4.29,3.67
2455762.10029,5.63,4.1
2455762.11012,1.44,3.86
2455762.11822,-13.47,5.07
2455762.89149,-3.59,3.28
2455763.84074,-8.05,3.75
2455768.8528,-8.83,3.9
2455769.94389,8.72,4.09
2455782.06515,-6.14,4.58
2455787.76293,-0.92,4.28
2455788.93821,-5.17,3.93
2455789.79806,1.01,4.21
2455789.80494,3.83,4.57
2455790.7556,-3.04,3.81
2455791.93317,-0.39,3.94
2455792.76727,3.7,3.76
2455794.92552,17.95,4.26
2455796.8932,16.45,3.96
2455798.75925,3.79,3.96
2455806.78943,14.91,3.97
2455808.79746,20.19,3.8
2455810.73483,7.34,4.1
2455814.92726,15.1,4.13
2455903.69936,10.63,4.06
2456079.87262,-1.44,4.36
2456080.10975,4.4,4.07
2456114.85223,3.4,4.35
2456134.92989,-11.23,3.95
2456139.02836,-3.47,4.17
2456145.94414,-0.85,4.72
2456147.80684,-5.67,4.06
2456148.83991,-6.37,4.43
2456152.9627,16.32,4.35
2456163.79434,22.99,4.15
2456194.8223,6.48,4.58
2455803.3364,10.11,16.0
2455809.5034,25.41,19.0
2455810.4814,-10.69,25.0
2455811.394,-4.09,12.0
2455828.2935,-5.79,10.0
2455855.2837,-9.89,19.0
2455857.2627,-15.39,17.0
2455877.6963,4.21,16.0
2455878.2544,1.01,16.0
2455879.2661,-14.69,16.0
2455882.3022,13.81,16.0
2455883.2764,20.81,15.0
