BJD,RV,ERV
2454277.73202,-2.14,1.02
2454277.73264,-3.96,1.06
2454277.73325,-2.95,0.97
2454278.73377,-7.07,0.97
2454279.73075,-1.57,0.99
2454280.74026,-1.56,1.1
2454285.76437,-5.15,0.99
2454285.76522,-8.81,0.99
2454294.7376,-6.49,0.95
2454294.73846,-7.72,0.94
2454294.73928,-3.53,1.02
2454304.73589,4.3,0.97
2454304.7366,4.53,1.06
2454305.7363,2.72,0.95
2454305.73687,5.6,0.93
2454306.80024,5.43,0.87
2454306.80103,0.84,0.96
2454307.7342,-4.75,0.91
2454307.7348,-3.5,0.98
2454307.73543,-2.97,1.0
2454308.73523,3.42,0.86
2454308.73582,-0.66,0.96
2454309.73851,2.37,0.92
2454310.73545,-2.21,0.97
2454311.73296,2.64,0.98
2454312.73392,-0.11,0.89
2454312.73459,-2.92,0.87
2454313.73496,0.78,0.98
2454314.73608,-3.7,1.0
2454455.16774,-2.67,1.18
2454456.15784,3.22,1.15
2454462.16751,14.17,4.4
2454465.1389,-0.59,1.17
2454491.10891,7.09,1.09
2454545.03961,-5.09,1.11
2454546.03027,4.09,1.2
2454547.03936,0.45,1.18
2454600.92698,9.4,1.15
2454601.87647,6.94,1.03
2454634.78181,6.92,1.03
2454666.78674,-6.46,0.9
2454666.78737,-8.94,1.1
2454666.788,-3.27,0.99
2454666.78863,-4.77,0.98
2454666.78926,0.11,0.93
2454666.78988,-5.74,0.91
2454666.79051,-6.53,0.95
2454666.79112,-5.06,0.96
2454667.78726,-0.69,0.94
2454667.78786,-1.11,0.93
2454667.78847,-4.05,1.0
2454667.7891,-4.08,0.95
2454667.78972,-4.24,0.91
2454667.79032,-2.2,0.95
2454667.79095,-0.52,0.88
2454667.79154,-2.34,0.97
2454671.8003,-2.62,0.94
2454671.80096,-4.19,0.94
2454671.80163,-6.84,0.98
2454671.8023,-2.33,0.98
2454671.803,-1.6,0.91
2454671.80366,-1.06,0.99
2454671.80432,-5.63,0.99
2454671.805,-2.2,1.01
2454672.78327,-1.14,0.93
2454672.7839,-3.55,0.9
2454672.78466,-1.89,0.98
2454672.78529,-4.3,0.88
2454672.78596,-4.55,0.93
2454672.78662,-2.46,0.96
2454672.78728,-1.47,0.97
2454672.78794,-1.89,1.02
2454673.79535,-5.85,0.98
2454673.79599,-2.16,0.89
2454673.79664,-3.19,0.94
2454673.79728,-2.66,0.95
2454673.79792,-2.87,0.99
2454673.79856,-3.04,0.87
2454673.7992,-5.3,0.96
2454673.79985,-2.01,0.97
2454675.79109,-3.12,0.92
2454675.79562,-1.33,1.06
2454675.79913,-2.93,1.05
2454701.73329,2.86,1.02
2454701.7344,-0.45,0.99
2454701.73563,0.78,1.09
2454701.73689,1.55,1.04
2454701.73797,-0.27,1.15
2454701.73914,-0.13,1.07
2454701.74032,1.33,1.07
2454701.74171,5.62,1.07
2454702.73098,2.04,1.03
2454702.73169,-1.98,1.07
2454702.7324,5.25,0.93
2454702.73324,6.58,1.08
2454702.73397,5.18,0.94
2454702.73468,4.43,1.06
2454702.73539,3.38,1.05
2454702.73625,0.85,1.11
2454703.72919,-3.54,1.16
2454703.73028,-3.19,1.05
2454703.7311,-0.52,1.07
2454703.73193,-1.24,1.08
2454703.73286,-2.29,1.09
2454819.16418,1.12,1.12
2454819.16481,2.1,1.05
2454819.16544,-1.58,1.11
2454819.16605,-5.9,1.11
2454819.16683,4.32,1.11
2454819.16744,1.38,1.01
2454819.16803,0.13,1.12
2454819.16863,-0.82,1.11
2454820.17494,0.07,1.09
2454820.1756,1.91,1.05
2454820.17623,1.8,1.14
2454820.17685,4.44,1.11
2454820.17745,3.32,1.11
2454821.14535,4.31,2.29
2454821.14596,-0.05,2.57
2454821.14659,-3.93,2.43
2454821.14723,-2.89,2.43
2454821.14782,3.07,2.45
2454821.14845,4.19,2.27
2454821.14905,5.57,2.4
2454821.14965,1.85,2.44
2454822.14406,1.69,1.72
2454822.14468,-2.05,1.82
2454822.14527,0.89,1.67
2454822.14589,-0.83,1.75
2454822.14648,0.03,1.78
2454822.14721,0.69,1.65
2454822.14784,-3.21,1.7
2454822.14841,-0.56,1.79
2454823.16683,-4.27,1.05
2454823.16743,-2.59,1.08
2454823.16802,0.89,1.14
2454823.16861,2.31,1.02
2454823.1692,3.02,1.17
2454823.16978,-1.85,1.07
2454823.17051,0.25,1.03
2454823.1711,3.71,1.18
2454866.0655,9.56,2.98
2454873.10229,-0.84,1.11
2454873.10381,4.21,1.18
2454873.10521,5.74,1.06
2454873.10668,1.23,1.13
2454873.1078,2.63,1.15
2454903.14096,-6.68,1.14
2454903.14163,-2.62,1.08
2454903.14227,-2.29,1.1
2454903.14292,-6.16,1.08
2454903.1437,-3.3,1.18
2454903.14441,-2.92,1.14
2454967.98199,-3.02,1.16
2454967.98277,-3.12,1.1
2454967.98351,0.73,1.03
2454967.98413,-2.12,1.12
2454967.98478,-2.19,1.05
2454967.98544,0.09,1.0
2454967.98608,3.59,1.1
2454967.98685,2.74,1.15
2454968.97412,-2.25,1.03
2454968.9749,1.45,1.05
2455021.82922,-1.36,1.01
2455021.83006,1.44,0.96
2455021.83086,9.69,0.93
2455021.83164,6.0,1.09
2455021.83243,2.73,1.02
2455021.83322,6.81,1.07
2455021.83411,3.17,1.0
2455021.83482,-1.4,1.01
2455022.83932,0.89,0.9
2455022.84,5.63,0.95
2455022.84071,6.69,1.1
2455022.84143,7.27,1.01
2455022.84214,3.26,0.92
2455022.84281,4.93,1.06
2455022.84348,7.41,0.88
2455022.84414,3.02,0.97
2455023.74336,3.32,1.0
2455023.74429,2.49,1.04
2455023.74505,4.95,1.04
2455023.74583,4.15,1.0
2455023.74672,2.75,0.98
2455023.74765,4.71,0.98
2455023.74857,1.28,0.95
2455023.7495,0.17,0.94
2455024.8401,1.12,0.88
2455024.84075,6.51,0.94
2455024.84139,1.14,0.91
2455024.84204,2.05,0.89
2455024.8427,0.75,0.89
2455024.84333,2.56,0.88
2455024.84399,3.36,0.97
2455024.84466,-1.04,0.94
2455049.76204,-4.13,0.93
2455049.76268,-5.79,1.02
2455049.76332,-3.85,0.93
2455049.764,-3.36,0.97
2455049.76466,-2.32,0.9
2455049.76535,-1.0,1.01
2455049.766,-4.16,0.88
2455049.76664,-4.21,0.91
2455053.76084,-5.16,0.95
2455053.76149,-3.11,1.05
2455053.76213,-1.07,0.97
2455053.76278,-1.08,0.88
2455053.76341,-4.17,0.94
2455053.76404,-0.72,0.98
2455190.17274,-10.93,3.6
2455201.10994,-12.34,3.46
2455201.11073,-9.58,3.49
2455201.1114,-14.7,3.33
2455201.11207,-15.71,3.49
2455201.11272,-12.41,3.35
2455202.13113,-11.23,3.33
2455202.13177,-17.06,3.42
2455202.1324,-11.04,3.5
2455202.13302,-16.24,3.51
2455202.13362,-17.1,3.26
2455203.10206,-7.11,3.48
2455203.1027,-6.02,3.45
2455203.10332,-6.98,3.3
2455203.10396,-9.31,3.36
2455203.10457,-6.38,3.38
2455203.10521,-4.39,3.42
2455259.93535,1.04,1.06
2455259.93597,3.93,1.16
2455259.9366,4.21,1.15
2455259.93722,7.76,1.12
2455259.93798,3.43,1.14
2455259.93861,4.76,1.21
2455259.93924,6.73,1.08
2455259.94031,5.94,1.14
2455259.94093,6.97,1.15
2455286.01557,-1.06,1.3
2455286.01625,-2.48,1.32
2455312.9331,1.81,1.16
2455312.93367,2.66,1.15
2455312.93425,4.9,1.28
2455314.76977,-3.56,1.05
2455314.77043,-7.15,1.24
2455314.77109,0.09,1.13
2455319.79484,-5.96,1.23
2455319.79682,-5.41,1.18
2455339.97962,2.05,1.09
2455339.98053,2.01,1.08
2455339.98138,-2.05,1.11
2455339.98236,2.17,1.07
2455339.98314,-1.3,1.13
2455342.80495,3.66,1.05
2455342.80553,5.05,1.05
2455342.80611,4.86,1.14
2455343.77126,4.45,1.17
2455343.77185,3.24,1.14
2455343.77243,3.26,1.15
2455344.81234,0.02,1.15
2455344.81304,-7.05,1.16
2455344.81365,-0.98,1.23
2455350.90521,0.91,1.17
2455350.90583,1.88,1.14
2455350.90648,3.06,1.18
2455371.85346,1.82,0.91
2455371.85413,7.38,0.93
2455371.85478,4.64,0.98
2455371.85544,7.48,0.96
2455371.85611,6.99,0.93
2455371.85675,4.47,1.04
2455379.73748,-3.23,0.98
2455379.73804,-0.95,0.95
2455379.73861,-5.65,1.05
2455402.73994,-3.25,1.1
2455408.74075,-2.76,0.96
2455408.74152,-4.07,0.98
2455408.74224,2.09,0.99
2455408.74293,0.86,0.93
2455408.74355,0.04,0.88
2455408.74419,-2.75,0.94
2455409.75059,5.83,0.97
2455409.7513,4.8,0.97
2455409.75202,2.74,0.9
2455409.75286,4.6,0.97
2455409.7536,0.0,1.02
2455409.75436,1.31,1.04
2455549.17019,5.5,1.09
2455580.06201,-8.0,3.56
2455580.06286,-12.08,3.26
2455580.06363,-8.52,3.39
2455580.06463,-16.8,3.43
2455580.06575,-10.84,3.39
2455606.03799,-9.64,3.54
2455606.03869,-12.27,3.74
2455606.03927,-12.28,3.25
2455607.05222,13.34,3.48
2455607.05281,12.39,3.45
2455607.05339,18.26,3.68
2455607.98396,-2.18,3.64
2455607.98462,-10.23,3.4
2455607.98526,-2.31,3.32
2455609.03502,3.18,1.09
2455609.03568,0.31,1.14
2455609.03635,7.34,1.15
2455609.03701,3.79,0.99
2455609.03768,7.06,1.09
2455609.03847,6.46,1.1
2455609.03913,2.43,1.08
2455612.96711,1.18,1.09
2455612.96799,-4.94,1.1
2455612.96871,-3.35,1.08
2455614.13149,-1.09,1.08
2455614.13207,-4.05,1.06
2455614.13265,1.92,1.1
2455615.05665,0.15,1.23
2455615.05731,-4.95,1.2
2455615.0586,-4.22,1.26
2455634.06603,7.37,1.13
2455634.06661,0.51,1.05
2455634.0672,4.7,1.22
2455635.09526,-0.33,1.21
2455635.09597,-2.37,1.18
2455635.09657,5.27,1.05
2455636.05448,-1.31,1.17
2455636.05507,-5.61,1.15
2455636.05566,-0.42,1.15
2455636.97706,4.75,1.17
2455636.9777,4.71,1.21
2455636.9783,3.14,1.13
2455637.91869,1.47,1.12
2455637.91933,5.33,1.08
2455637.92,3.63,1.06
2455637.92066,0.88,1.07
2455637.92131,4.0,1.07
2455637.92196,1.28,1.09
2455639.06282,-1.7,1.11
2455639.06346,2.84,1.19
2455639.0641,0.03,1.07
2455639.06475,2.91,1.17
2455639.06551,5.84,1.05
2455639.06617,2.24,1.06
2455664.86566,-7.66,1.15
