BJD,RV,ERV
2456998.7664,18421.17,1.06
2457000.72225,18419.7,0.98
2457000.836,18420.24,0.89
2457001.86042,18423.2,1.58
2457002.83667,18422.6,0.92
2457003.69973,18420.31,0.87
2457003.78074,18420.83,0.85
2457008.79466,18425.54,0.89
2457009.75828,18423.43,0.96
2457018.76766,18422.74,0.89
2457019.80528,18423.18,0.86
2457020.76885,18423.28,0.94
2457021.78178,18424.32,0.88
2457022.82316,18422.67,0.84
2457044.69391,18426.48,1.18
2457045.68033,18425.37,0.88
2457046.71142,18424.6,1.11
2457047.72084,18422.74,0.94
2457048.66108,18422.84,0.95
2457049.68145,18422.13,0.92
2457050.64499,18421.84,0.95
2457051.72485,18419.91,0.95
2457052.72246,18421.08,0.83
2457058.69499,18421.67,0.91
2457061.73188,18421.6,0.94
2457062.69532,18424.6,0.85
2457100.5922,18427.45,1.16
2457101.56302,18427.45,1.18
2457103.55959,18426.49,1.0
2457104.56663,18425.9,0.96
2457114.553,18423.45,0.9
2457115.52446,18423.45,0.86
2457116.54704,18425.55,1.0
2457117.52069,18422.67,0.97
2457135.48164,18419.98,0.81
2457141.46048,18419.9,0.82
2457143.4834,18422.74,0.92
2457144.47167,18422.15,1.13
2457306.87947,18424.13,0.91
2457308.87637,18425.39,0.89
2457311.88414,18423.8,0.83
2457312.87625,18423.51,0.83
2457318.83951,18421.74,0.83
2457319.83814,18420.68,1.37
2457325.82238,18422.36,0.79
2457371.73013,18423.36,0.84
2457372.82855,18421.51,0.81
2457389.78107,18423.24,0.86
2457390.7622,18423.03,0.82
2457391.75048,18422.65,1.27
2457401.6752,18423.79,0.81
2457404.70092,18424.73,0.87
2457405.65507,18423.84,0.77
2457412.63903,18421.32,0.95
2457415.65742,18422.56,0.92
2457416.66701,18425.0,0.99
2457418.61465,18423.73,1.0
2457420.6592,18424.61,0.78
2457422.66008,18423.47,0.78
2457446.58277,18419.12,0.81
2457447.57985,18421.15,0.88
2457448.54977,18419.38,0.86
2457449.54183,18418.05,0.82
2457450.54716,18423.01,0.88
2457451.55851,18421.52,0.83
2457452.57437,18421.87,0.83
2457453.59667,18419.89,0.75
2457470.58355,18422.02,0.99
2457473.51514,18422.53,1.04
2457474.49933,18424.79,0.82
2457475.53734,18424.11,0.94
2457476.55329,18423.9,0.83
2457479.55567,18424.17,0.79
2457486.49327,18418.31,0.99
2457487.48794,18421.97,0.91
2457488.4752,18420.76,0.89
2457501.50549,18424.17,4.27
2457504.51988,18421.34,5.92
2457660.90433,18417.22,1.03
2457661.89777,18416.12,0.96
2450807.01458,0.88,1.85
2450837.85858,4.97,1.77
2450838.84929,2.68,1.92
2450861.83907,3.15,1.96
2451071.13242,-9.83,1.67
2451172.93999,1.32,1.79
2451226.89296,-1.91,1.92
2451544.07251,-0.82,2.15
2451884.11323,-2.22,1.64
2452007.79502,-1.39,2.23
2452235.98714,-1.18,2.08
2452574.08044,-4.06,2.03
2452988.95889,-2.94,2.28
2453368.98794,1.75,1.75
2453723.9822,-3.54,1.91
2453723.98858,-1.09,1.77
2453775.88556,-2.62,2.01
2453775.89176,-0.73,1.9
2453841.79029,1.67,1.82
2453841.79666,0.2,1.84
2454130.91844,3.87,1.96
2454130.92494,-0.41,2.13
2454398.11825,3.87,1.77
2454430.06895,2.63,2.01
2454455.00348,1.32,2.3
2454456.04088,2.25,2.0
2454459.05375,3.48,2.24
2454461.08271,2.41,1.99
2454462.07542,1.49,2.42
2454462.08177,-7.94,2.75
2454490.92854,4.33,2.03
2454544.86829,-2.43,1.78
2454600.80708,4.93,1.82
2455173.06714,2.66,1.64
2455257.97358,-1.24,1.98
2455258.86201,4.32,1.85
2455259.86251,-0.88,1.62
2455289.86721,-1.06,1.73
2455338.74418,-0.47,1.89
2455339.74324,-10.22,2.66
2455340.74336,0.12,2.08
2455341.74352,-1.27,2.07
2455463.10296,-0.7,1.85
2455464.09997,-1.68,1.7
2455464.10742,-0.43,1.67
2455491.05428,0.32,1.62
2455516.13703,-3.96,1.66
2455516.1445,-3.13,1.59
2455517.11972,-0.4,1.53
2455517.12726,0.0,1.87
2455518.14494,-1.39,1.75
2455578.94514,0.45,2.09
2455579.84193,-0.27,2.41
2455579.84924,-1.43,2.32
2455580.82413,-6.93,3.28
2455608.97962,6.45,2.27
2455634.87662,6.46,2.01
2455637.81751,4.19,1.92
2455669.77282,1.32,1.74
2455826.1124,-2.05,2.0
2455841.07628,2.16,2.62
2455841.08296,3.54,1.85
2455841.09063,2.44,1.73
2455875.09472,1.43,1.94
2455877.09894,-2.93,1.88
2455879.07545,-1.65,1.67
2455902.01704,-7.88,1.64
2455904.92487,-3.8,1.96
2455910.94296,0.74,1.84
2455972.02666,4.6,1.97
2456203.08294,-0.16,1.87
2456208.06962,4.44,1.71
2456289.98566,1.29,1.92
2456675.98262,1.7,1.65
2456675.99001,3.65,1.62
