BJD,RV,ERV
2454396.70604,13596.14,1.34
2454397.78153,13596.39,1.35
2454398.6954,13595.08,1.76
2454399.58348,13591.25,1.6
2454400.61506,13594.04,1.78
2454400.81984,13596.35,2.1
2454402.68105,13596.57,1.46
2454403.67552,13596.5,1.23
2455463.83757,13598.38,1.72
2455465.87409,13596.53,2.34
2455577.55211,13600.58,1.34
2455579.58178,13600.73,1.55
2455580.58711,13601.73,1.84
2455583.52684,13599.76,1.44
2455585.53757,13600.33,1.68
2455586.52727,13595.96,1.64
2455587.52434,13600.89,2.84
2455889.63637,13597.85,1.72
2456237.61108,13600.69,2.03
2456255.58562,13595.93,1.63
2456285.58439,13599.13,1.6
2456304.62304,13596.74,1.75
2456509.90414,13599.78,2.08
2456510.90253,13601.85,1.91
2456514.90304,13594.38,2.13
2456515.86467,13595.45,1.57
2456516.93203,13601.64,2.46
2456518.90401,13596.08,1.97
2456519.87841,13592.64,1.45
2456520.84446,13595.43,2.06
2456521.88049,13594.97,1.89
2456523.87228,13599.93,2.1
2456524.83322,13594.75,1.67
2456525.83318,13595.67,1.79
2456530.89489,13597.21,2.58
2456531.77618,13592.03,2.16
2456532.74647,13601.33,2.46
2456532.86161,13602.45,2.39
2456534.7568,13600.47,2.4
2456534.89588,13602.16,1.56
2456536.75905,13594.96,1.92
2456536.81971,13595.93,4.5
2456537.75361,13597.95,2.22
2456537.91063,13595.47,1.9
2456538.80014,13595.73,2.3
2456564.80754,13601.27,1.76
2456568.78956,13600.92,2.21
2456569.76269,13602.58,1.93
2456576.74246,13599.96,1.64
2456583.73369,13601.94,1.53
2456586.68143,13600.87,1.8
2456590.71281,13597.42,2.18
2456591.70593,13597.57,2.42
2456592.6883,13600.16,1.69
2456593.70292,13602.19,1.69
2456594.58593,13607.13,2.32
2456599.66094,13604.05,2.31
2456600.63634,13604.85,2.25
2456601.68428,13600.88,1.52
2456602.66668,13595.24,1.83
2456603.74752,13597.84,1.65
2456604.63331,13600.27,1.74
2456610.65208,13598.81,2.3
2456612.60851,13601.96,2.04
2456614.56944,13601.08,1.9
2456616.67035,13601.3,1.63
2456619.5967,13594.26,2.51
2456622.6427,13600.49,1.8
2456623.67045,13598.46,1.74
2456624.6692,13597.89,1.59
2456625.72761,13595.82,1.75
2456626.67129,13597.58,1.79
2456627.68069,13597.32,1.58
2456628.66135,13602.77,3.43
2456629.70262,13600.34,2.11
2456630.63574,13600.75,2.39
2456632.59945,13599.53,1.81
2456677.57779,13602.0,2.06
2456678.54128,13597.72,1.97
2456814.93075,13600.61,2.98
2456815.92986,13598.63,2.52
2456817.92447,13596.21,2.6
2456824.94321,13595.38,2.05
2456826.9531,13604.91,1.95
2456827.94512,13600.32,2.19
2456828.95337,13606.8,2.15
2456838.93107,13599.5,2.0
2456839.92406,13603.32,3.18
2456840.92412,13597.65,2.76
2456841.92307,13598.92,2.56
2456858.92605,13594.95,1.68
2456862.91678,13600.73,1.97
2456863.9256,13597.27,2.2
2456871.87301,13597.18,2.11
2456872.89583,13601.34,2.41
2456873.91859,13597.68,3.69
2456874.91426,13597.49,2.2
2456920.85559,13600.22,2.24
2456921.82252,13601.22,1.7
2456922.83121,13604.85,1.8
2456923.88902,13600.45,3.14
2456924.81682,13593.78,1.67
2456925.78381,13597.6,1.73
2456926.78293,13597.51,2.32
2456927.75916,13601.14,1.89
2456928.74336,13601.52,1.59
2456929.71385,13598.28,2.11
2456931.80354,13599.21,1.63
2456932.80158,13598.45,1.89
2456948.8586,13592.38,1.72
2456951.68954,13596.49,1.82
2456989.58146,13596.9,1.94
2456990.64899,13595.85,1.87
2456992.57167,13596.97,1.76
2456992.69971,13596.97,1.94
2456993.60377,13600.24,1.86
2456994.57794,13598.71,2.1
2456996.74681,13597.95,2.08
2456997.63008,13595.73,1.97
2456997.74389,13596.32,2.23
2456998.61261,13597.49,1.6
2456998.72773,13597.63,2.15
2456999.59055,13599.04,1.48
2456999.69141,13600.06,2.18
2457000.62473,13597.98,1.8
2457002.60013,13593.99,1.75
2457002.72562,13594.03,1.86
2457003.59254,13596.58,1.65
2457003.74154,13597.92,1.82
2457008.59335,13598.29,2.03
2457009.59061,13595.17,1.71
2457018.59036,13602.78,1.71
2457019.57881,13604.69,1.89
2457020.5828,13600.28,1.64
2457021.59189,13590.9,3.73
2457022.61422,13596.23,1.66
2457044.55095,13597.06,1.53
2457045.54916,13595.07,1.66
2457046.55465,13595.48,1.87
2457047.56989,13601.57,1.68
2457048.54832,13601.42,1.57
2457049.5291,13597.64,1.5
2457050.54603,13594.15,1.67
2457051.54506,13595.32,2.09
2457052.55138,13594.77,1.65
2457053.5485,13603.93,1.98
2457054.53877,13597.66,1.71
2457055.53875,13597.12,1.76
