BJD,RV,ERV
2456762.63937,-19166.52,1.93
2456764.64751,-19168.57,1.45
2456765.62266,-19178.93,1.38
2456766.63719,-19182.07,5.99
2456768.66932,-19174.07,1.75
2456769.73746,-19168.53,1.16
2456783.56109,-19175.1,1.19
2456784.56484,-19177.03,1.15
2456785.61766,-19177.83,1.43
2456798.57631,-19166.23,0.99
2456799.56136,-19168.19,1.32
2456800.55176,-19167.1,1.14
2456801.52421,-19166.8,1.3
2456802.53981,-19164.89,2.0
2456803.57285,-19164.08,1.79
2456813.51632,-19171.77,0.88
2456814.53706,-19163.74,1.07
2456816.63985,-19163.67,0.9
2456828.45594,-19165.01,1.78
2456829.42343,-19163.63,1.23
2456830.4542,-19169.56,1.11
2456831.71397,-19165.78,1.04
2456832.46888,-19163.67,1.15
2456833.53147,-19173.73,1.38
2456834.45186,-19169.47,1.17
2456835.49776,-19174.28,1.18
2456836.45227,-19166.71,1.71
2456836.61417,-19164.59,1.42
2456845.43355,-19162.66,1.31
2456846.48138,-19173.12,0.94
2456847.4397,-19173.99,1.64
2456848.40283,-19167.54,1.46
2456849.40436,-19167.75,1.61
2456850.41203,-19171.2,3.0
2456851.40842,-19164.95,0.91
2456852.40758,-19172.83,1.56
2456853.41102,-19163.06,1.22
2456863.63802,-19177.08,2.06
2456863.68072,-19167.18,1.88
2456864.5016,-19170.09,1.21
2456864.62246,-19164.62,1.43
2456865.51522,-19167.71,1.3
2456865.65197,-19163.92,1.69
2456866.48997,-19172.41,1.54
2456866.60249,-19176.65,2.53
2457115.68493,-19170.21,1.97
2457122.65364,-19173.91,1.47
2457156.57568,-19175.15,3.58
2457158.60035,-19177.45,2.66
2457159.59424,-19169.55,1.78
2457160.59177,-19170.2,1.46
2457160.70195,-19173.38,1.25
2457161.57892,-19173.95,1.62
2457161.69513,-19172.8,1.37
2457180.50637,-19164.0,1.32
2457180.72219,-19169.61,1.35
2457181.48805,-19163.85,1.41
2457181.72714,-19161.05,1.3
2457182.47874,-19169.18,1.58
2457182.68935,-19164.93,1.32
2457183.51119,-19173.15,1.55
2457183.7171,-19168.87,1.71
2457184.47995,-19178.99,3.0
2457184.69036,-19176.01,2.12
2457185.47795,-19174.57,1.47
2457185.68192,-19171.39,1.45
2457186.47591,-19168.82,1.42
2457186.70423,-19163.21,1.25
2457188.48354,-19168.47,1.78
2457188.69863,-19168.32,1.42
2457189.47599,-19173.5,2.02
2457189.69066,-19169.02,1.9
2457190.48831,-19165.22,1.57
2457190.70474,-19162.65,1.34
2457191.48865,-19163.93,1.28
2457191.70438,-19166.76,1.33
2457192.48579,-19168.26,1.37
2457192.70237,-19170.1,1.39
2457193.48892,-19160.15,1.47
2457193.70322,-19165.44,1.32
2457195.48861,-19165.45,1.84
2457195.63728,-19166.29,1.75
2455439.938,2.61,2.1
2455439.941,8.44,2.2
2455439.943,3.99,2.2
2455440.771,-0.53,2.2
2455440.773,-0.73,2.0
2455440.775,-6.18,2.2
2455440.987,-3.99,2.3
2455440.989,-5.95,2.3
2455440.991,0.84,2.2
2455455.826,-3.01,2.1
2455455.828,-7.3,2.1
2455455.83,2.74,2.0
2455464.788,14.96,1.8
2455464.79,10.45,1.8
2455464.793,10.72,1.8
2455465.866,14.74,1.8
2455465.869,4.12,1.9
2455465.872,7.47,1.9
2455466.725,-0.56,1.9
2455466.727,-3.96,2.0
2455466.729,1.87,2.0
2455467.848,-9.35,1.9
2455467.849,-0.91,2.0
2455467.851,3.14,2.1
2455468.714,-1.64,2.0
2455468.716,2.15,1.9
2455468.718,1.55,2.0
2455469.753,-4.89,1.7
2455469.755,-8.5,1.8
2455469.758,1.13,1.8
2455471.847,1.18,2.0
2455471.849,-3.06,1.8
2455471.852,-7.47,1.8
2455486.819,-2.46,2.0
2455486.822,0.56,2.2
2455486.824,-2.85,2.0
2455490.819,-3.67,2.0
2455490.821,-5.84,2.1
2455490.823,-7.85,1.9
2455521.759,-8.33,2.2
