BJD,RV,ERV
2455808.05588,1.69,1.1
2455808.05918,0.51,1.21
2455808.06219,0.6,1.06
2455809.02944,1.34,1.17
2455809.03174,3.83,1.19
2455809.03399,1.86,1.18
2455810.08045,2.23,1.05
2455810.08215,1.44,1.08
2455810.08385,0.33,0.97
2455811.04336,-0.59,1.0
2455811.04515,1.14,1.03
2455811.04692,0.83,1.17
2455812.05662,1.52,0.98
2455812.05847,2.2,1.08
2455812.06029,-1.08,0.88
2455815.13727,5.18,1.14
2455815.13933,6.54,1.13
2455815.14137,6.3,1.16
2455841.83727,-6.55,1.09
2455841.8413,-3.42,1.03
2455841.84501,-4.49,1.12
2455842.83609,-7.75,1.14
2455842.84042,-6.9,1.19
2455842.84483,-6.54,1.34
2455843.9301,-1.98,1.12
2455843.93281,-2.32,1.05
2455843.93582,-5.65,1.15
2455850.93654,-1.27,1.06
2455850.93862,0.35,1.16
2455850.94073,1.02,1.25
2455851.82416,-1.72,1.16
2455851.82603,-0.57,1.04
2455851.82785,-0.97,1.06
2455870.92568,1.15,1.19
2455870.92895,0.78,1.24
2455870.93602,0.11,1.16
2455877.89144,-3.55,1.13
2455877.89346,-2.68,1.09
2455877.89553,-2.66,1.14
2455878.86276,-3.74,1.19
2455878.86491,-2.47,1.11
2455878.86703,-0.85,1.07
2455879.93654,-2.98,1.05
2455879.9386,-4.92,1.12
2455879.94078,-3.03,1.11
2455880.85242,-2.97,1.17
2455880.8542,-4.65,1.15
2455880.85601,-4.39,1.09
2455901.90852,-1.4,1.09
2455901.91057,-2.32,1.12
2455901.91248,-2.51,1.05
2455902.78854,1.34,1.81
2455903.76112,0.72,0.94
2455903.76289,1.47,1.01
2455903.76471,-0.87,0.98
2455904.81093,2.5,1.16
2455904.81366,0.21,1.01
2455904.81556,1.02,1.22
2455910.78694,-0.58,0.9
2455910.78992,-0.87,1.08
2455928.72608,-2.64,1.03
2455928.72779,-0.21,0.92
2455928.72947,-3.11,1.09
2455931.79548,-1.1,1.04
2455931.79753,-1.94,1.09
2455931.79957,-1.9,1.06
2455960.72683,1.57,1.2
2455960.7297,-0.89,1.19
2455960.73301,-2.49,1.15
2455970.77553,-2.73,1.18
2455970.77942,-4.62,0.94
2455992.71727,-1.3,1.46
2455992.71887,0.53,1.5
2455992.72064,-2.01,1.59
2456080.12307,0.12,1.02
2456080.12515,0.2,1.07
2456080.12714,1.93,1.05
2456112.11987,-0.91,1.0
2456112.12183,-5.32,1.12
2456112.12382,-2.34,1.03
2456118.09974,-2.92,0.91
2456118.10325,-4.23,1.03
2456134.12254,1.46,1.12
2456134.12441,-3.32,1.04
2456134.1264,-1.76,1.16
2456148.98792,-1.37,1.08
2456148.99016,0.0,1.12
2456148.99237,-0.43,1.0
2456154.03384,-1.54,1.15
2456154.03589,-2.15,1.06
2456154.03806,-2.33,1.04
2456166.09939,-2.72,1.08
2456166.10134,-2.65,1.16
2456166.10329,-0.67,0.98
2456169.05669,0.49,1.08
2456169.06039,1.08,1.05
2456173.07583,-4.29,1.22
2456173.07768,-2.54,1.22
2456173.0795,-3.05,1.3
2456193.03448,0.3,1.09
2456193.03646,3.18,1.11
2456193.03847,2.69,1.17
2456196.00229,-1.56,1.08
2456196.00417,-1.7,1.11
2456196.00602,-3.22,1.19
2456203.0426,-1.81,1.08
2456203.0445,-2.79,1.09
2456203.04657,-0.22,1.15
2456208.9612,-3.79,1.15
2456208.96324,-0.88,1.22
2456208.96522,-6.25,1.13
2456318.71988,-1.43,1.17
2456318.722,-1.55,1.17
2456318.72406,-0.59,1.12
2456327.72287,0.14,1.26
2456327.72532,-0.8,1.23
2456327.72782,0.31,1.14
2456329.75696,0.78,1.14
2456329.76028,1.32,1.01
2456474.11793,-5.55,1.13
2456474.12042,-5.92,1.1
2456474.12286,-4.69,1.08
2456520.08438,-3.51,1.16
2456520.08626,-3.44,1.06
2456520.08815,-2.55,1.15
2456534.01899,-0.47,0.99
2456534.02081,3.44,1.13
2456534.0226,3.21,1.08
2456548.07196,4.32,1.08
2456548.07405,4.3,1.15
2456548.07609,3.81,1.22
2456588.94166,-2.02,1.22
2456588.94359,-0.34,1.15
2456588.94551,-0.72,1.14
2456613.97969,-1.18,1.07
2456613.98238,-1.86,1.19
2456613.98524,-2.77,1.2
2456639.81853,1.75,1.1
2456639.82226,3.17,1.28
2456639.82611,1.57,1.21
2456676.74744,-2.28,0.95
2456676.75018,-1.06,0.88
