BJD,RV,ERV
2453153.97334,-9.56,2.94
2453240.79954,-3.8,2.7
2453480.03571,-0.49,2.75
2454639.935,5.26,2.78
2454689.84929,0.0,2.54
2454718.77526,2.2,2.21
2454929.12074,8.61,2.29
2455339.09865,8.58,2.66
2455371.8444,-3.78,2.21
2455408.90885,6.82,2.62
2455409.85075,11.96,2.93
2455462.74369,3.63,1.97
2455638.14485,-2.34,2.99
2455639.09547,-1.96,2.7
2455665.03281,6.62,2.28
2455670.06009,13.19,2.28
2455720.03402,7.66,2.34
2455720.96577,6.4,2.68
2455824.74175,-3.06,2.34
2455824.74932,-1.38,2.18
2455825.73218,-1.82,2.46
2455825.73954,-0.82,1.99
2455840.71948,0.2,2.61
2455840.72709,7.48,2.69
2455843.72955,1.61,2.78
2456116.86687,19.86,2.92
2456117.86352,12.9,2.76
2456169.77106,10.54,2.47
2456432.99571,15.95,2.27
2456433.91151,16.59,2.39
2456548.71773,9.02,1.89
2456549.73341,7.42,1.73
2456551.75426,-4.27,2.23
