BJD,RV,ERV
2456462.68626,27335.24,1.02
2456463.58448,27337.75,0.94
2456464.60962,27331.57,1.75
2456465.60644,27342.34,1.0
2456466.60885,27337.58,0.86
2456479.50721,27339.63,0.85
2456480.51458,27338.87,0.94
2456481.50703,27335.63,1.44
2456482.49612,27336.95,1.05
2456495.68622,27336.3,1.08
2456496.67289,27332.45,1.18
2456498.69187,27341.07,1.27
2456500.48421,27336.62,1.16
2456510.5795,27337.31,0.96
2456530.57575,27337.55,0.92
2456545.46117,27342.26,0.95
2456549.47351,27339.35,0.94
2456554.39697,27348.06,1.25
2456557.42122,27340.77,0.83
2456562.48564,27339.53,1.43
2456563.39705,27345.43,0.98
2456564.36923,27342.29,0.78
2456565.38015,27341.55,0.86
2456567.37184,27338.57,0.8
2456571.36925,27340.9,1.28
2456572.45538,27340.93,0.81
2456580.31658,27341.29,0.91
2456581.38719,27337.9,1.13
2456582.35261,27342.34,1.04
2456584.33592,27342.74,0.91
2456602.37933,27346.0,1.25
2456603.38524,27341.03,0.91
2456604.38358,27341.25,1.04
2456608.3816,27344.52,0.95
2456609.35878,27341.11,1.13
2456611.30574,27345.79,1.14
2456720.75954,27348.52,1.15
2456737.7594,27349.58,1.22
2456762.70958,27350.74,1.18
2456764.73748,27351.07,1.16
2456765.68636,27347.41,1.13
2456769.62529,27348.92,1.08
2456783.65405,27346.95,0.83
2456784.63387,27347.34,0.96
2456785.68757,27348.32,1.1
2456798.69693,27349.12,0.8
2456799.60135,27351.05,0.91
2456800.65129,27349.63,1.01
2456801.54207,27350.53,0.94
2456802.55959,27348.51,2.17
2456803.60953,27346.68,1.07
2456813.64492,27349.31,0.76
2456814.67011,27354.86,0.88
2456815.59325,27350.66,0.76
2456816.56812,27348.3,0.81
2456828.50721,27348.18,0.97
2456829.46777,27351.56,1.15
2456830.63008,27350.58,1.07
2456831.66898,27348.98,0.95
2456832.514,27350.04,0.89
2456833.55508,27351.53,1.13
2456834.52624,27351.43,1.02
2456834.70171,27350.46,1.06
2456835.54483,27351.35,1.0
2456835.6663,27347.13,1.05
2456836.66031,27351.6,1.44
2456845.50874,27349.59,0.86
2456846.43607,27349.41,0.93
2456847.61197,27354.06,1.42
2456848.63096,27353.18,0.98
2456849.56349,27348.66,1.15
2456850.59233,27347.23,1.16
2456851.61053,27349.87,0.87
2456852.61153,27352.58,1.3
2456853.61365,27351.1,1.01
2456862.47243,27351.12,1.39
2456863.40573,27349.45,0.95
2456864.39889,27349.51,0.88
2456865.40218,27349.53,0.88
2456866.39396,27349.15,0.91
2456922.336,27351.73,0.95
2456923.33776,27355.46,0.87
2456924.34239,27352.79,0.81
2456925.34296,27348.25,1.53
2456929.43078,27353.23,0.89
2456936.39936,27351.54,0.78
2455044.06724,-12.9,2.73
2455045.03952,-19.29,2.85
2455074.01014,-11.01,2.44
2455075.0083,-13.22,2.45
2455075.98576,-11.06,2.43
2455077.0175,-14.77,2.48
2455078.0163,-16.7,2.47
2455078.94356,-14.89,2.44
2455079.93571,-13.23,2.39
2455080.7536,-7.78,2.38
2455080.79201,-9.66,2.44
2455081.76932,-8.65,2.59
2455081.77602,-10.64,2.71
2455082.74108,-6.95,2.47
2455083.75382,-6.48,2.43
2455084.75176,-5.96,2.39
2455373.03311,-2.16,2.41
2455377.93865,-2.78,2.38
2455696.96364,12.83,2.57
2455697.93883,9.94,2.42
2455698.93716,7.95,2.45
2455700.01723,14.34,2.39
2455723.03949,7.8,2.47
2455759.82088,6.04,2.51
2455760.86355,12.19,2.43
2455762.92684,6.74,2.4
2455768.84246,11.17,2.44
2455807.76717,16.08,2.47
2456110.03366,19.1,2.5
2456115.03341,22.14,2.45
2456148.82051,28.18,2.56
2456174.83727,22.79,2.36
