BJD,RV,ERV
2455584.82534,-22587.02,4.71
2455584.83011,-22586.28,1.88
2455584.83491,-22587.65,2.83
2455587.85881,-22627.02,4.57
2455587.86727,-22628.66,3.97
2455587.87705,-22631.31,4.54
2455617.8794,-22593.93,2.83
2455617.88968,-22595.13,2.54
2455617.90069,-22593.23,2.75
2455632.7388,-22601.49,3.62
2455632.74394,-22600.54,1.56
2455632.74908,-22598.28,2.77
2455639.70995,-22495.39,3.04
2455639.71588,-22497.99,3.89
2455639.72197,-22499.55,3.23
2455640.75971,-22508.35,1.9
2455640.76466,-22510.86,2.47
2455640.7696,-22512.46,1.33
2455641.61626,-22536.12,1.83
2455641.62327,-22535.01,5.13
2455641.62811,-22533.68,1.79
2455641.63271,-22539.06,2.72
2455641.63731,-22531.93,2.16
2455641.64214,-22536.85,3.58
2455641.64674,-22541.18,2.08
2455641.65134,-22538.48,5.57
2455641.65643,-22543.82,4.78
2455641.66103,-22538.02,5.84
2455641.66563,-22536.91,3.1
2455641.67072,-22549.55,4.86
2455641.67532,-22538.05,2.0
2455641.67992,-22531.82,2.66
2455641.68506,-22545.07,2.41
2455641.68966,-22542.01,4.08
2455641.69426,-22541.84,2.52
2455641.6993,-22549.16,1.13
2455641.7039,-22545.7,1.84
2455641.70851,-22545.26,3.25
2455641.82715,-22556.24,2.85
2455641.8335,-22551.11,4.3
2455641.83927,-22551.64,9.66
2455641.84473,-22547.49,10.06
2455643.617,-22592.63,2.81
2455643.71505,-22592.94,1.36
2455643.86124,-22603.25,3.25
2455644.66104,-22615.21,2.62
2455644.74463,-22617.83,4.45
2455644.83895,-22624.78,2.35
2455645.62707,-22631.85,3.1
2455645.73191,-22621.31,2.45
2455645.83617,-22619.96,3.43
2455646.60585,-22611.57,1.47
2455646.70786,-22606.37,2.2
2455647.61854,-22599.52,3.0
2455647.6801,-22595.58,4.41
2455647.79196,-22599.42,3.58
2455648.63968,-22568.15,2.49
2455648.74343,-22563.73,2.14
2455665.60798,-22504.98,1.97
2455667.65457,-22479.17,2.87
2455668.597,-22472.2,2.75
2455669.59261,-22495.26,2.06
2455669.75475,-22490.39,2.25
2455670.61007,-22528.48,3.33
2455670.68518,-22528.26,2.33
2455670.77173,-22527.07,3.43
2455671.5975,-22549.26,1.68
2455671.77999,-22548.66,2.04
2455698.6049,-22487.11,3.52
2455698.68699,-22488.38,3.27
2455699.60204,-22497.91,2.04
2455700.64261,-22534.33,1.72
2455701.60509,-22570.16,1.96
2455702.61518,-22584.23,2.41
2455702.66405,-22584.29,2.06
2455703.6226,-22610.83,1.97
2455703.68663,-22617.18,2.58
2455704.62413,-22608.18,2.39
2455704.68164,-22606.37,2.75
2455722.61345,-22556.47,3.68
2455723.60808,-22540.0,3.75
2455723.61502,-22538.91,2.41
2455724.61019,-22501.54,3.83
2455727.61606,-22489.09,1.27
2455728.61709,-22515.72,2.35
2455872.01238,-22487.49,2.73
2455874.00148,-22494.41,2.27
2455874.01647,-22494.11,1.4
2455876.98545,-22566.48,3.08
2455876.9935,-22563.5,2.16
2455960.90774,-22486.1,2.08
2455964.67644,-22561.91,2.64
2455964.80327,-22554.18,3.1
2455964.92826,-22557.15,2.71
2455965.68026,-22582.53,1.97
2455966.68605,-22615.42,3.35
2455966.84698,-22606.03,1.71
2455967.70488,-22607.97,2.14
2455967.81482,-22614.36,2.2
2455968.7073,-22624.71,2.72
2455968.79966,-22609.11,2.64
2455968.91289,-22621.86,2.47
2455987.68723,-22525.11,3.31
2455987.6958,-22527.19,2.35
2455987.70485,-22524.17,2.35
2455987.79535,-22524.28,1.62
2455987.80466,-22526.68,3.58
2455988.63274,-22505.48,2.25
2455988.64253,-22509.34,1.58
2455988.82284,-22514.3,2.75
2455988.83203,-22508.5,2.87
2455989.65348,-22499.21,2.6
2455989.66485,-22502.41,3.66
2455989.76047,-22492.71,2.14
2455989.772,-22494.58,2.79
2455990.66647,-22494.16,3.89
2455990.67484,-22496.27,1.47
2455990.80716,-22504.78,2.35
2455990.81507,-22504.47,2.77
2455991.66164,-22521.29,2.25
2455991.6695,-22524.93,2.33
2455991.84854,-22515.57,1.22
2455991.85618,-22524.36,2.35
2456014.72919,-22587.92,3.72
2456015.71343,-22551.18,1.67
2456016.67033,-22530.03,3.54
2456016.68043,-22535.14,1.49
2456016.68907,-22535.12,2.85
2456017.66379,-22501.52,2.25
2456017.67179,-22498.24,2.14
2456018.76174,-22487.24,2.83
2456019.68919,-22492.34,1.97
2456020.79313,-22494.54,3.74
2456020.80525,-22496.98,3.81
2456021.66808,-22508.12,2.79
2456022.70058,-22553.86,3.24
2456024.62427,-22601.54,2.2
2456025.73569,-22639.26,3.22
2456048.60941,-22498.21,3.24
2456048.70495,-22497.26,1.51
2456049.59676,-22492.8,3.77
2456049.72022,-22497.72,3.04
2456050.66937,-22523.37,2.89
2456051.66139,-22540.85,2.39
2456052.60187,-22564.84,3.23
2456053.64329,-22604.91,2.56
2456053.69553,-22606.49,2.5
2456054.59763,-22610.21,3.02
2447578.73,18.57,9.7
2447847.0437,-3.18,8.38
2448017.68822,24.36,7.51
2448375.6692,-38.47,8.79
2448646.0011,16.69,8.05
2448670.7605,-58.98,10.26
2448906.0361,-23.19,7.17
2448991.9636,-15.13,7.42
2448992.8905,-28.59,7.2
2449114.7286,43.72,9.15
2449306.02125,76.01,6.35
2449349.8449,85.93,9.17
2449350.927,105.83,8.97
2449469.6478,130.14,8.96
2449676.0632,131.91,4.84
2449767.77441,22.6,2.57
2449768.83203,-5.49,2.68
2449793.79785,107.31,1.52
2450056.98828,116.67,1.62
2450087.88184,77.26,2.16
2450088.91894,32.6,1.64
2450089.00586,33.73,1.56
2450089.77637,2.73,1.61
2450089.98633,2.24,1.53
2450090.74512,-9.73,1.41
2450090.89258,-11.12,1.66
2450091.84863,-37.65,1.54
2450091.96973,-42.75,1.59
2450120.87243,-18.44,2.2
2450121.88866,-20.96,1.73
2450124.85765,27.31,1.86
2450125.77783,47.21,2.1
2450126.83752,79.05,3.12
2450127.85104,100.86,2.02
2450128.86732,109.73,1.86
2450144.71034,118.2,1.52
2450144.85357,110.16,1.59
2450145.625,99.08,1.7
2450145.76465,96.23,1.7
2450148.88742,17.02,2.64
2450150.74885,-14.38,1.83
2450152.66281,-8.21,2.73
2450168.74902,19.3,4.59
2450171.73959,87.84,2.43
2450172.68686,107.46,2.29
2450173.72485,103.37,1.9
2450179.73422,-28.64,1.29
2450180.68848,-27.2,1.49
2450181.63379,-25.33,1.53
2450186.73954,121.8,2.59
2450187.68636,119.04,3.04
2450199.68319,86.47,2.02
2450200.70104,112.79,2.13
2450201.68663,124.02,2.51
2450202.68868,141.46,1.72
2450203.68772,132.99,2.54
2450214.68668,86.42,2.17
2450215.67357,94.72,2.55
2450233.69028,111.23,2.94
2450422.00586,107.88,1.58
2450437.92852,104.6,1.3
2450441.9541,-1.19,1.55
2450502.78136,-29.09,1.49
2450503.76303,-31.3,1.29
2450504.77366,-4.85,1.26
