BJD,RV,ERV
2455074.02651,-1.31,12.26
2455075.03209,-1.48,12.21
2455076.79986,-2.81,12.08
2455077.95517,1.14,12.19
2455077.97513,-8.53,12.17
2455312.10688,38.33,3.16
2455377.90809,18.04,2.79
2455381.05456,31.24,2.83
2455407.07829,32.63,2.97
2455414.94152,18.4,2.73
2455434.89714,6.44,2.55
2455438.78384,24.56,2.77
2455438.81177,25.55,2.92
2455787.84366,-55.28,2.86
2455793.77512,-59.11,2.85
2455796.82116,-48.12,2.63
2455797.947,-49.7,2.66
2455799.02862,-53.15,2.9
2455807.82907,-49.37,2.92
2455810.97778,-48.64,2.89
2455811.95378,-53.35,2.6
2455814.86559,-52.15,2.75
2456115.91208,16.62,3.13
2456141.02544,12.07,3.22
2456145.8906,36.27,3.17
2456164.82938,48.32,3.11
2456173.84857,37.85,2.91
2456208.75096,33.64,3.07
