recno,LC,TBest,TBest2,Mbest,Mbest2,SolID,Source,Pf,e_Pf,P1O,e_P1O,P2O,e_P2O,P3O,e_P3O,EpG,e_EpG,EpBP,e_EpBP,EpRP,e_EpRP,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,AmpG,e_AmpG,AmpBP,e_AmpBP,AmpRP,e_AmpRP,[Fe/H],e_[Fe/H],R21G,e_R21G,R31G,e_R31G,phi21G,e_phi21G,phi31G,e_phi31G,o_EpG,o_EpBP,o_EpRP,RA_ICRS,DE_ICRS,_RA.icrs,_DE.icrs
529,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4755955206850861696,nan,nan,1.68638175,7.15E-6,nan,nan,nan,nan,1731.85397851,1.011E-5,1731.85397851,1.011E-5,1731.85397851,1.011E-5,16.1311,3.0E-4,nan,nan,nan,nan,0.271421,0.001314,nan,nan,nan,nan,nan,nan,0.17991,0.00547,nan,nan,4.55539,0.03233,nan,nan,22,18,21,89.60356210465,-65.39038565695,89.60356210465,-65.39038565695
530,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4756317702090744704,nan,nan,0.97396207,4.74E-6,nan,nan,nan,nan,1734.06424927,6.7E-6,1734.10158244,6.7E-6,1734.10202824,6.7E-6,16.8998,5.0E-4,17.1843,0.0029,16.4616,0.0027,0.279861,0.001317,0.326474,0.011436,0.17805,0.011256,nan,nan,0.16807,0.00574,nan,nan,3.86396,0.03171,nan,nan,27,25,22,84.92209166482,-64.16897563869,84.92209166482,-64.16897563869
531,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4756933364193505920,nan,nan,1.15215941,5.46E-6,nan,nan,nan,nan,1733.62362,7.73E-6,1733.60771031,7.73E-6,1733.62873566,7.73E-6,16.4273,3.0E-4,16.6574,0.0025,16.0312,0.0023,0.355122,0.001366,0.437388,0.009093,0.246116,0.00867,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20,22,22,84.21902135205,-64.71359271278,84.21902135205,-64.71359271278
532,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4756955010828534912,nan,nan,2.66571929,8.31E-6,nan,nan,nan,nan,1731.37227809,1.175E-5,1731.34562409,1.175E-5,1731.36695358,1.175E-5,15.415,2.0E-4,15.6556,0.0012,15.0141,0.0015,0.35845,7.17E-4,0.430171,0.006068,0.264716,0.006681,nan,nan,0.20499,0.00263,nan,nan,3.83765,0.00803,nan,nan,24,26,23,83.89875689532,-64.46787624542,83.89875689532,-64.46787624542
533,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4756980260926288640,nan,nan,1.56189019,1.572E-5,nan,nan,nan,nan,1766.22054825,2.224E-5,1766.22054825,2.224E-5,1766.22054825,2.224E-5,16.225,0.001,nan,nan,nan,nan,0.239609,0.0036,nan,nan,nan,nan,nan,nan,0.08278,0.03817,nan,nan,3.62569,1.42246,nan,nan,24,22,19,84.0544965622,-64.32463314584,84.0544965622,-64.32463314584
534,LC,T2CEP,BL_HER,NOT_APPLICABLE,,369295549951641967,4757183606166564864,2.50145653,1.42E-5,nan,nan,nan,nan,nan,nan,1731.34547104,2.008E-5,1731.33800607,2.008E-5,1731.35617981,2.008E-5,16.0972,8.0E-4,16.4019,0.0051,15.6084,0.0038,0.441478,8.89E-4,0.548326,0.009327,0.311401,0.007756,nan,nan,0.30245,0.004,0.08198,0.00375,4.09241,0.00942,2.06821,0.03602,27,24,24,83.55788891767,-63.16698888939,83.55788891767,-63.16698888939
535,LC,DCEP,,MULTI,F/1O,369295549951641967,4757337984469805440,1.29797251,8.55E-6,0.93167711,1.1598E-4,nan,nan,nan,nan,1767.38098498,1.194E-5,1767.39166211,1.194E-5,1767.42021822,1.194E-5,16.8707,0.0066,16.9858,0.013,16.6118,0.0067,0.510104,0.009315,0.523357,0.018441,0.245499,0.009414,nan,nan,0.39425,0.00401,0.11055,0.00405,3.60396,0.01205,1.06387,0.05281,25,23,23,80.24299987023,-63.02791612307,80.24299987023,-63.02791612307
536,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4755854124808348800,nan,nan,1.04447376,1.116E-5,nan,nan,nan,nan,1768.97652058,1.578E-5,1768.97652058,1.578E-5,1768.97652058,1.578E-5,16.4348,0.001,nan,nan,nan,nan,0.441088,0.001836,nan,nan,nan,nan,nan,nan,0.24186,0.00295,nan,nan,4.11586,0.02783,nan,nan,21,18,22,89.29641885789,-65.85443607637,89.29641885789,-65.85443607637
537,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4756195042140990464,nan,nan,0.64763362,1.23E-6,nan,nan,nan,nan,1735.36367014,1.74E-6,1735.42131575,1.74E-6,1735.37116857,1.74E-6,17.2763,4.0E-4,17.4835,0.0037,16.9067,0.0038,0.352797,0.00199,0.331397,0.019083,0.269419,0.017634,nan,nan,0.29624,0.00449,nan,nan,3.36855,0.02637,nan,nan,29,23,23,85.67613599181,-64.70913864368,85.67613599181,-64.70913864368
538,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4756255888921096960,2.99531074,1.701E-5,nan,nan,nan,nan,nan,nan,1728.4327135,2.405E-5,1728.50357136,2.405E-5,1728.56630981,2.405E-5,15.96,2.0E-4,16.3145,0.0018,15.4524,0.0015,0.425918,9.58E-4,0.530371,0.00712,0.332565,0.006444,0.15,0.22,0.3463,0.00215,0.14652,0.00204,4.17013,0.00866,2.33365,0.01535,27,26,26,86.26744629006,-64.36791182988,86.26744629006,-64.36791182988
