recno,LC,TBest,TBest2,Mbest,Mbest2,SolID,Source,Pf,e_Pf,P1O,e_P1O,P2O,e_P2O,P3O,e_P3O,EpG,e_EpG,EpBP,e_EpBP,EpRP,e_EpRP,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,AmpG,e_AmpG,AmpBP,e_AmpBP,AmpRP,e_AmpRP,[Fe/H],e_[Fe/H],R21G,e_R21G,R31G,e_R31G,phi21G,e_phi21G,phi31G,e_phi31G,o_EpG,o_EpBP,o_EpRP,RA_ICRS,DE_ICRS,_RA.icrs,_DE.icrs
1,LC,DCEP,,FUNDAMENTAL,,369295551293819386,5995711814808683648,11.19933461,1.5987E-4,nan,nan,nan,nan,nan,nan,1713.50700024,2.261E-4,1679.27815295,2.261E-4,1679.7696092,2.261E-4,12.6284,1.0E-4,13.2748,3.0E-4,11.857,2.0E-4,0.286951,3.03E-4,0.31042,0.001436,0.253176,0.001243,nan,nan,0.09298,9.8E-4,nan,nan,6.98488,0.00968,nan,nan,32,34,31,237.17375455558,-42.26556630747,237.17375455558,-42.26556630747
2,LC,DCEP,,FIRST_OVERTONE,,369295551293819386,6018697994426978432,nan,nan,1.37699929,3.75E-6,nan,nan,nan,nan,1705.66363408,5.3E-6,1705.66534444,5.3E-6,1705.6751384,5.3E-6,15.273,7.0E-4,15.8461,0.0193,14.4674,0.0091,0.776957,0.001795,1.147663,0.045731,0.63643,0.019964,nan,nan,0.32706,0.00171,nan,nan,4.15894,0.0042,nan,nan,18,14,13,248.2837675898,-37.10126160453,248.2837675898,-37.10126160453
3,LC,T2CEP,W_VIR,NOT_APPLICABLE,,369295551293819386,5989694118953196288,9.073607,1.0502E-4,nan,nan,nan,nan,nan,nan,1717.90549667,1.4852E-4,1717.58053314,1.4852E-4,1718.1165184,1.4852E-4,10.3376,1.0E-4,11.0341,2.0E-4,9.5648,6.0E-4,0.24141,5.39E-4,0.2883,0.001292,0.190987,8.32E-4,nan,nan,0.48443,0.00192,nan,nan,7.09849,0.00508,nan,nan,30,26,28,237.01312669219,-42.63556726193,237.01312669219,-42.63556726193
4,LC,DCEP,,FIRST_OVERTONE,,369295551293819386,6005949436284345856,nan,nan,1.46965131,2.16E-6,nan,nan,nan,nan,1701.75064873,3.05E-6,1701.76590635,3.05E-6,1701.78349569,3.05E-6,15.6277,2.0E-4,15.9089,0.0013,15.1733,0.0012,0.799325,9.53E-4,0.96049,0.005547,0.627823,0.005657,nan,nan,0.32426,0.00112,nan,nan,4.0864,0.00372,nan,nan,35,31,31,230.15252553878,-39.84341010557,230.15252553878,-39.84341010557
5,LC,DCEP,,FUNDAMENTAL,,369295551293819386,5993790074645845888,28.76646192,6.9193E-4,nan,nan,nan,nan,nan,nan,1625.46742398,9.7854E-4,1625.28095384,9.7854E-4,1625.97539468,9.7854E-4,12.9648,1.0E-4,13.9045,8.0E-4,11.994,4.0E-4,0.785119,4.89E-4,0.990117,0.004813,0.686836,0.002527,nan,nan,0.50592,9.4E-4,0.18208,8.1E-4,5.60756,9.9E-4,3.98313,0.00558,36,32,34,245.0076761047,-40.97018225036,245.0076761047,-40.97018225036
6,LC,DCEP,,FUNDAMENTAL,,369295551293819386,6020749786201756288,2.72319616,1.05E-5,nan,nan,nan,nan,nan,nan,1702.97698059,1.485E-5,1703.05905984,1.485E-5,1703.08653857,1.485E-5,16.6551,4.0E-4,17.6059,0.0031,15.6705,0.0018,0.902535,0.002043,1.117811,0.019808,0.78909,0.007998,0.07,0.22,0.37043,0.0025,0.18264,0.00181,5.15207,0.00425,3.33887,0.00977,35,32,32,250.31988155926,-35.66912918608,250.31988155926,-35.66912918608
7,LC,DCEP,,FIRST_OVERTONE,,369295551293819386,6007797474808044800,nan,nan,1.42229757,1.62E-6,nan,nan,nan,nan,1703.31069484,2.29E-6,1703.28988635,2.29E-6,1703.25407238,2.29E-6,15.7206,0.0019,15.8812,0.0673,15.2362,0.0055,0.939406,0.00257,1.349798,0.152348,0.670796,0.011063,nan,nan,0.3546,0.00261,nan,nan,3.49172,0.00664,nan,nan,17,13,16,230.7061823792,-35.79254875849,230.7061823792,-35.79254875849
8,LC,T2CEP,BL_HER,NOT_APPLICABLE,,369295551293819386,2162679246615275264,2.1130485,9.39E-6,nan,nan,nan,nan,nan,nan,1763.10778092,1.329E-5,1763.17414136,1.329E-5,1763.19891002,1.329E-5,16.2791,5.0E-4,17.2273,0.0057,15.2732,0.0018,0.594911,0.002588,0.626916,0.034242,0.407582,0.01142,nan,nan,0.43586,0.00275,0.19884,0.0027,4.22009,0.00698,2.69568,0.01884,32,28,29,315.66754575618,45.09279511507,315.66754575618,45.09279511507
9,LC,DCEP,,FUNDAMENTAL,,369295551293819386,2070224337474904064,10.14797047,1.7475E-4,nan,nan,nan,nan,nan,nan,1739.93298599,2.4714E-4,1740.38277072,2.4714E-4,1740.35926513,2.4714E-4,9.418,2.0E-4,10.4824,4.0E-4,8.4189,4.0E-4,0.380223,6.9E-4,0.484136,0.001616,0.321824,0.002255,nan,nan,0.21574,0.0021,nan,nan,5.7105,0.0077,nan,nan,25,25,25,311.49912676475,45.30693518844,311.49912676475,45.30693518844
10,LC,DCEP,,FUNDAMENTAL,,369295551293819386,2037911752331602176,41.2693775,6.4371E-4,nan,nan,nan,nan,nan,nan,1649.62688364,9.1035E-4,1663.64582015,9.1035E-4,1661.64825941,9.1035E-4,9.9726,2.0E-4,10.4884,2.0E-4,9.4188,1.0E-4,1.111793,0.001016,0.865779,8.06E-4,0.633591,7.08E-4,nan,nan,0.36806,7.1E-4,0.4277,7.6E-4,5.71725,0.00175,4.58603,0.00225,34,32,31,289.58147667686,27.85083961828,289.58147667686,27.85083961828
11,LC,T2CEP,BL_HER,NOT_APPLICABLE,,369295551293819386,2049531563002338432,1.60134414,7.2E-7,nan,nan,nan,nan,nan,nan,1724.82604788,1.01E-6,1724.87606611,1.01E-6,1724.81390528,1.01E-6,12.3035,1.0E-4,12.6586,4.0E-4,11.803,3.0E-4,0.646404,3.67E-4,0.650193,0.002533,0.54918,0.001813,nan,nan,0.17864,3.9E-4,nan,nan,5.2237,0.00327,nan,nan,26,19,20,288.98477941239,34.45223763619,288.98477941239,34.45223763619
12,LC,DCEP,,FUNDAMENTAL,,369295551293819386,2101097215232231808,69.31376154,0.01052903,nan,nan,nan,nan,nan,nan,1590.12284252,0.01489029,1573.2575304,0.01489029,1574.03668732,0.01489029,10.3722,1.0E-4,10.7356,3.0E-4,9.825,3.0E-4,0.276854,3.91E-4,0.423552,0.001073,0.248556,9.32E-4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25,24,22,290.41276736431,39.93558750596,290.41276736431,39.93558750596
13,LC,DCEP,,FUNDAMENTAL,,369295551293819386,2031982665929461504,1.64410306,2.45E-6,nan,nan,nan,nan,nan,nan,1759.16618669,3.46E-6,1759.20731442,3.46E-6,1759.56521808,3.46E-6,16.2222,3.0E-4,17.1328,0.0034,15.3087,0.0013,0.647949,0.001063,0.501169,0.015218,0.307837,0.00424,-0.9,0.22,0.66726,0.0021,nan,nan,4.02743,0.00744,nan,nan,32,26,27,296.0539906532,29.6872959598,296.0539906532,29.6872959598
14,LC,DCEP,,FUNDAMENTAL,,369295551293819386,2094481964862141568,89.09795766,0.00479927,nan,nan,nan,nan,nan,nan,1460.59535643,0.0067872,1458.13230094,0.0067872,1461.37344862,0.0067872,12.5163,1.0E-4,13.4149,3.0E-4,11.5537,2.0E-4,0.403575,3.19E-4,0.472708,0.001762,0.301715,7.31E-4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33,27,30,277.70643169661,33.90710087585,277.70643169661,33.90710087585
15,LC,DCEP,,FUNDAMENTAL,,369295551293819386,2164475809937299584,1.76619285,5.08E-6,nan,nan,nan,nan,nan,nan,1724.2774618,7.19E-6,1724.33179049,7.19E-6,1724.35841805,7.19E-6,10.1803,1.0E-4,10.7428,3.0E-4,9.4913,2.0E-4,0.167667,2.55E-4,0.23434,0.001041,0.145144,9.18E-4,0.12,0.22,0.35639,0.00174,nan,nan,4.10077,0.00616,nan,nan,33,29,26,317.78601129046,47.16828271516,317.78601129046,47.16828271516
16,LC,DCEP,,FUNDAMENTAL,,369295551293819386,2166303099490547072,5.09955083,1.0323E-4,nan,nan,nan,nan,nan,nan,1715.3437041,1.4599E-4,1715.28479731,1.4599E-4,1715.29675722,1.4599E-4,10.5271,0.0028,11.6936,0.0012,9.4576,5.0E-4,0.615354,0.006077,0.755855,0.004677,0.472744,0.002432,0.1,0.23,0.37685,0.00225,0.10317,0.01305,4.78479,0.04945,3.3498,0.11025,26,25,25,311.55229585916,45.47860624721,311.55229585916,45.47860624721
17,LC,T2CEP,BL_HER,NOT_APPLICABLE,,369295551293819386,4101364914950077568,1.10062263,4.99E-6,nan,nan,nan,nan,nan,nan,1716.52847996,7.05E-6,1716.5919808,7.05E-6,1716.61225312,7.05E-6,16.4411,5.0E-4,16.909,0.0147,15.8944,0.0148,0.43993,0.002136,0.36898,0.029917,0.213377,0.026696,nan,nan,0.37092,0.005,nan,nan,3.47954,0.01697,nan,nan,16,12,12,286.21367702426,-14.05584258373,286.21367702426,-14.05584258373
18,LC,T2CEP,BL_HER,NOT_APPLICABLE,,369295551293819386,4100580340364879488,1.78103037,5.14E-6,nan,nan,nan,nan,nan,nan,1714.60576642,7.26E-6,1714.63166914,7.26E-6,1714.64537269,7.26E-6,15.1772,3.0E-4,15.707,0.0021,14.6446,0.0037,0.832331,0.001911,0.601234,0.006938,0.412353,0.007066,nan,nan,0.3213,0.00148,nan,nan,3.84654,0.00579,nan,nan,16,15,15,284.23763888714,-16.46944020046,284.23763888714,-16.46944020046
19,LC,DCEP,,FUNDAMENTAL,,369295551293819386,4096140001386430080,1.17118378,1.68E-6,nan,nan,nan,nan,nan,nan,1713.99678139,2.38E-6,1713.99344593,2.38E-6,1714.07602368,2.38E-6,9.8023,2.0E-4,10.829,5.0E-4,8.8305,3.0E-4,0.578835,6.28E-4,0.729527,0.0016,0.463772,7.57E-4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17,16,16,275.82979371186,-18.57477357029,275.82979371186,-18.57477357029
20,LC,DCEP,,FUNDAMENTAL,,369295551293819386,4096776962251069312,1.32512956,1.71E-6,nan,nan,nan,nan,nan,nan,1748.46114107,2.43E-6,1748.63552305,2.43E-6,1748.56398462,2.43E-6,13.884,1.0E-4,14.4975,0.002,13.1222,9.0E-4,0.669144,9.92E-4,0.582309,0.036446,0.484402,0.004093,-0.08,0.22,0.41631,0.00178,nan,nan,4.24791,0.00515,nan,nan,14,12,12,278.21362754313,-16.94166973691,278.21362754313,-16.94166973691
21,LC,T2CEP,BL_HER,NOT_APPLICABLE,,369295551293819386,4098080879863992448,3.76940329,7.82E-6,nan,nan,nan,nan,nan,nan,1709.0906005,1.105E-5,1709.21674598,1.105E-5,1709.19795835,1.105E-5,12.2549,2.0E-4,12.6604,0.001,11.6658,8.0E-4,0.249029,3.13E-4,0.161463,0.002321,0.269032,0.001913,nan,nan,0.56285,0.00338,nan,nan,3.0291,0.00885,nan,nan,18,15,16,274.76659471818,-15.63063523856,274.76659471818,-15.63063523856
22,LC,DCEP,,FUNDAMENTAL,,369295551293819386,4096979650282842112,12.72917359,1.7947E-4,nan,nan,nan,nan,nan,nan,1682.08763247,2.5381E-4,1682.22685326,2.5381E-4,1682.48567891,2.5381E-4,8.4113,3.0E-4,9.0756,5.0E-4,7.5862,4.0E-4,0.54277,6.02E-4,0.810764,0.001429,0.484708,0.001024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16,15,15,276.1854194425,-16.79717376101,276.1854194425,-16.79717376101
23,LC,DCEP,,FUNDAMENTAL,,369295551293819386,4650592413479950976,92.40881958,0.0082809,nan,nan,nan,nan,nan,nan,1501.69100363,0.01171097,1589.20330198,0.01171097,1501.30231359,0.01171097,15.8147,6.0E-4,16.8341,0.0606,14.8922,0.0033,0.928059,0.002276,1.143254,0.343471,0.720921,0.021323,nan,nan,0.19711,0.00197,0.39059,0.00181,0.88211,0.01323,0.51028,0.00864,23,18,19,88.7471051418,-73.03854773892,88.7471051418,-73.03854773892
24,LC,T2CEP,RV_TAU,NOT_APPLICABLE,,369295551293819386,4651365262773526400,144.31301273,0.01890365,nan,nan,nan,nan,nan,nan,1314.09803577,0.0267338,1314.87925141,0.0267338,1275.21389563,0.0267338,15.0766,2.0E-4,16.0191,0.0016,14.1,7.0E-4,0.787103,7.13E-4,1.12076,0.007459,0.749334,0.003168,nan,nan,0.35057,0.00117,nan,nan,1.21378,0.00359,nan,nan,23,21,21,79.82076122299,-71.99282579699,79.82076122299,-71.99282579699
25,LC,DCEP,,FIRST_OVERTONE,,369295551293819386,4655370375634631936,nan,nan,2.21638229,1.495E-5,nan,nan,nan,nan,1733.4384758,2.114E-5,1733.48410185,2.114E-5,1733.56471716,2.114E-5,16.104,5.0E-4,16.3852,0.0057,15.5479,0.006,0.346394,0.001058,0.488711,0.009528,0.278709,0.011862,nan,nan,0.18381,0.00655,nan,nan,4.80157,0.01717,nan,nan,18,17,17,73.05227128103,-69.42438380643,73.05227128103,-69.42438380643
26,LC,DCEP,,FUNDAMENTAL,,369295551293819386,4655384188250097920,7.22937613,6.055E-5,nan,nan,nan,nan,nan,nan,1677.6276054,8.563E-5,1678.80940149,8.563E-5,1679.0770589,8.563E-5,15.2897,3.0E-4,15.834,0.0119,14.7186,0.0023,0.722834,0.001983,0.504738,0.053996,0.362278,0.008414,nan,nan,0.38231,0.00186,0.20883,0.00204,4.88816,0.0043,2.75982,0.00837,18,13,13,72.59756731931,-69.15479584104,72.59756731931,-69.15479584104
27,LC,DCEP,,FIRST_OVERTONE,,369295551293819386,4656851722722486912,nan,nan,1.09495481,7.97E-6,nan,nan,nan,nan,1735.0015596,1.127E-5,1734.97002547,1.127E-5,1735.0560989,1.127E-5,16.8926,9.0E-4,17.1574,0.0093,16.3974,0.0192,0.425908,0.002695,0.603154,0.07249,0.422059,0.058224,nan,nan,0.23863,0.00676,nan,nan,4.36434,0.01543,nan,nan,18,13,16,86.50973555005,-71.19155777735,86.50973555005,-71.19155777735
28,LC,DCEP,,FUNDAMENTAL,,369295551293819386,4657058018590315520,6.8003975,2.244E-5,nan,nan,nan,nan,nan,nan,1678.89232944,3.173E-5,1679.33624954,3.173E-5,1679.39293797,3.173E-5,15.6058,2.0E-4,16.368,0.0022,14.7799,0.0012,1.587121,8.07E-4,1.542511,0.011794,1.163553,0.005513,nan,nan,0.22963,3.9E-4,nan,nan,5.27148,0.00221,nan,nan,28,22,22,85.34792544026,-70.96715168751,85.34792544026,-70.96715168751
29,LC,DCEP,,FIRST_OVERTONE,,369295551293819386,4684545126380271488,nan,nan,1.64177589,1.215E-5,nan,nan,nan,nan,1696.55792629,1.718E-5,1772.20761002,1.718E-5,1696.67885963,1.718E-5,15.9985,4.0E-4,16.2249,0.0046,15.6398,0.0023,0.264309,0.0014,0.275053,0.014965,0.199599,0.008488,nan,nan,0.14074,0.00487,nan,nan,4.35051,0.05353,nan,nan,23,17,19,15.02763140587,-75.21117474756,15.02763140587,-75.21117474756
30,LC,DCEP,,FUNDAMENTAL,,369295551293819386,4657943469093234304,2.85181444,1.827E-5,nan,nan,nan,nan,nan,nan,1689.44921786,2.583E-5,1689.44921786,2.583E-5,1689.44921786,2.583E-5,16.3578,7.0E-4,nan,nan,nan,nan,0.617456,0.0015,nan,nan,nan,nan,0.1,0.22,0.36188,0.00322,0.16146,0.00546,4.33093,0.01072,2.51843,0.0167,19,9,6,80.34088401706,-70.04689271216,80.34088401706,-70.04689271216
31,LC,DCEP,,FIRST_OVERTONE,,369295551293819386,4689985230739276544,nan,nan,0.64621011,1.7E-6,nan,nan,nan,nan,1700.71452896,2.41E-6,1700.73803894,2.41E-6,1700.78241367,2.41E-6,17.6065,5.0E-4,17.7484,0.0056,17.2482,0.0043,0.611018,0.002257,0.648578,0.025069,0.397326,0.021251,nan,nan,0.29229,0.00475,nan,nan,4.08011,0.01635,nan,nan,23,23,22,10.33252880211,-71.63777517846,10.33252880211,-71.63777517846
32,LC,ACEP,,FUNDAMENTAL,,369295551293819386,4662915671083862656,1.0837532,5.3E-7,nan,nan,nan,nan,nan,nan,1666.8738322,7.4E-7,1666.90304967,7.4E-7,1666.91297552,7.4E-7,17.685,2.0E-4,17.7129,0.0024,17.3056,0.0021,1.242171,0.0021,0.991488,0.015793,0.687621,0.015803,nan,nan,0.44843,0.00212,0.35574,0.0022,4.10087,0.00629,1.90834,0.00667,74,61,61,72.93497923595,-66.35748140594,72.93497923595,-66.35748140594
33,LC,DCEP,,FIRST_OVERTONE,,369295551293819386,4686923301310658944,nan,nan,0.45291545,9.1E-7,nan,nan,nan,nan,1699.49642158,1.29E-6,1699.49128351,1.29E-6,1699.67058503,1.29E-6,18.2923,9.0E-4,18.4606,0.0076,17.673,0.0457,0.654488,0.003185,0.770775,0.028282,0.72885,0.07584,nan,nan,0.24421,0.00552,0.14523,0.00427,3.50236,0.02221,0.87246,0.03479,28,25,23,24.22413769715,-72.3190520692,24.22413769715,-72.3190520692
34,LC,DCEP,,FIRST_OVERTONE,,369295551293819386,4689025322730648320,nan,nan,0.59219132,1.9E-6,nan,nan,nan,nan,1700.19985661,2.68E-6,1700.20670368,2.68E-6,1700.23825094,2.68E-6,18.1607,9.0E-4,18.1914,0.0103,17.667,0.0077,0.431598,0.005227,0.455174,0.075225,0.279648,0.028449,nan,nan,0.20392,0.0068,nan,nan,3.87568,0.04834,nan,nan,29,26,24,12.19196945663,-72.53269739655,12.19196945663,-72.53269739655
35,LC,ACEP,,FIRST_OVERTONE,,369295551293819386,4663679728599261824,nan,nan,0.76069967,1.8E-6,nan,nan,nan,nan,1687.85514393,2.54E-6,1687.87539116,2.54E-6,1687.85690819,2.54E-6,17.7271,4.0E-4,17.9979,0.0034,17.287,0.0024,0.384881,0.002161,0.340578,0.016918,0.202962,0.014174,nan,nan,0.27805,0.00514,0.17942,0.00436,2.99346,0.01541,0.16263,0.02767,60,50,55,78.71733758066,-64.93572411116,78.71733758066,-64.93572411116
36,LC,T2CEP,W_VIR,NOT_APPLICABLE,,369295551293819386,4690002655423507072,15.03727603,4.9953E-4,nan,nan,nan,nan,nan,nan,1667.52515614,7.0644E-4,1666.60712944,7.0644E-4,1668.44326,7.0644E-4,16.9123,6.0E-4,17.3187,0.0102,16.332,0.0043,0.931347,0.001663,1.060342,0.040403,0.842343,0.011028,nan,nan,0.15579,0.00185,nan,nan,6.66438,0.01153,nan,nan,27,21,23,10.08896663895,-71.47998047495,10.08896663895,-71.47998047495
37,LC,DCEP,,MULTI,F/2O,369295551293819386,4650448854192694144,1.0593712,1.365E-5,nan,nan,0.64016247,6.629E-5,nan,nan,1693.98426556,1.638E-5,1694.00692573,1.638E-5,1693.9881207,1.638E-5,17.0584,0.0015,17.3733,0.0074,16.5552,0.0054,0.246645,0.002174,0.347085,0.01044,0.181758,0.007581,nan,nan,0.26748,0.01031,nan,nan,3.25517,0.03933,nan,nan,20,17,16,84.54695081343,-73.04030998145,84.54695081343,-73.04030998145
38,LC,T2CEP,RV_TAU,NOT_APPLICABLE,,369295551293819386,4654712111760606848,33.66477611,0.0034122,nan,nan,nan,nan,nan,nan,1602.03863073,0.00482558,1601.14993785,0.00482558,1602.62667227,0.00482558,16.1326,3.0E-4,16.6062,0.0058,15.3626,0.0013,0.342017,0.001198,0.274254,0.010651,0.283494,0.005867,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25,23,23,73.18001012601,-70.79370574368,73.18001012601,-70.79370574368
39,LC,DCEP,,FUNDAMENTAL,,369295551293819386,4657662479439348608,2.3663852,6.4E-6,nan,nan,nan,nan,nan,nan,1690.6583347,9.05E-6,1689.94368372,9.05E-6,1690.4087999,9.05E-6,16.3853,3.0E-4,16.7463,0.0116,15.8981,0.0038,0.721365,0.001289,0.469593,0.031992,0.308512,0.010433,-0.17,0.22,0.44495,0.00236,nan,nan,3.42962,0.0059,nan,nan,19,17,17,83.63617874501,-69.32171676566,83.63617874501,-69.32171676566
40,LC,T2CEP,RV_TAU,NOT_APPLICABLE,,369295551293819386,4661567150190174720,57.55675429,0.00266295,nan,nan,nan,nan,nan,nan,1579.25127163,0.00376597,1580.86160527,0.00376597,1531.89127863,0.00376597,14.8886,2.0E-4,15.3952,0.0012,14.1132,7.0E-4,0.883617,0.001187,0.412328,0.003305,0.346348,0.002584,nan,nan,0.43773,0.00105,0.33163,0.00122,5.51654,0.00392,5.08265,0.0031,31,29,29,73.930290964,-67.85272013513,73.930290964,-67.85272013513
41,LC,ACEP,,FIRST_OVERTONE,,369295551293819386,4659661288479102976,nan,nan,0.7552192,1.71E-6,nan,nan,nan,nan,1664.38758683,2.41E-6,1665.15057955,2.41E-6,1665.18150975,2.41E-6,18.0438,3.0E-4,18.1322,0.0016,17.5335,0.0013,0.322146,0.001939,0.331025,0.017561,0.223518,0.013662,nan,nan,0.19762,0.00494,0.11898,0.00314,4.70727,0.02742,3.3993,0.04215,111,93,99,87.53610656581,-66.91290887603,87.53610656581,-66.91290887603
42,LC,DCEP,,MULTI,F/2O,369295551293819386,4687172439476667008,1.0807545,1.84E-6,nan,nan,0.64896072,3.8E-6,nan,nan,1698.83094103,2.61E-6,1698.87121517,2.61E-6,1698.85678474,2.61E-6,17.7874,7.0E-4,18.0107,0.0103,17.4017,0.0081,1.059239,9.92E-4,0.937965,0.014594,0.769722,0.011426,nan,nan,0.59238,0.00439,nan,nan,3.99367,0.00963,nan,nan,26,22,21,19.30211012214,-73.06297995841,19.30211012214,-73.06297995841
43,LC,T2CEP,RV_TAU,NOT_APPLICABLE,,369295551293819386,4659396168752528640,80.69764638,0.00564496,nan,nan,nan,nan,nan,nan,1514.33561184,0.00798318,1510.98857124,0.00798318,1514.54379305,0.00798318,15.1349,2.0E-4,15.9123,0.0016,14.3009,0.0023,0.648997,7.29E-4,0.782847,0.005871,0.471521,0.00754,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22,20,16,86.96208338318,-67.89020066488,86.96208338318,-67.89020066488
44,LC,DCEP,,FIRST_OVERTONE,,369295551293819386,4685710333854360576,nan,nan,0.9856723,3.39E-6,nan,nan,nan,nan,1699.25390799,4.79E-6,1699.29260899,4.79E-6,1699.30141263,4.79E-6,17.8594,6.0E-4,17.9375,0.006,17.217,0.006,0.616808,0.00376,0.420709,0.030731,0.19051,0.033398,nan,nan,0.36153,0.00507,nan,nan,3.51549,0.01955,nan,nan,26,18,19,15.29356528333,-73.29473620626,15.29356528333,-73.29473620626
45,LC,ACEP,,FUNDAMENTAL,,369295551293819386,4687359635630406400,1.25850752,7.19E-6,nan,nan,nan,nan,nan,nan,1698.49980042,1.017E-5,1698.50343863,1.017E-5,1698.51712081,1.017E-5,17.9862,0.001,18.232,0.0073,17.6157,0.0063,0.878338,0.002935,0.930253,0.028091,0.557342,0.029108,nan,nan,0.50477,0.00721,0.25293,0.00437,4.20745,0.01767,2.17473,0.02072,31,26,26,19.85671471592,-72.30855713798,19.85671471592,-72.30855713798
46,LC,DCEP,,FUNDAMENTAL,,369295551293819386,4685819799658271360,1.37659463,6.06E-6,nan,nan,nan,nan,nan,nan,1698.37443117,8.58E-6,1739.77018316,8.58E-6,1698.42434034,8.58E-6,17.7989,6.0E-4,17.9967,0.0075,17.3491,0.0042,0.945401,0.003169,0.888666,0.028151,0.667977,0.029848,-0.49,0.22,0.54258,0.00792,0.50014,0.00637,3.91972,0.0157,1.38444,0.01535,25,20,20,10.29489925891,-73.81339923571,10.29489925891,-73.81339923571
47,LC,T2CEP,RV_TAU,NOT_APPLICABLE,,369295551293819386,4766643426242068992,110.34292478,0.01605149,nan,nan,nan,nan,nan,nan,1436.09300591,0.02270024,1431.51432301,0.02270024,1431.6471944,0.02270024,9.8839,2.0E-4,10.8246,3.0E-4,8.9424,1.0E-4,0.603345,5.71E-4,1.090965,0.002305,0.384562,7.46E-4,nan,nan,0.16822,0.00105,nan,nan,6.21838,0.00581,nan,nan,30,27,27,85.66627663862,-56.41829165037,85.66627663862,-56.41829165037
48,LC,DCEP,,FIRST_OVERTONE,,369295551293819386,4687430588516325632,nan,nan,0.67491805,1.16E-6,nan,nan,nan,nan,1699.93066716,1.65E-6,1699.96045596,1.65E-6,1699.95668363,1.65E-6,17.7068,7.0E-4,17.8105,0.0144,17.2489,0.0053,0.607585,0.002905,0.563927,0.074101,0.327548,0.037103,nan,nan,0.24621,0.00429,0.16298,0.00521,3.78048,0.03065,1.31691,0.02604,27,19,21,16.28565554364,-72.66797575206,16.28565554364,-72.66797575206
49,LC,T2CEP,W_VIR,NOT_APPLICABLE,,369295551293819386,4689083837363463808,17.3332454,0.00663584,nan,nan,nan,nan,nan,nan,1662.16823113,0.0093845,1661.81830727,0.0093845,1662.40982753,0.0093845,17.2342,5.0E-4,17.3334,0.0052,16.8905,0.0035,0.152688,0.003044,0.171446,0.025799,0.115975,0.016676,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28,25,24,14.10206325589,-71.90654444793,14.10206325589,-71.90654444793
50,LC,T2CEP,W_VIR,NOT_APPLICABLE,,369295551293819386,4659497285129779584,12.35567739,0.00186529,nan,nan,nan,nan,nan,nan,1632.26217926,0.00263792,1632.04237297,0.00263792,1631.56532968,0.00263792,17.3132,7.0E-4,17.4244,0.0048,17.0161,0.0046,0.118756,0.001328,0.129355,0.010769,0.094648,0.013635,nan,nan,0.07829,0.03519,nan,nan,6.99419,1.5814,nan,nan,67,55,53,84.49955259641,-67.05305489974,84.49955259641,-67.05305489974
51,LC,T2CEP,W_VIR,NOT_APPLICABLE,,369295551293819386,4652053904979830144,16.75401709,2.5443E-4,nan,nan,nan,nan,nan,nan,1656.99866126,3.5982E-4,1656.3260022,3.5982E-4,1657.33665734,3.5982E-4,16.3661,4.0E-4,16.7774,0.0156,15.7545,0.002,1.016102,0.001125,1.181371,0.034216,0.895994,0.007579,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25,23,21,77.9557674387,-70.56977951101,77.9557674387,-70.56977951101
52,LC,DCEP,,FUNDAMENTAL,,369295551293819386,4652169933485237760,3.10951203,1.845E-5,nan,nan,nan,nan,nan,nan,1689.73620479,2.609E-5,1689.6742679,2.609E-5,1689.89891769,2.609E-5,16.0847,0.0026,16.3909,0.0231,15.5473,0.0042,0.622473,0.003595,0.827495,0.06485,0.417224,0.010241,-0.07,0.22,0.41301,0.00441,0.20091,0.00365,4.26399,0.01119,2.45637,0.01853,19,16,18,77.22591607521,-70.10202530664,77.22591607521,-70.10202530664
53,LC,DCEP,,FIRST_OVERTONE,,369295551293819386,4654987608139739520,nan,nan,0.60354671,1.0E-6,nan,nan,nan,nan,1695.19029771,1.41E-6,1695.2269113,1.41E-6,1695.24563218,1.41E-6,17.5696,7.0E-4,17.8782,0.0104,17.1323,0.0231,0.528134,0.004311,0.325611,0.037036,0.193192,0.086502,nan,nan,0.19855,0.00473,0.23351,0.00742,4.00883,0.03784,1.08647,0.02303,21,16,14,70.41497423031,-70.09696593642,70.41497423031,-70.09696593642
54,LC,DCEP,,FUNDAMENTAL,,369295551293819386,4656167246667858304,3.73257434,6.64E-5,nan,nan,nan,nan,nan,nan,1687.38988896,9.391E-5,1687.34326547,9.391E-5,1688.39167102,9.391E-5,15.9618,5.0E-4,16.3629,0.0039,15.3967,0.0062,0.494796,0.001549,0.665775,0.012016,0.440078,0.024577,0.1,0.22,0.36171,0.005,0.17913,0.00421,4.36366,0.00977,2.9403,0.0204,18,19,18,70.22656373471,-69.11507384786,70.22656373471,-69.11507384786
