HIP,RAhms,DEdms,Vmag,Plx,e_Plx,Type,Period,u_Period,distance
16335,03 30 34.48,+47 59 42.6,4.36,9.23,0.83,,nan,,108.34237
16339,03 30 36.90,-47 22 30.6,5.98,8.81,0.56,ELL,0.935971,,113.50737
16366,03 30 50.55,-32 30 19.6,8.93,3.57,1.31,LB:,nan,,280.11206
16367,03 30 51.50,+43 59 05.6,9.08,5.8,1.24,CST,nan,,172.41379
16399,03 31 09.42,+13 34 34.0,8.77,11.11,1.4,,nan,,90.009
16406,03 31 15.67,+41 43 35.3,7.32,3.18,0.85,GCAS,nan,,314.4654
16413,03 31 20.78,-30 30 58.7,9.9,7.81,2.59,TTS/ROT,1.856,,128.04097
16412,03 31 20.79,+58 29 38.3,8.6,0.85,1.24,LB:,nan,,1176.4706
16424,03 31 29.35,+49 12 35.2,6.29,6.97,0.79,ELL:,0.5287,,143.47203
16429,03 31 31.68,+25 43 17.7,9.09,2.1,1.32,ACV,0.713837,,476.1905
16431,03 31 33.61,+26 15 56.0,10.75,10.1,6.98,ROT,3.24215918,,99.009895
16438,03 31 41.78,+37 19 53.1,8.74,1.19,1.27,ACV,5.34,,840.3361
16448,03 31 53.33,+56 26 25.7,7.98,9.38,1.12,VAR,0.4146,,106.60981
16470,03 32 08.58,+48 01 24.7,5.47,5.57,0.71,SXARI,2.4761,,179.5332
16473,03 32 09.43,+42 44 57.7,7.27,4.7,0.93,CST,nan,,212.76596
16475,03 32 09.91,-50 49 10.5,8.52,0.99,0.83,MISC,197.4,,1010.101
16484,03 32 15.22,-65 24 51.6,7.92,3.11,0.62,SR,nan,,321.54343
16490,03 32 16.42,+44 50 26.5,7.24,0.68,0.94,,nan,,1470.5883
16496,03 32 25.14,-03 18 47.7,8.29,4.39,1.05,EA/SD,2.664152,,227.79044
16499,03 32 26.30,+46 03 25.4,5.3,27.46,0.7,,nan,,36.416607
16502,03 32 26.59,+52 03 57.3,8.47,0.99,1.1,EA,1.447092,,1010.101
16503,03 32 26.68,-25 39 30.5,8.09,0.85,1.22,SRA,64.6,,1176.4706
16511,03 32 35.93,+09 22 24.8,5.76,9.18,0.87,VAR,0.09783,,108.93246
16515,03 32 38.71,+03 08 59.8,7.82,5.68,1.11,,nan,,176.05635
16516,03 32 38.98,+44 51 20.8,6.42,2.09,0.78,BCEP,0.2017786,,478.46893
16518,03 32 40.02,+35 27 42.2,5.91,1.99,0.82,PULS,0.058663,,502.51257
16561,03 33 13.39,-53 24 37.7,9.29,1.58,0.95,MISC,22.39,,632.9114
16566,03 33 14.65,-25 52 18.2,11.34,2.86,2.12,CST,nan,,349.65036
16591,03 33 35.02,+39 53 58.5,5.79,18.29,0.81,ELL/DM,0.9171877,,54.674683
16592,03 33 35.73,-69 01 00.2,9.25,4.06,0.81,ELL:,1.10056,,246.30542
16593,03 33 35.92,+14 40 42.6,7.6,1.14,1.06,LB:,31.163268,,877.193
16596,03 33 37.92,-07 24 54.1,7.59,7.06,0.99,VAR,0.10545,,141.64307
16599,03 33 39.10,+54 58 29.5,5.98,14.71,0.78,DSCT,0.031936,,67.980965
16627,03 33 56.33,+15 37 32.5,9.57,6.06,2.39,VAR,3.743646,,165.01651
16635,03 34 01.79,+24 52 51.6,10.87,9.62,2.18,ROT,4.33319604,,103.9501
16643,03 34 08.75,+21 43 44.4,9.22,6.33,1.49,VAR,0.416693,,157.97789
16644,03 34 09.85,+46 50 57.2,8.9,-0.03,3.2,EB,0.97079,,-33333.336
16647,03 34 12.47,-16 09 50.7,10.37,2.15,4.13,M,370.8,,465.11627
16664,03 34 26.62,+24 27 52.1,5.95,6.28,3.96,,nan,,159.23566
16672,03 34 33.58,-31 52 29.3,6.39,2.36,1.04,,nan,,423.72882
16702,03 34 57.14,-19 50 17.1,9.71,0.34,1.75,VAR,nan,,2941.1765
16706,03 34 58.50,+17 42 38.4,9.85,2.54,5.37,EW,0.3999441,,393.7008
16713,03 35 01.16,+32 01 00.7,6.66,14.75,1.87,ELL,1.326363,,67.79661
16718,03 35 06.07,+27 56 53.1,9.79,5.2,3.25,CST,nan,,192.3077
16724,03 35 11.87,+38 00 54.7,7.6,3.62,0.99,ACV,nan,,276.2431
16737,03 35 18.37,+18 54 11.4,7.57,2.26,1.07,SRD:,38.310719,,442.47787
16748,03 35 28.13,+14 10 30.1,9.87,11.04,1.76,VAR,11.266595,,90.57971
16753,03 35 31.68,+22 49 25.3,9.86,9.98,1.58,VAR,2.783513,,100.20041
16772,03 35 49.80,-43 42 59.1,7.02,4.62,0.6,DSCTC,0.091023,,216.45023
16775,03 35 52.99,-69 11 34.8,8.64,2.2,0.82,SRA,416.0,,454.54544
16782,03 35 58.47,+47 05 27.9,6.89,4.56,0.76,,0.9312,,219.29825
16803,03 36 17.39,-17 28 01.3,5.24,6.89,0.82,ACV,1.93,,145.13788
16807,03 36 20.54,-61 29 28.9,9.24,3.45,0.86,LB:,18.82,,289.85507
16810,03 36 21.91,+55 53 12.7,6.81,3.75,0.78,VAR,0.08926,,266.66666
16820,03 36 26.18,+52 55 53.1,7.21,4.27,0.96,LB,nan,,234.19203
16826,03 36 29.36,+48 11 33.7,4.32,4.66,0.73,GCAS,nan,,214.59229
16859,03 36 58.03,+23 12 40.0,6.72,7.46,0.96,ACV,10.61,nan,134.04826
16869,03 37 04.73,+47 15 41.2,7.68,0.43,0.98,VAR,3.92434,,2325.5813
16910,03 37 35.99,-80 51 37.7,9.11,3.68,0.87,,nan,,271.73914
16917,03 37 44.15,+56 44 21.8,6.53,-0.07,0.73,SPB:,0.76205,,-14285.714
16920,03 37 45.20,+40 45 49.3,9.65,4.6,2.06,EA+DSCT,7.16039,,217.39131
16941,03 38 01.04,+55 10 15.1,7.66,2.78,0.88,BE,5.27,,359.71222
16950,03 38 04.84,+20 14 02.3,9.45,6.62,1.64,VAR,15.36354,,151.0574
16955,03 38 06.14,+46 16 34.9,9.08,0.92,1.2,VAR,1.8685,,1086.9565
16966,03 38 15.56,+47 34 37.4,7.45,4.45,0.9,SXARI:,nan,,224.71912
16974,03 38 19.70,+56 55 58.1,6.29,5.85,0.69,ACV,2.9749,,170.94017
16979,03 38 22.57,+22 29 59.2,10.09,5.86,1.77,GDOR,2.29533393,,170.64845
17016,03 38 54.26,+43 08 11.8,8.63,-0.82,1.19,GCAS,nan,,-1219.5122
17020,03 38 56.85,+24 34 11.7,10.53,3.2,2.21,ROT,2.98619924,,312.5
17024,03 38 58.74,+00 47 47.7,8.66,20.54,1.15,EA,14.891431,,48.68549
17026,03 39 00.06,+20 54 57.1,6.5,6.6,0.95,,nan,,151.51515
17031,03 39 04.29,+13 40 58.7,9.27,5.04,1.52,VAR,3.606685,,198.4127
17032,03 39 04.45,+09 39 10.5,9.07,16.71,1.34,VAR:,nan,,59.844406
17039,03 39 10.83,+27 57 23.5,8.81,3.59,2.1,,nan,,278.55154
17040,03 39 10.85,+11 05 23.9,10.37,0.41,3.03,EA,3.38751,,2439.0244
17042,03 39 12.17,+41 16 58.1,7.84,4.43,0.89,EW,0.465624,,225.73364
17044,03 39 13.46,+24 27 59.9,10.4,8.85,2.11,ROT,2.64666055,,112.99435
17065,03 39 28.39,+12 48 54.8,9.67,6.8,1.94,VAR,1.17128,,147.05882
17070,03 39 30.66,+03 47 34.0,9.86,0.97,1.65,EA,2.2713868,,1030.9279
17084,03 39 37.64,+12 39 17.1,10.02,1.94,2.17,VAR,0.899614,,515.4639
17089,03 39 39.23,-56 14 04.7,6.85,2.58,0.55,,nan,,387.59692
17094,03 39 41.37,+37 47 32.4,9.76,0.97,1.52,EA,3.76674,,1030.9279
17112,03 39 55.56,+45 23 29.6,9.37,2.37,1.39,EA:,nan,,421.94095
17125,03 40 03.07,+27 44 26.2,9.61,7.69,1.51,ROT,0.76640318,,130.03902
17133,03 40 09.95,+13 11 55.7,10.08,6.72,2.0,GDOR,0.773436,,148.80952
17145,03 40 19.56,-43 14 26.8,7.35,1.27,0.77,SRB,nan,,787.4016
17146,03 40 19.97,+61 50 38.4,9.19,2.33,1.41,,nan,,429.18457
17167,03 40 38.33,-05 12 38.5,5.53,4.41,0.75,ACV,3.9474,,226.75737
17168,03 40 38.76,+28 46 24.3,6.86,6.5,1.87,EA,8.161235,,153.84616
17200,03 41 02.87,+54 00 04.1,9.34,0.4,2.33,,nan,,2500.0
17203,03 41 07.84,+37 34 49.0,5.55,4.04,0.81,GCAS:,nan,,247.52475
17220,03 41 18.39,+28 42 10.1,6.88,5.63,0.89,ACV,6.2685,,177.61989
17232,03 41 25.81,+14 53 19.1,9.66,8.99,2.01,GDOR,0.684478,,111.23471
17239,03 41 29.80,-66 28 38.0,7.78,4.68,0.58,ACV:,1.48786,,213.67522
17243,03 41 34.32,-14 17 57.3,7.29,6.14,0.84,VAR:,nan,,162.86646
17245,03 41 36.15,+25 37 10.0,10.1,5.91,1.67,ROT,1.63715883,,169.20474
17257,03 41 48.17,+62 38 54.4,6.99,0.79,1.35,SRB,2800.0,,1265.8228
17261,03 41 49.83,+53 17 37.3,9.34,0.53,3.22,EB,0.97326105,,1886.7926
17264,03 41 50.53,-62 46 01.1,9.73,25.57,1.0,EP,29.625,,39.10833
17289,03 42 04.71,+22 51 31.2,9.17,7.29,1.5,VAR,0.528358,,137.17421
17296,03 42 09.35,+63 13 00.3,5.06,6.27,0.63,SR,24.76,,159.48964
17316,03 42 23.98,+21 28 25.0,9.85,6.28,1.66,ROT,2.29823942,,159.23566
17317,03 42 24.01,+22 25 16.5,10.4,6.66,1.98,ROT,1.58568484,,150.15015
17323,03 42 29.41,+35 38 21.0,9.55,2.55,1.49,ACV,nan,,392.15686
17333,03 42 35.97,+77 10 13.3,7.88,6.99,0.78,EA,3.3637,,143.06152
17338,03 42 39.80,-20 32 43.8,9.16,17.38,1.43,ROT,3.982,,57.537403
17358,03 42 55.48,+47 47 15.6,3.01,6.18,0.85,GCAS:,nan,,161.8123
17361,03 43 00.28,+57 33 56.0,8.34,-0.44,1.08,IA:,nan,,-2272.7273
17373,03 43 10.02,-31 01 09.4,7.07,3.21,0.81,SRB,nan,,311.5265
17379,03 43 18.10,+12 47 38.3,9.11,2.71,1.3,SRB,65.027816,,369.0037
17380,03 43 18.66,+08 30 29.6,9.66,3.17,1.63,RRC|EC|ESD,0.33956,,315.4574
17390,03 43 26.76,-39 37 23.0,9.52,0.11,1.22,SR,40.64,,9090.909
17401,03 43 41.52,+23 38 57.3,7.93,9.48,1.11,VAR:,nan,,105.48524
17423,03 43 57.96,+29 40 58.8,8.05,3.27,0.93,VAR,2.66439,,305.8104
17441,03 44 13.03,-41 16 46.1,8.96,7.52,0.93,EA,0.7223894,,132.97873
17442,03 44 13.27,-43 14 10.4,8.12,1.64,0.79,SRB,nan,,609.7561
17447,03 44 18.63,-41 53 51.6,7.48,1.72,0.65,SRC,358.0,,581.3953
17448,03 44 19.13,+32 17 17.8,3.84,2.21,0.84,ELL,4.4191666,,452.48868
17449,03 44 21.59,-21 06 23.1,8.18,0.82,1.24,VAR,9.59509,,1219.5122
17489,03 44 48.20,+24 17 22.5,5.45,9.75,1.05,VAR,16.20539,,102.5641
17499,03 44 52.52,+24 06 48.4,3.72,8.8,0.89,SPB,1.1073,,113.63636
17519,03 45 02.72,+02 37 17.0,6.65,12.34,0.75,VAR,0.84934,,81.03728
17525,03 45 08.19,+26 17 33.5,11.49,13.35,3.18,ROT,5.26263519,,74.906364
17529,03 45 11.64,+42 34 42.8,3.77,5.86,0.74,,nan,,170.64845
17530,03 45 12.01,-16 24 37.7,8.88,0.88,1.22,EA,2.9598,,1136.3636
17531,03 45 12.48,+24 28 02.6,4.3,8.75,1.08,SPB,1.5664,,114.28571
17543,03 45 23.70,-71 39 29.7,6.26,7.04,0.53,ACV:,2.2301,,142.04546
17553,03 45 33.14,-25 54 55.7,6.97,7.32,0.8,PULS,0.056071,,136.61201
17563,03 45 40.43,+06 03 00.1,5.34,5.54,0.8,,nan,,180.50542
17572,03 45 48.80,+23 08 50.1,6.85,9.68,1.03,VAR,19.71656,,103.30578
17573,03 45 49.59,+24 22 04.3,3.87,9.06,1.03,ACV,10.288,,110.37527
17575,03 45 50.56,+55 03 50.0,6.83,11.43,0.75,VAR:,nan,,87.48906
17579,03 45 54.46,+24 33 16.6,5.76,8.43,0.89,VAR,12.85862,,118.623955
17586,03 46 01.01,+18 34 00.3,9.16,4.65,1.31,DSCT,0.030198,,215.05376
17590,03 46 06.22,+53 54 19.1,7.88,1.45,1.18,SRB:,26.93,,689.65515
17593,03 46 08.50,-12 06 06.2,4.43,6.56,0.8,LB:,nan,,152.43903
17599,03 46 12.55,-25 31 54.8,8.84,1.88,1.27,LB:,nan,,531.9149
17600,03 46 13.16,-24 23 27.7,8.65,6.81,1.72,CST:,nan,,146.84288
17607,03 46 19.33,+20 52 47.6,11.54,4.16,3.43,ROT,5.9333632,,240.38463
17608,03 46 19.56,+23 56 54.5,4.14,9.08,1.04,SPB|LERI,0.4881,,110.13216
17631,03 46 40.87,+32 17 24.7,6.68,4.19,1.03,SXARI/E,1.0498,,238.66348
17704,03 47 29.44,+24 17 18.4,6.83,9.05,0.97,EA,2.46113408,,110.49724
17717,03 47 39.62,-23 52 29.3,5.24,11.98,0.72,ACV:,nan,,83.47246
17735,03 47 52.66,+33 35 59.6,6.57,2.63,1.0,ELL,1.940564,,380.22812
17740,03 47 57.04,+18 39 48.2,9.31,0.86,1.58,EA,0.57345246,,1162.7906
17759,03 48 06.56,+24 59 18.5,6.44,4.42,0.94,VAR,1.48987,,226.24434
17771,03 48 16.25,+11 08 36.1,5.08,5.77,0.97,,nan,,173.31023
17776,03 48 20.80,+23 25 16.9,5.44,9.64,0.91,EA,2.2663,,103.734436
17798,03 48 35.72,-20 54 10.6,5.81,3.93,0.73,VAR,15.21375,,254.45293
17797,03 48 35.82,-37 37 12.5,4.3,20.23,0.83,,nan,,49.431538
17821,03 48 47.53,-07 00 53.7,7.02,1.65,0.96,SRB,73.3,nan,606.0606
17826,03 48 51.57,+11 42 31.7,8.2,6.97,1.58,GDOR,0.443146,,143.47203
17840,03 49 02.74,+55 52 06.2,8.5,2.44,1.1,,nan,,409.83606
17845,03 49 07.29,+32 15 51.4,7.45,3.09,1.21,BCEP:,nan,,323.6246
17846,03 49 08.12,+43 57 46.9,5.95,14.43,0.96,DSCT,0.09937,,69.300064
17847,03 49 09.73,+24 03 12.7,3.62,8.57,1.03,SPB,2.4266,,116.68612
17851,03 49 11.20,+24 08 12.6,5.05,8.42,0.86,GCAS+LERI|SPB,12630.0,,118.76485
17859,03 49 20.92,-20 52 27.3,9.42,3.21,1.56,EA,0.8430936,,311.5265
17861,03 49 21.44,-36 05 33.0,6.75,2.48,0.68,VAR,2.51282,,403.2258
17873,03 49 27.02,+11 08 40.0,7.64,8.73,1.03,EA/RS:,4.86058,,114.54755
17874,03 49 27.28,-36 12 00.4,4.17,15.54,0.58,,nan,,64.35007
17877,03 49 27.57,+52 39 19.5,6.73,0.33,1.12,,nan,,3030.303
17878,03 49 27.79,+12 54 43.5,9.64,11.3,4.77,EW,0.3053717,,88.495575
17881,03 49 30.03,+80 19 20.8,7.16,4.04,0.64,SRB,90.0,,247.52475
17884,03 49 31.29,+65 31 33.6,4.39,3.38,0.63,LB,nan,,295.85797
17885,03 49 32.46,-55 20 55.0,9.65,1.59,1.98,EA,15.10154,,628.9308
17886,03 49 32.70,+33 05 29.0,5.14,10.96,0.81,EB,1.7653511,,91.240875
17889,03 49 35.80,-52 04 48.0,7.45,3.17,0.63,SRA,nan,,315.4574
17890,03 49 36.33,+38 58 55.6,9.33,8.33,3.49,INA,nan,,120.04802
17900,03 49 43.52,+23 42 43.1,6.17,8.58,0.93,BCEP,0.17649,,116.55012
17903,03 49 43.84,-13 53 11.1,8.89,21.7,1.22,VAR:,nan,,46.082947
17911,03 49 48.91,+35 36 00.9,9.5,3.12,1.57,ACV,nan,,320.51282
17921,03 49 55.06,+22 14 39.3,6.05,10.14,0.9,ACV,3.2509,,98.61932
17932,03 50 04.45,+44 58 04.5,5.65,9.41,0.85,,nan,,106.26993
17951,03 50 16.55,-32 17 07.5,6.93,4.43,0.68,,nan,,225.73364
17955,03 50 18.98,-75 53 44.2,7.35,3.55,0.6,SRB,86.0,,281.69016
17959,03 50 21.48,+71 19 56.5,4.59,9.73,0.55,ELL:+EW:,2.7388,,102.774925
17961,03 50 23.56,+19 15 15.7,8.53,2.65,1.24,DSCT,0.12193,,377.3585
17963,03 50 25.07,+52 28 54.9,6.97,2.34,0.98,VAR,1.03826,,427.35043
17968,03 50 29.89,-60 25 39.8,7.77,2.24,0.66,SRB,nan,,446.42856
17971,03 50 32.02,+29 44 41.7,8.8,2.03,1.28,RR:,nan,,492.61084
17981,03 50 36.67,-66 20 39.8,8.02,7.81,0.61,VAR,0.74774,,128.04097
17988,03 50 41.95,+01 33 50.2,6.6,15.35,0.78,EB,0.798871,,65.146576
17993,03 50 44.33,-38 58 55.1,7.05,3.27,0.67,SRB,nan,,305.8104
17998,03 50 51.29,+35 05 59.2,7.84,1.82,1.12,VAR,4.32882,,549.45056
18012,03 51 00.47,+69 06 10.2,7.11,5.0,0.73,*,nan,,200.0
18022,03 51 03.75,+01 43 29.8,7.67,6.81,0.96,VAR,0.3994,,146.84288
18033,03 51 15.86,+13 02 46.1,6.3,7.36,0.89,ACV,2.53465,,135.86957
18035,03 51 17.82,+54 42 16.9,8.39,2.45,1.05,VAR:,nan,,408.16327
18046,03 51 25.30,+25 09 46.6,6.79,4.76,0.83,E,3.535052,,210.08403
18048,03 51 26.49,-40 05 08.5,7.57,3.16,0.75,SRB,nan,,316.4557
18049,03 51 26.98,+12 04 18.1,9.09,4.11,1.21,VAR,4.195014,,243.30899
18059,03 51 36.61,+22 01 53.1,6.71,8.64,1.02,VAR,4.13281,,115.74074
18068,03 51 42.58,-22 55 53.5,7.99,4.36,1.67,,nan,,229.35779
18081,03 51 53.72,+34 21 32.9,5.78,3.15,0.84,,nan,,317.4603
18083,03 51 55.42,-11 58 05.3,7.32,3.52,1.01,,nan,,284.0909
18086,03 51 58.36,-25 35 12.7,8.93,5.35,1.38,ESD|EC,1.06735,,186.9159
18091,03 52 00.80,+19 35 49.1,10.5,7.71,1.89,ROT,2.45352586,,129.70169
18111,03 52 18.96,+34 13 19.6,7.43,2.04,1.0,VAR:,nan,,490.19608
18117,03 52 24.76,+12 22 43.8,9.88,6.55,1.62,VAR,2.928203,,152.67175
18124,03 52 33.17,-20 07 30.3,8.68,2.84,1.33,LB:,nan,,352.1127
18151,03 52 48.98,+53 29 01.2,8.36,0.29,1.23,EW,1.052042,,3448.276
18154,03 52 53.47,+24 42 57.0,9.44,8.57,1.57,VAR,0.759791,,116.68612
18165,03 53 01.63,+20 12 28.9,8.97,3.17,2.27,SR:,58.754383,,315.4574
18170,03 53 09.96,+17 19 37.8,5.97,24.14,0.9,VAR:,nan,,41.425022
18172,03 53 12.44,+63 29 00.4,8.05,1.91,0.93,,nan,,523.56024
18174,03 53 13.16,+07 46 14.6,7.47,12.75,0.95,CST,nan,,78.43137
18176,03 53 13.92,+15 35 05.5,9.23,8.81,1.47,VAR,3.351257,,113.50737
18179,03 53 19.98,-79 48 35.2,9.08,7.62,2.8,EW,0.4124405,,131.2336
18192,03 53 30.55,-14 58 14.0,6.93,3.32,0.8,,nan,,301.20483
18201,03 53 34.46,+25 40 58.7,6.35,6.82,0.97,VAR,19.08056,,146.62756
18216,03 53 42.68,-24 36 44.0,4.64,8.46,0.75,SPB,0.86438,,118.20331
18221,03 53 45.39,+48 53 17.7,9.56,6.86,1.49,,nan,,145.7726
18226,03 53 48.61,-00 03 01.6,10.8,1.5,2.19,,nan,,666.6667
18244,03 54 07.51,+21 08 06.2,11.16,8.69,3.13,VAR,2.920973,,115.07481
18246,03 54 07.92,+31 53 01.2,2.84,3.32,0.75,,nan,,301.20483
18251,03 54 13.68,-00 08 24.0,9.57,4.96,1.6,,nan,,201.6129
18260,03 54 21.77,+58 39 12.0,8.64,-0.69,2.63,DCEP,16.41437,,-1449.2754
18262,03 54 23.18,-40 21 25.3,5.7,6.32,0.57,,nan,,158.22784
18263,03 54 25.23,+24 21 36.7,10.94,6.64,2.81,RS,2.2386,,150.60242
18265,03 54 27.23,+05 10 28.8,7.44,7.17,1.14,DSCTC,0.076,,139.47002
18266,03 54 27.82,+21 23 23.5,10.96,10.26,2.56,VAR,4.549977,,97.46588
18275,03 54 33.94,-52 41 25.2,6.46,9.33,0.52,,nan,,107.18114
18291,03 54 42.44,-29 14 25.9,9.97,-0.99,1.68,SRB:,42.5,,-1010.101
18315,03 54 57.70,+12 54 22.1,9.45,5.78,1.49,DSCT,nan,,173.01038
18318,03 54 58.62,-14 54 21.2,7.11,3.22,0.93,LB:,nan,,310.559
18336,03 55 13.89,-24 01 56.6,10.73,-2.16,1.31,M,252.29,,-462.96295
18337,03 55 15.54,-38 45 33.3,6.81,4.18,0.57,VAR,6.79071,,239.23447
18339,03 55 16.17,-12 05 56.6,5.99,20.41,0.84,roAp,12.458,,48.99559
18350,03 55 23.08,+31 02 45.1,6.79,1.21,0.94,GCAS+HMXB/XP,250.3,,826.4462
18383,03 55 46.34,+56 55 08.7,6.92,5.68,0.86,PULS,0.24065,,176.05635
18398,03 55 59.54,-29 48 38.5,9.02,7.62,1.97,LB:,nan,,131.2336
18417,03 56 15.46,-43 06 57.0,7.54,4.58,0.7,,nan,,218.34062
18424,03 56 20.36,+44 56 15.0,7.75,0.35,0.99,BE,nan,,2857.1428
18428,03 56 27.66,-13 35 51.1,6.37,0.81,0.87,VAR:,nan,,1234.5679
18434,03 56 28.69,+35 04 51.3,5.49,3.36,0.76,BCEP:,nan,,297.61905
18436,03 56 30.01,+85 15 11.8,9.24,4.82,0.84,,nan,,207.46887
18445,03 56 34.52,-56 19 30.6,8.67,5.82,0.75,VAR,1.61324,,171.8213
18455,03 56 37.90,-09 45 03.1,6.18,9.41,0.86,DSCTC,0.155879,,106.26993
18467,03 56 49.95,+13 22 01.4,9.82,7.23,1.73,VAR,1.246569,,138.31259
18468,03 56 50.61,+84 49 09.5,8.3,1.3,0.78,LB:,nan,,769.2308
18474,03 56 53.11,+15 32 13.3,8.75,4.46,1.35,DSCTC,0.154028,,224.21524
18485,03 57 03.80,+23 10 32.1,6.05,6.14,1.03,ACV,1.48778,,162.86646
18492,03 57 12.00,-24 37 53.8,7.24,11.29,0.86,DSCT,nan,,88.57396
18500,03 57 19.36,+32 53 17.7,8.59,6.19,1.26,VAR:,nan,,161.55089
18506,03 57 25.45,+18 41 31.2,10.47,1.07,1.84,VAR,6.226284,,934.5794
18509,03 57 26.47,-22 38 17.4,10.32,-3.19,3.9,EC|ESD,136.2,,-313.4796
18510,03 57 27.80,+77 24 53.3,8.17,3.65,1.31,VAR:,nan,,273.9726
18511,03 57 28.44,-04 13 08.7,9.2,8.04,1.27,EA,2.44962,,124.37811
18517,03 57 34.01,-54 21 26.5,8.44,8.21,0.71,EW,0.490104,,121.80268
18532,03 57 51.22,+40 00 37.0,2.9,6.06,0.82,BCEP,0.191102,nan,165.01651
18547,03 58 03.13,+34 48 50.6,6.54,16.32,0.83,DSCTC,0.052,,61.27451
18548,03 58 05.48,+81 14 22.8,12.93,3.26,8.19,RRAB,0.37898,,306.74847
18564,03 58 27.21,+11 54 21.0,10.26,2.44,2.0,VAR,5.88555,,409.83606
18581,03 58 37.35,+11 01 39.3,7.24,3.64,0.97,LB:,30.59,,274.72528
18585,03 58 38.20,+53 59 19.5,7.03,3.31,0.79,EB,1.762852,,302.1148
18593,03 58 43.63,+69 00 59.5,9.51,2.37,1.16,DPV/ELL,8.0543,,421.94095
18597,03 58 44.74,-61 24 00.5,4.56,6.15,0.46,LB,nan,,162.60162
18599,03 58 46.62,+09 01 33.9,8.47,0.1,1.13,,nan,,10000.0
18605,03 58 52.31,-65 52 53.1,7.64,3.03,0.6,SR,nan,,330.03302
18614,03 58 57.90,+35 47 27.7,3.98,1.84,0.7,*,nan,,543.4783
18643,03 59 25.87,+18 39 46.0,10.96,8.64,2.2,VAR,9.858285,,115.74074
18647,03 59 30.13,-12 34 27.6,5.61,3.66,0.9,VAR:,nan,,273.22403
18659,03 59 40.65,-58 40 29.4,9.42,3.43,0.99,RS,22.72,,291.5452
18662,03 59 44.66,+48 09 04.6,7.73,2.99,1.08,EA/DM,1.7435701,,334.44815
18666,03 59 48.10,-00 01 12.5,9.84,7.51,1.51,VAR:,nan,,133.15579
18673,03 59 55.48,-24 00 58.5,4.62,9.85,0.68,ACV,1.2094,,101.52284
18687,04 00 08.73,+29 42 39.1,7.81,-0.18,1.04,VAR,0.75413,,-5555.555
18691,04 00 15.53,-51 33 53.9,6.51,2.74,0.53,SR,nan,,364.9635
18694,04 00 18.58,-06 23 03.5,8.39,2.16,1.25,SRB:,22.196,,462.96295
18695,04 00 18.98,-31 26 43.6,8.58,2.43,1.04,LB:,nan,,411.5226
18696,04 00 19.26,+23 32 03.5,10.45,3.8,2.15,GDOR,2.050251,,263.1579
18714,04 00 31.93,-41 44 54.4,8.36,18.5,0.79,,nan,,54.054054
18724,04 00 40.82,+12 29 25.4,3.41,8.81,0.99,EA/DM,3.9529478,,113.50737
18734,04 00 47.29,+05 04 58.2,8.6,5.2,1.25,DSCT,nan,,192.3077
18744,04 00 53.81,-62 09 33.7,4.48,6.65,0.48,SRS,25.0,,150.37593
18752,04 00 59.85,+12 12 51.8,10.54,4.15,1.95,VAR,7.169666,,240.96385
18780,04 01 25.09,+32 16 07.6,8.93,3.43,1.58,E:+ACV:,0.50882,,291.5452
18788,04 01 32.03,-01 32 58.7,5.28,7.2,0.83,VAR:,0.8139,,138.88889
18795,04 01 37.32,+53 51 57.4,7.04,-0.62,0.77,,nan,,-1612.9032
18838,04 02 20.26,+47 30 23.9,7.91,0.16,1.08,E,1.619,,6250.0
18843,04 02 26.27,+15 08 02.0,9.57,17.28,1.8,VAR,12.071374,,57.87037
18848,04 02 28.54,+31 29 28.1,8.65,0.34,1.17,VAR,0.77347,,2941.1765
18851,04 02 29.38,+39 05 50.4,7.71,6.92,1.14,PULS,0.060208,,144.50867
18880,04 02 52.85,+58 55 28.1,8.14,0.12,0.97,,nan,,8333.334
18903,04 03 06.61,+41 55 55.5,7.86,2.21,1.04,VAR,4.39,,452.48868
18911,04 03 10.58,+08 52 57.5,6.65,5.04,0.88,,nan,,198.4127
18912,04 03 10.86,+38 03 17.3,7.84,6.9,0.99,ACV,3.90072,,144.92754
18914,04 03 12.99,+34 50 00.6,7.61,2.42,1.06,,nan,,413.2231
18923,04 03 22.12,+48 50 27.2,6.97,8.71,0.81,E,2.888,,114.81056
18926,04 03 24.75,-20 08 37.7,6.47,3.41,0.81,,nan,,293.25513
18928,04 03 26.40,-39 22 42.1,9.02,1.24,0.91,SRB,97.0,,806.4516
18929,04 03 27.98,-52 30 20.4,8.41,3.25,0.73,VAR:,nan,,307.69232
18931,04 03 28.92,-24 27 36.1,7.24,4.93,0.91,SRB,55.0,,202.83977
18933,04 03 29.15,-44 08 16.1,8.03,1.12,0.86,,nan,,892.8571
18939,04 03 33.89,-25 50 52.4,6.57,2.29,0.78,,nan,,436.68124
18957,04 03 44.60,+05 26 08.3,5.32,3.12,0.96,SPB,1.53232423,,320.51282
18972,04 03 54.32,+28 07 33.7,8.05,3.32,1.12,EA/SD,2.7687937,,301.20483
18977,04 03 58.67,-06 03 06.5,7.84,5.95,0.97,GDOR,0.75855,,168.06723
18996,04 04 11.96,+25 23 57.1,8.62,1.38,1.36,LB:,1.0599,,724.6377
19001,04 04 17.85,-19 28 09.3,7.71,4.5,0.97,VAR:,nan,,222.22223
19004,04 04 18.80,-15 43 30.4,8.56,4.56,1.08,SRB,287.1,,219.29825
