HIP,RAhms,DEdms,Vmag,Plx,e_Plx,Type,Period,u_Period,distance
682,00 08 25.69,+06 37 00.5,7.59,25.15,0.97,,nan,,39.761433
686,00 08 27.09,-30 04 06.8,9.5,5.59,1.5,,nan,,178.89087
690,00 08 29.78,-66 30 50.9,9.26,11.01,0.95,VAR,19.48938,,90.82652
696,00 08 33.49,-17 34 40.9,6.11,2.42,0.79,SRB,nan,,413.2231
703,00 08 46.15,-86 11 18.6,11.01,-2.92,2.5,M,373.0,,-342.46576
720,00 08 53.66,-22 10 46.2,7.13,3.16,0.96,SRB,nan,,316.4557
763,00 09 23.27,+58 39 57.2,8.24,1.42,1.15,SPB,0.4223,,704.2254
778,00 09 36.29,-51 44 13.4,9.91,4.45,1.34,,nan,,224.71912
779,00 09 36.36,+62 40 04.1,9.42,4.76,2.01,LC,nan,,210.08403
781,00 09 36.53,+51 34 00.9,10.15,1.4,2.33,M,140.57,,714.2857
796,00 09 51.40,+61 30 50.6,11.18,1.31,1.92,DCEPS,3.6509,,763.3588
813,00 10 02.18,+11 08 44.9,5.54,10.04,0.86,DSCT:,nan,,99.60159
817,00 10 03.18,+46 23 25.3,7.51,7.21,1.55,EA,2.63934,,138.69626
824,00 10 05.49,+25 11 52.4,7.77,3.13,0.9,,nan,,319.4888
834,00 10 10.51,+64 38 48.2,8.11,4.74,0.83,EB,9.0576,,210.97047
840,00 10 18.85,-05 14 54.7,5.84,18.18,0.92,,nan,,55.0055
852,00 10 26.76,+28 39 10.5,7.11,3.65,0.87,SRB,nan,,273.9726
864,00 10 38.10,+16 50 38.7,9.63,0.66,1.37,SRA,37.82,,1515.1515
871,00 10 42.07,+54 53 29.4,8.97,1.74,2.12,EA/GS,36.56522,,574.71265
877,00 10 46.35,+55 20 34.2,8.05,4.86,0.81,,nan,,205.7613
876,00 10 46.36,+58 46 10.3,8.27,1.62,0.92,VAR:,nan,,617.28394
882,00 10 47.19,+32 14 33.3,7.55,2.46,0.87,LB,nan,,406.50406
883,00 10 47.41,-57 29 10.6,8.27,7.77,2.24,EB,0.810352,,128.70013
893,00 10 57.96,-18 34 22.2,7.78,4.53,1.05,LB,nan,,220.75053
926,00 11 31.13,+40 23 56.3,7.47,2.26,0.85,VAR,12.07875,,442.47787
940,00 11 37.15,+58 12 42.6,7.09,2.16,0.77,BE,nan,,462.96295
942,00 11 37.45,+63 26 35.3,9.21,0.53,1.02,,nan,,1886.7926
949,00 11 41.82,+54 20 07.9,8.09,4.25,0.94,VAR,1.789,,235.29411
956,00 11 50.19,+28 25 23.7,7.51,12.79,1.43,,nan,,78.18608
957,00 11 50.43,+66 07 34.9,7.32,1.99,0.98,VAR:,1.434,,502.51257
967,00 11 59.03,+48 09 08.5,6.18,5.93,0.7,VAR,1.36968,,168.63406
970,00 12 01.39,-54 45 03.2,7.8,0.15,0.9,VAR,0.0858,,6666.6665
983,00 12 09.95,-17 56 17.6,5.29,5.33,0.87,LB,nan,,187.61726
988,00 12 15.80,+43 49 05.6,7.95,-0.41,0.93,SRB:,45.13,,-2439.0244
989,00 12 15.86,+22 33 24.2,7.69,2.89,0.85,SRB,26.879806,,346.02075
995,00 12 26.38,+45 57 34.6,8.24,3.99,1.02,,nan,,250.62657
1024,00 12 45.82,+31 18 35.0,9.55,4.23,1.08,VAR,0.52992,,236.40662
1030,00 12 50.24,+37 41 37.2,6.71,1.21,0.8,SPB,2.74725,,826.4462
1032,00 12 53.40,-22 15 51.5,8.49,1.97,1.24,LB,nan,,507.6142
1033,00 12 55.14,-03 22 53.5,7.37,2.47,0.94,,nan,,404.8583
1035,00 12 56.87,+35 36 25.9,8.84,4.68,1.09,VAR,1.9123,,213.67522
1036,00 12 59.25,+66 19 19.4,10.54,0.03,1.54,CST,nan,,33333.336
1041,00 13 01.03,+72 31 19.0,10.59,-4.4,4.78,WR,nan,,-227.27272
1067,00 13 14.15,+15 11 01.0,2.83,9.79,0.81,BCEP+SPB,0.151751,,102.14505
1072,00 13 18.28,-20 37 07.7,7.45,10.64,0.9,VAR:,nan,,93.98496
1074,00 13 19.55,-84 59 38.5,5.78,4.0,0.49,,nan,,250.0
1088,00 13 34.03,-29 34 32.3,8.58,4.09,1.12,DSCT,0.053566,,244.49876
1096,00 13 42.22,-26 01 19.8,5.94,3.22,0.83,,nan,,310.559
1110,00 13 49.55,+25 33 07.1,9.48,1.4,1.24,SRS:,15.11,,714.2857
1112,00 13 50.23,+36 51 37.0,8.9,1.09,1.07,LB:,nan,,917.43115
1113,00 13 52.83,-74 41 17.4,8.76,22.86,0.87,TTS/ROT,3.721,,43.74453
1124,00 14 02.55,+76 01 37.2,7.17,3.49,0.6,VAR,7.45823,,286.53296
1131,00 14 05.98,+73 23 27.3,8.25,1.26,0.84,SRB,53.7,nan,793.6508
1146,00 14 20.81,-62 46 19.1,6.63,2.53,0.62,LB,nan,,395.25693
1158,00 14 27.59,-07 46 49.9,5.13,5.21,0.79,SR,nan,,191.93858
1162,00 14 28.24,+56 15 10.6,9.17,0.1,1.27,DCEP,5.809284,,10000.0
1168,00 14 36.11,+20 12 24.1,4.79,10.01,0.77,VAR,5.9641,,99.9001
1170,00 14 38.43,-18 55 57.7,4.44,6.62,0.82,SR,nan,,151.0574
1182,00 14 45.74,-39 14 35.6,11.83,4.81,3.12,EW,0.364355,,207.9002
1191,00 14 54.50,-09 34 10.4,5.77,9.4,0.78,VAR,0.40048,,106.38298
1192,00 14 55.79,-03 01 38.5,6.64,4.57,0.91,,nan,,218.81837
1193,00 14 55.87,+22 17 03.3,6.25,9.18,0.71,ACV:,nan,,108.93246
1196,00 14 58.78,+08 49 15.7,6.02,12.47,1.28,ELL/DW:,0.841678,,80.19246
