Wavelength_microns,Wavelength_bin_size_microns,Rp/R*,Rp/R*_error
0.42,0.07,0.14137,0.00063
0.53,0.04,0.14059,0.00054
0.58,0.05,0.1407,0.0007
0.68,0.05,0.1395,0.0006
0.7795,0.0495,0.1406,0.0008
0.9295,0.1005,0.1403,0.0008
1.137,0.05,0.13974,0.00049
1.237,0.05,0.13924,0.00033
1.337,0.05,0.13994,0.00031
1.437,0.05,0.14124,0.00039
1.537,0.05,0.14084,0.00056
1.637,0.05,0.14014,0.00039
3.56,0.38,0.13924,0.00104
4.5,0.56,0.1421,0.00117
