wav,rprs
 0.49455,0.1399723
 0.49558,0.1399686
 0.49661,0.1399646
 0.49764,0.1399604
 0.49868,0.1399585
 0.49972,0.1399526
 0.50075,0.1399488
 0.50180,0.1399452
 0.50284,0.1399416
 0.50388,0.1399374
 0.50493,0.1399338
 0.50598,0.1399298
 0.50703,0.1399262
 0.50809,0.1399222
 0.50915,0.1399183
 0.51020,0.1399203
 0.51127,0.1399118
 0.51233,0.1399078
 0.51339,0.1399041
 0.51446,0.1399003
 0.51553,0.1398968
 0.51660,0.1398933
 0.51768,0.1398898
 0.51875,0.1398862
 0.51983,0.1398830
 0.52091,0.1398802
 0.52200,0.1398765
 0.52308,0.1398734
 0.52417,0.1398706
 0.52526,0.1398674
 0.52635,0.1398644
 0.52745,0.1398619
 0.52854,0.1398587
 0.52964,0.1398559
 0.53074,0.1398534
 0.53185,0.1398510
 0.53295,0.1398492
 0.53406,0.1398475
 0.53517,0.1398450
 0.53629,0.1398607
 0.53740,0.1398416
 0.53852,0.1398399
 0.53964,0.1398388
 0.54076,0.1398382
 0.54188,0.1398378
 0.54301,0.1398374
 0.54414,0.1398365
 0.54527,0.1398365
 0.54641,0.1398379
 0.54754,0.1398376
 0.54868,0.1398389
 0.54982,0.1398412
 0.55096,0.1398420
 0.55211,0.1398445
 0.55326,0.1398473
 0.55441,0.1398507
 0.55556,0.1398547
 0.55672,0.1398594
 0.55787,0.1398650
 0.55903,0.1398711
 0.56020,0.1398779
 0.56136,0.1398854
 0.56253,0.1398940
 0.56370,0.1399036
 0.56487,0.1399141
 0.56605,0.1399257
 0.56722,0.1399392
 0.56840,0.1399667
 0.56958,0.1399696
 0.57077,0.1399859
 0.57196,0.1400050
 0.57315,0.1400258
 0.57434,0.1400494
 0.57553,0.1400759
 0.57673,0.1401050
 0.57793,0.1401379
 0.57913,0.1401749
 0.58033,0.1402197
 0.58154,0.1402682
 0.58275,0.1403277
 0.58396,0.1404005
 0.58518,0.1404943
 0.58639,0.1406264
 0.58761,0.1408918
