wav,rprs
 0.30056,0.1296148
 0.30168,0.1295839
 0.30280,0.1295531
 0.30392,0.1295224
 0.30504,0.1294918
 0.30616,0.1294614
 0.30728,0.1294310
 0.30840,0.1294008
 0.30952,0.1293707
 0.31064,0.1293407
 0.31176,0.1293107
 0.31288,0.1292809
 0.31400,0.1292513
 0.31512,0.1292217
 0.31624,0.1291922
 0.31736,0.1291628
 0.31848,0.1291335
 0.31960,0.1291044
 0.32072,0.1290753
 0.32184,0.1290463
 0.32296,0.1290175
 0.32408,0.1289887
 0.32520,0.1289600
 0.32632,0.1289315
 0.32744,0.1289030
 0.32856,0.1288746
 0.32968,0.1288463
 0.33080,0.1288182
 0.33192,0.1287901
 0.33304,0.1287621
 0.33416,0.1287342
 0.33528,0.1287064
 0.33640,0.1286787
 0.33752,0.1286511
 0.33864,0.1286235
 0.33976,0.1285961
 0.34088,0.1285687
 0.34200,0.1285415
 0.34312,0.1285143
 0.34424,0.1284872
 0.34536,0.1284603
 0.34648,0.1284334
 0.34760,0.1284065
 0.34872,0.1283798
 0.34984,0.1283532
 0.35096,0.1283266
 0.35208,0.1283001
 0.35320,0.1282737
 0.35432,0.1282474
 0.35544,0.1282212
 0.35656,0.1281951
 0.35768,0.1281690
 0.35880,0.1281430
 0.35992,0.1281172
 0.36104,0.1280913
 0.36216,0.1280656
 0.36328,0.1280399
 0.36440,0.1280144
 0.36552,0.1279889
 0.36664,0.1279635
 0.36776,0.1279381
 0.36888,0.1279129
 0.37000,0.1278877
 0.37112,0.1278626
 0.37224,0.1278375
 0.37336,0.1278126
 0.37448,0.1277877
 0.37560,0.1277629
 0.37672,0.1277381
 0.37784,0.1277135
 0.37896,0.1276889
 0.38008,0.1276644
 0.38120,0.1276399
 0.38232,0.1276156
 0.38344,0.1275913
 0.38456,0.1275670
 0.38568,0.1275429
 0.38680,0.1275188
 0.38792,0.1274948
 0.38904,0.1274708
 0.39016,0.1274469
 0.39128,0.1274231
 0.39240,0.1273994
 0.39352,0.1273757
 0.39464,0.1273521
 0.39576,0.1273286
 0.39688,0.1273051
 0.39800,0.1272817
 0.39912,0.1272583
 0.40024,0.1272351
 0.40136,0.1272119
 0.40248,0.1271887
 0.40360,0.1271656
 0.40472,0.1271426
 0.40584,0.1271197
 0.40696,0.1270968
 0.40808,0.1270740
 0.40920,0.1270512
 0.41032,0.1270285
 0.41144,0.1270059
 0.41256,0.1269833
 0.41368,0.1269608
 0.41480,0.1269383
 0.41592,0.1269160
 0.41704,0.1268936
 0.41816,0.1268714
 0.41928,0.1268492
 0.42040,0.1268270
 0.42152,0.1268049
 0.42264,0.1267829
 0.42376,0.1267609
 0.42488,0.1267390
 0.42600,0.1267172
 0.42712,0.1266954
 0.42824,0.1266737
 0.42936,0.1266520
 0.43048,0.1266304
 0.43160,0.1266088
 0.43272,0.1265873
 0.43384,0.1265658
 0.43496,0.1265444
 0.43608,0.1265231
 0.43720,0.1265018
 0.43832,0.1264806
 0.43944,0.1264594
 0.44056,0.1264383
 0.44168,0.1264173
 0.44280,0.1263963
 0.44392,0.1263753
 0.44504,0.1263544
 0.44616,0.1263336
 0.44728,0.1263128
 0.44840,0.1262920
 0.44952,0.1262714
 0.45064,0.1262507
 0.45176,0.1262302
 0.45288,0.1262096
 0.45400,0.1261892
 0.45512,0.1261687
 0.45624,0.1261484
 0.45736,0.1261281
 0.45848,0.1261078
 0.45960,0.1260876
 0.46072,0.1260674
 0.46184,0.1260473
 0.46296,0.1260273
 0.46408,0.1260072
 0.46520,0.1259873
 0.46632,0.1259674
 0.46744,0.1259475
 0.46856,0.1259277
 0.46968,0.1259080
 0.47080,0.1258882
 0.47192,0.1258686
 0.47304,0.1258490
 0.47416,0.1258294
 0.47528,0.1258099
 0.47640,0.1257904
 0.47752,0.1257710
 0.47864,0.1257516
 0.47976,0.1257323
 0.48088,0.1257131
 0.48200,0.1256938
 0.48312,0.1256747
 0.48424,0.1256555
 0.48536,0.1256365
 0.48648,0.1256174
 0.48760,0.1255984
 0.48872,0.1255795
 0.48984,0.1255606
 0.49096,0.1255418
 0.49208,0.1255230
 0.49320,0.1255042
 0.49432,0.1254855
 0.49544,0.1254669
 0.49656,0.1254483
 0.49768,0.1254297
 0.49880,0.1254112
 0.49992,0.1253927
 0.50104,0.1253743
 0.50216,0.1253559
 0.50328,0.1253376
