wav,rprs
 0.59848,0.1405221
 0.59960,0.1405097
 0.60072,0.1404979
 0.60184,0.1404866
 0.60296,0.1404756
 0.60408,0.1404648
 0.60520,0.1404543
 0.60632,0.1404440
 0.60744,0.1404338
 0.60856,0.1404237
 0.60968,0.1404138
 0.61080,0.1404039
 0.61192,0.1403942
 0.61304,0.1403845
 0.61416,0.1403749
 0.61528,0.1403653
 0.61640,0.1403558
 0.61752,0.1403464
 0.61864,0.1403370
 0.61976,0.1403277
 0.62088,0.1403184
 0.62200,0.1403092
 0.62312,0.1403000
 0.62424,0.1402908
 0.62536,0.1402817
 0.62648,0.1402726
 0.62760,0.1402636
 0.62872,0.1402546
 0.62984,0.1402456
 0.63096,0.1402367
 0.63208,0.1402278
 0.63320,0.1402189
 0.63432,0.1402101
 0.63544,0.1402013
 0.63656,0.1401926
 0.63768,0.1401839
 0.63880,0.1401752
 0.63992,0.1401665
 0.64104,0.1401579
 0.64216,0.1401494
 0.64328,0.1401408
 0.64440,0.1401323
 0.64552,0.1401239
 0.64664,0.1401154
 0.64776,0.1401070
 0.64888,0.1400987
 0.65000,0.1400904
 0.65112,0.1400821
 0.65224,0.1400739
 0.65336,0.1400657
 0.65448,0.1400575
 0.65560,0.1400494
 0.65672,0.1400413
 0.65784,0.1400333
 0.65896,0.1400253
 0.66008,0.1400174
 0.66120,0.1400095
 0.66232,0.1400016
 0.66344,0.1399938
 0.66456,0.1399861
 0.66568,0.1399784
 0.66680,0.1399707
 0.66792,0.1399631
 0.66904,0.1399556
 0.67016,0.1399481
 0.67128,0.1399407
 0.67240,0.1399333
 0.67352,0.1399260
 0.67464,0.1399187
 0.67576,0.1399115
 0.67688,0.1399044
 0.67800,0.1398974
 0.67912,0.1398904
 0.68024,0.1398835
 0.68136,0.1398766
 0.68248,0.1398699
 0.68360,0.1398632
 0.68472,0.1398566
 0.68584,0.1398501
 0.68696,0.1398437
 0.68808,0.1398374
 0.68920,0.1398311
 0.69032,0.1398250
 0.69144,0.1398190
 0.69256,0.1398131
 0.69368,0.1398073
 0.69480,0.1398016
 0.69592,0.1397960
 0.69704,0.1397906
 0.69816,0.1397853
 0.69928,0.1397801
 0.70040,0.1397751
 0.70152,0.1397702
 0.70264,0.1397655
 0.70376,0.1397610
 0.70488,0.1397566
 0.70600,0.1397524
 0.70712,0.1397484
 0.70824,0.1397446
 0.70936,0.1397411
 0.71048,0.1397377
 0.71160,0.1397346
 0.71272,0.1397317
 0.71384,0.1397291
 0.71496,0.1397268
 0.71608,0.1397248
 0.71720,0.1397231
 0.71832,0.1397217
 0.71944,0.1397206
