   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    1.05000  0.00000000000E+00   1.68532   3.63365  11.94146 -30.00000   0.44699   0.00000  0.00000E+00  9.00930E-01  3.78200E-02  1.18800E-02     0.82610     0.21840     0.00000     0.00020    -0.04495  5.64900E-01  3.74800E-01  8.64100E-03  5.08700E-03  2.64100E-02   1.0000000000
        2    1.05000  1.53490000000E+02   1.68532   3.63365  11.94146 -30.00000   0.44699   0.00000  0.00000E+00  9.00940E-01  3.78100E-02  1.18800E-02     0.74440     0.21850     0.00000     0.00020     0.03618  5.64900E-01  3.74800E-01  8.64100E-03  5.08700E-03  2.64100E-02   1.0000030521
        3    1.05000  3.45360000000E+02   1.68532   3.63365  11.94146 -30.00000   0.44699   0.00000  0.00000E+00  9.00940E-01  3.78200E-02  1.18800E-02     0.82840     0.21840     0.00000     0.00020    -0.04717  5.64900E-01  3.74800E-01  8.64100E-03  5.08700E-03  2.64100E-02   1.0000068673
        4    1.05000  5.85190000000E+02   1.68532   3.63365  11.94146 -30.00000   0.44699   0.00000  0.00000E+00  9.00930E-01  3.78200E-02  1.18800E-02     0.81580     0.21840     0.00000     0.00020    -0.03462  5.64900E-01  3.74800E-01  8.64100E-03  5.08700E-03  2.64100E-02   1.0000116362
        5    1.05000  8.84980000000E+02   1.68532   3.63365  11.94146 -30.00000   0.44699   0.00000  0.00000E+00  9.00930E-01  3.78200E-02  1.18800E-02     0.81410     0.21840     0.00000     0.00020    -0.03283  5.64900E-01  3.74800E-01  8.64100E-03  5.08700E-03  2.64100E-02   1.0000175974
        6    1.05000  1.25972000000E+03   1.68531   3.63365  11.94145 -30.00000   0.44699   0.00000  0.00000E+00  9.00930E-01  3.78200E-02  1.18800E-02     0.81340     0.21840     0.00000     0.00020    -0.03216  5.64900E-01  3.74800E-01  8.64100E-03  5.08700E-03  2.64100E-02   1.0000250489
        7    1.05000  1.72814000000E+03   1.68530   3.63365  11.94145 -30.00000   0.44699   0.00000  0.00000E+00  9.00920E-01  3.78300E-02  1.18800E-02     0.81180     0.21840     0.00000     0.00020    -0.03050  5.64900E-01  3.74800E-01  8.64100E-03  5.08700E-03  2.64100E-02   1.0000343632
        8    1.05000  2.31367000000E+03   1.68528   3.63365  11.94143 -30.00000   0.44699   0.00000  0.00000E+00  9.00920E-01  3.78300E-02  1.18800E-02     0.80900     0.21840     0.00000     0.00020    -0.02767  5.64900E-01  3.74800E-01  8.64100E-03  5.08700E-03  2.64100E-02   1.0000460061
        9    1.05000  3.04558000000E+03   1.68524   3.63365  11.94140 -30.00000   0.44699   0.00000  0.00000E+00  9.00910E-01  3.78400E-02  1.18800E-02     0.80510     0.21840     0.00000     0.00020    -0.02386  5.64900E-01  3.74800E-01  8.64100E-03  5.08700E-03  2.64100E-02   1.0000605598
       10    1.05000  3.96046000000E+03   1.68515   3.63366  11.94135 -30.00000   0.44699   0.00000  0.00000E+00  9.00900E-01  3.78500E-02  1.18800E-02     0.80060     0.21850     0.00000     0.00020    -0.01937  5.64900E-01  3.74800E-01  8.64100E-03  5.08700E-03  2.64100E-02   1.0000787517
       11    1.05000  5.10406000000E+03   1.68501   3.63367  11.94126 -30.00000   0.44699   0.00000  0.00000E+00  9.00890E-01  3.78600E-02  1.18800E-02     0.79570     0.21860     0.00000     0.00020    -0.01456  5.64900E-01  3.74800E-01  8.64100E-03  5.08700E-03  2.64100E-02   1.0001014916
       12    1.05000  6.53356000000E+03   1.68483   3.63368  11.94115 -30.00000   0.44699   0.00000  0.00000E+00  9.00880E-01  3.78700E-02  1.18800E-02     0.79090     0.21870     0.00000     0.00020    -0.00987  5.64900E-01  3.74800E-01  8.64100E-03  5.08700E-03  2.64100E-02   1.0001299165
       13    1.05000  8.32046000000E+03   1.68466   3.63369  11.94104 -30.00000   0.44699   0.00000  0.00000E+00  9.00870E-01  3.78800E-02  1.18900E-02     0.78660     0.21890     0.00000     0.00020    -0.00598  5.64900E-01  3.74800E-01  8.64100E-03  5.08700E-03  2.64100E-02   1.0001654481
