   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    0.75000  0.00000000000E+00   1.61719   3.63097  11.91275 -30.00000   0.44870   0.00000  0.00000E+00  9.04450E-01  3.80200E-02  1.11600E-02     0.79990     0.26170     0.00000     0.00030    -0.06199  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000000000
        2    0.75000  1.53490000000E+02   1.61719   3.63097  11.91275 -30.00000   0.44870   0.00000  0.00000E+00  9.04450E-01  3.80200E-02  1.11600E-02     0.71710     0.26180     0.00000     0.00030     0.02041  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000029875
        3    0.75000  3.45360000000E+02   1.61719   3.63097  11.91275 -30.00000   0.44870   0.00000  0.00000E+00  9.04440E-01  3.80200E-02  1.11600E-02     0.80300     0.26170     0.00000     0.00030    -0.06500  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000067221
        4    0.75000  5.85190000000E+02   1.61718   3.63097  11.91275 -30.00000   0.44870   0.00000  0.00000E+00  9.04440E-01  3.80300E-02  1.11600E-02     0.79100     0.26170     0.00000     0.00030    -0.05306  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000113902
        5    0.75000  8.84980000000E+02   1.61718   3.63097  11.91275 -30.00000   0.44870   0.00000  0.00000E+00  9.04440E-01  3.80300E-02  1.11600E-02     0.78810     0.26170     0.00000     0.00030    -0.05015  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000172253
        6    0.75000  1.25972000000E+03   1.61716   3.63097  11.91274 -30.00000   0.44870   0.00000  0.00000E+00  9.04430E-01  3.80300E-02  1.11600E-02     0.78640     0.26160     0.00000     0.00030    -0.04844  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000245192
        7    0.75000  1.72814000000E+03   1.61713   3.63097  11.91272 -30.00000   0.44870   0.00000  0.00000E+00  9.04430E-01  3.80400E-02  1.11600E-02     0.78390     0.26160     0.00000     0.00030    -0.04592  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000336366
        8    0.75000  2.31367000000E+03   1.61707   3.63098  11.91267 -30.00000   0.44870   0.00000  0.00000E+00  9.04420E-01  3.80500E-02  1.11600E-02     0.78020     0.26160     0.00000     0.00030    -0.04221  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000450333
        9    0.75000  3.04558000000E+03   1.61693   3.63099  11.91258 -30.00000   0.44870   0.00000  0.00000E+00  9.04410E-01  3.80600E-02  1.11600E-02     0.77550     0.26170     0.00000     0.00030    -0.03746  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000592793
       10    0.75000  3.96046000000E+03   1.61667   3.63101  11.91241 -30.00000   0.44870   0.00000  0.00000E+00  9.04400E-01  3.80700E-02  1.11600E-02     0.76980     0.26180     0.00000     0.00030    -0.03189  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000770865
       11    0.75000  5.10406000000E+03   1.61627   3.63104  11.91216 -30.00000   0.44870   0.00000  0.00000E+00  9.04380E-01  3.80800E-02  1.11600E-02     0.76370     0.26210     0.00000     0.00030    -0.02602  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000993456
       12    0.75000  6.53356000000E+03   1.61577   3.63107  11.91184 -30.00000   0.44870   0.00000  0.00000E+00  9.04370E-01  3.81000E-02  1.11600E-02     0.75740     0.26250     0.00000     0.00030    -0.02008  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0001271694
       13    0.75000  8.32046000000E+03   1.61532   3.63109  11.91157 -30.00000   0.44870   0.00000  0.00000E+00  9.04340E-01  3.81200E-02  1.11600E-02     0.75140     0.26290     0.00000     0.00030    -0.01447  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0001619497
       14    0.75000  1.05540600000E+04   1.61519   3.63109  11.91151 -30.00000   0.44870   0.00000  0.00000E+00  9.04320E-01  3.81500E-02  1.11600E-02     0.74600     0.26310     0.00000     0.00030    -0.00934  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0002054245
