,starname,HD,HIP,TIC,letter,facility,n_stars,n_planets,discovery_method,year,period,a,planet_radius,planet_mass,density,e,insolation_flux,teff,i,b,K,spectral_type,star_temperature,star_radius,star_mass,star_met,star_luminosity,star_logg,star_age,star_density,star_prot,distance,RA,Dec
3971,Kepler-1403,,,TIC 122605691,b,Kepler,1,1,Transit,2016,5.19492202,0.064,2.14,5.22,2.93,0.0,699.64,1238.0,89.58,0.1578,,,6060.0,1.15,1.11,0.03,0.372,4.36,3.31,1.42752,,2163.9,290.8676391,38.9600779
3972,Kepler-1449,,,TIC 298962633,b,Kepler,1,1,Transit,2016,13.2274528,0.1176,1.68,3.46,4.01,0.0,271.88,867.0,85.35,0.0517,,,5979.0,1.1,1.08,0.04,0.509,4.39,3.47,0.50978,,2006.48,288.2317293,50.5678345
3973,Kepler-1439,,,TIC 120578712,b,Kepler,1,1,Transit,2016,8.07392849,0.0594,1.46,2.73,4.82,0.0,9.08,420.0,85.44,0.928,,,3578.0,0.43,0.46,-0.03,-1.544,4.83,4.07,6.98546,,225.393,285.7396971,40.9798688
3974,Kepler-1602,,,TIC 138299395,b,Kepler,1,1,Transit,2016,11.17931605,0.1074,1.34,2.36,5.39,0.0,124.51,1159.0,89.15,0.381,,,6296.0,1.36,1.22,0.02,0.201,4.25,2.51,1.21717,,629.804,293.5808607,40.4275396
3975,GJ 163,,HIP 19394,TIC 219221189,d,La Silla Observatory,1,3,Radial Velocity,2013,603.95116,1.0304,5.92,29.4,0.779,0.373,,,,,4.42,M,3500.0,0.41,0.4,0.1,-1.708,4.82,6.0,8.24778,,15.1285,62.3228353,-53.3711768
3976,omi UMa,HD 71369,HIP 41704,TIC 73416947,b,Okayama Astrophysical Observatory,2,1,Radial Velocity,2012,1630.0,3.9,13.0,1303.103,3.26,0.13,,,,,33.6,G5 III,5242.0,14.1,3.09,,2.14,,,,,54.9149,127.5649503,60.7177048
3977,Gl 378,,HIP 49189,TIC 252470070,b,Haute-Provence Observatory,1,1,Radial Velocity,2019,3.822,0.039435,3.66,13.02,1.46,0.109,,830.0,,,7.96,M1,3879.0,0.56,0.56,0.06,-1.222,4.69,,4.44497,,14.9545,150.5865513,48.0824515
3978,BD+48 740,,HIP 12684,TIC 302070274,b,Multiple Observatories,1,1,Radial Velocity,2018,733.0,1.7,13.5,540.311,1.21,0.76,,,,,54.0,K3 III,4534.0,10.33,1.09,-0.13,1.64,2.48,,,746.0,666.589,40.7425426,48.9300579
3979,Kepler-1109,,,TIC 137336979,b,Kepler,1,1,Transit,2016,37.6467384,0.2466,2.19,5.43,2.84,0.0,11.38,787.0,89.99,0.3661,,,5893.0,1.06,1.05,0.04,-0.076,4.41,3.8,1.31457,,685.087,291.6462654,39.3966122
3980,Kepler-896,,,TIC 123490277,b,Kepler,1,1,Transit,2016,144.547396,0.5164,2.53,6.94,2.35,0.0,1.99,303.0,88.57,0.752,,,5262.0,0.81,0.84,-0.1,0.481,4.56,5.01,0.37879,,2334.93,282.4391402,43.7344291
