,starname,HD,HIP,TIC,letter,facility,n_stars,n_planets,discovery_method,year,period,a,planet_radius,planet_mass,density,e,insolation_flux,teff,i,b,K,spectral_type,star_temperature,star_radius,star_mass,star_met,star_luminosity,star_logg,star_age,star_density,star_prot,distance,RA,Dec
0,OGLE-2016-BLG-1227L,,,,b,OGLE,1,1,Microlensing,2020,,3.4,13.9,250.0,0.512,,,,,,,,,,0.1,,,,,,,,265.597125,-33.7597778
1,Kepler-276,,,TIC 138213510,c,Kepler,1,3,Transit,2013,31.884,0.1994,2.9,16.6,3.74,0.0,19.79,563.0,86.92,0.3966,,,5779.0,1.03,1.1,0.02,-0.089,4.46,0.4,1.73156,,1144.86,293.568197,39.0363123
2,Kepler-829,,,TIC 123451768,b,Kepler,1,1,Transit,2016,6.88337562,0.0678,2.11,5.1,2.98,0.0,247.47,857.0,89.82,0.075,,,5698.0,0.97,0.98,0.03,0.04,4.46,4.68,5.22062,,1073.76,282.3328312,42.4638125
3,K2-283,,,TIC 266017624,b,K2,1,1,Transit,2018,1.921036,0.0291,3.52,12.2,1.54,,,1186.0,,0.37,,,5060.0,0.82,0.89,0.28,-0.524,4.56,,2.861,,402.915,13.1943679,9.6929181
4,Kepler-477,,,TIC 158633329,b,Kepler,2,1,Transit,2016,11.11990653,0.0911,2.07,4.94,3.06,0.0,38.71,649.0,87.75,0.68,,,5240.0,0.79,0.87,-0.04,-0.372,4.58,2.09,1.44556,,367.0,288.067445,42.355305
5,HAT-P-15,,,TIC 353459965,b,HATNet,1,1,Transit,2010,10.8635,0.0965,11.882,616.5902,1.96,0.19,,904.0,89.1,0.342,180.6,G5,5568.0,1.07,1.0,0.22,0.0,4.38,6.8,1.14,,192.516,66.248142,39.460602
6,HD 149143,HD 149143,HIP 81022,TIC 281520119,b,Haute-Provence Observatory,1,1,Radial Velocity,2005,4.07182,0.053,13.6,422.7139,0.923,0.0167,,,,,150.3,G0,5856.0,1.44,1.2,0.29,0.35,4.25,4.28,0.28619,,73.2801,248.2126715,2.0844547
7,HD 210702,HD 210702,HIP 109577,TIC 456826468,b,Lick Observatory,1,1,Radial Velocity,2007,354.1,1.148,13.4,574.63664,1.31,0.028,,,,,37.8,K1 III,4951.0,4.92,1.61,0.04,1.149,3.28,2.1,,,54.1963,332.9638643,16.0404806
8,HIP 12961,,HIP 12961,TIC 204614039,b,La Silla Observatory,1,1,Radial Velocity,2010,57.435,0.25,13.2,114.4188,0.273,0.17,,,,,24.7,M0,3901.0,0.65,0.69,-0.14,-1.003,4.65,,3.02935,,23.371,41.6800749,-23.0860048
9,NGTS-6,,,TIC 1528696,b,Paranal Observatory,1,1,Transit,2019,0.882059,0.01677,14.863,425.57437,0.711,0.0,983.42,1283.9,78.231,0.976,322.0,,4730.0,0.75,0.77,0.11,-0.592,4.7,9.77,3.9304,,308.262,75.795382,-30.3994612
10,LP 791-18,,,TIC 181804752,c,Transiting Exoplanet Survey Satellite (TESS),1,2,Transit,2019,4.989963,0.029392,2.31,5.95,2.65,0.0,2.35,370.0,89.55,0.28,,M(6.1+/-0.7) V,2960.0,0.17,0.14,-0.09,-2.697,5.12,0.5,31.1,,26.4927,165.6904843,-16.4064445
11,Kepler-396,,,TIC 27769688,c,Kepler,1,2,Transit,2013,88.505,0.378,5.3,17.9,0.661,0.0,5.24,390.0,89.86,0.8056,,,5565.0,1.06,0.85,0.156,-0.135,4.32,4.37,0.57056,,223.757,296.1328135,48.9773095
12,TOI-620,,,TIC 296739893,b,Transiting Exoplanet Survey Satellite (TESS),1,1,Transit,2022,5.0988179,0.04825,3.76,13.6,1.41,0.22,20.8,603.6,87.47,0.887,,M2.5 V,3708.0,0.55,0.58,0.35,-1.288,4.72,7.2,4.89,8.99,33.0231,142.1734459,-12.1671652
13,HATS-44,,,TIC 32499655,b,HATSouth,1,1,Transit,2018,2.7439004,0.03649,11.96,177.9848,0.56,0.279,306.42,1161.0,84.65,0.862,90.0,,5080.0,0.85,0.86,0.32,-0.398,4.51,9.7,1.98,,446.035,84.3267559,-27.9725758
14,GJ 436,,HIP 57087,TIC 138819293,b,W. M. Keck Observatory,1,1,Radial Velocity,2004,2.64388312,0.0291,4.17,22.1,1.8,0.13827,29.43,686.0,86.44,0.736,17.09,M2.5 V,3586.11,0.46,0.47,0.099,-1.585,4.79,6.0,7.0,44.09,9.75321,175.5505363,26.7030669
15,GJ 486,,HIP 62452,TIC 390651552,b,Calar Alto Observatory,1,1,Radial Velocity,2021,1.467119,0.01734,1.305,2.82,7.0,0.05,40.3,701.0,88.4,,3.37,M3.5 V,3340.0,0.33,0.32,0.07,-1.917,4.89,,12.10824,130.1,8.07426,191.981531,9.7494181
16,WASP-132,,,TIC 127530399,c,Transiting Exoplanet Survey Satellite (TESS),1,2,Transit,2022,1.011534,0.0182,1.85,37.35,,0.13,871.73,1385.84822249,86.64,0.28,28.23,K4,4714.0,0.75,0.78,0.18,-0.597,4.58,3.2,1.81,33.0,122.91,217.6091998,-46.159516
17,LHS 1140,,,TIC 92226327,b,MEarth Project,1,2,Transit,2017,24.73694,0.0957,1.635,6.38,8.04,0.096,0.5,378.9,89.877,,4.21,M4.5 V,2988.0,0.21,0.19,-0.262,-2.488,5.06,5.0,25.99071,131.0,14.9861,11.248632,-15.2741085
18,WASP-36,,,TIC 13349647,b,SuperWASP,2,1,Transit,2011,1.53736596,0.02677,14.874,750.39663,1.26,0.019,1422.61,1733.0,83.15,0.657,391.5,,5959.0,0.99,1.08,-0.26,0.001,4.49,1.4,1.595,,386.346,131.5803897,-8.0269855
19,TOI-451,,,TIC 257605131,c,Transiting Exoplanet Survey Satellite (TESS),2,3,Transit,2020,9.192522,0.0823,3.1,9.8,1.81,0.0,82.52,875.0,89.61,0.139,,,5550.0,0.88,0.95,,-0.189,4.56,0.12,1.824,5.1,123.739,62.966385,-37.93973
20,WASP-181,,,TIC 293457754,b,SuperWASP,1,1,Transit,2019,4.5195064,0.05427,13.271,95.03117,0.237,,382.45,1186.0,88.38,0.34,35.7,G2,5839.0,0.97,1.04,0.09,0.049,4.49,2.5,1.64,,437.495,26.7932253,3.1329325
21,NGTS-9,,,TIC 176685457,b,Paranal Observatory,1,1,Transit,2019,4.43527,0.058,11.994,921.707,2.93,0.06,729.0,1448.0,84.1,,293.44,F8 V,6330.0,1.38,1.34,0.31,0.389,4.37,0.96,0.64571,,609.128,141.9206435,-19.3476477
22,55 Cnc,HD 75732,HIP 43587,TIC 332064670,e,McDonald Observatory,2,5,Radial Velocity,2004,0.7365474,0.01544,1.875,7.99,6.66,0.05,2657.83,1958.0,83.59,0.39,6.02,G8 V,5172.0,0.94,0.91,0.35,-0.197,4.43,10.2,1.41,38.8,12.5855,133.1468373,28.3298154
23,HAT-P-69,,,TIC 379929661,b,HATNet,1,1,Transit,2019,4.7869491,0.06555,18.786,1137.8314,1.02,0.0,2238.59,1930.0,87.19,0.366,309.0,,7394.0,1.93,1.65,-0.069,1.0,4.11,1.27,0.36453,,341.263,130.5056385,3.7105662
24,HAT-P-1,,,TIC 346338552,b,HATNet,2,1,Transit,2006,4.46529976,0.05561,14.785,166.86075,0.282,0.0,437.17,1322.0,85.634,0.7501,58.9,G0 V,5980.0,1.17,1.15,0.13,0.225,4.36,3.6,0.908,,158.979,344.4453632,38.674919
25,HAT-P-36,,,TIC 373693175,b,HATNet,1,1,Transit,2011,1.32734683,0.0241,14.314,587.41341,1.175,0.063,1821.0,1780.97,87.13,0.25,334.7,G5 V,5620.0,1.04,1.03,0.25,0.022,4.42,6.6,1.089,,294.419,188.2662048,44.9153672
26,WASP-5,,,TIC 184240683,b,SuperWASP,1,1,Transit,2008,1.6284279,0.0267,12.184,502.15,1.64,0.038,1559.48,1706.0,86.9,0.31,279.7,G5,5700.0,1.03,0.96,0.09,0.067,4.4,5.4,1.24,16.2,309.137,359.3490277,-41.2772202
27,TOI-564,,,TIC 1003831,b,Transiting Exoplanet Survey Satellite (TESS),1,1,Transit,2020,1.651144,0.02734,11.433,464.98529,1.7,0.072,1423.0,1714.0,78.38,0.994,247.0,,5640.0,1.09,1.0,0.143,0.033,4.36,7.3,1.095,,199.581,130.2951535,-16.0363275
28,HATS-30,,,TIC 281459670,b,HATSouth,2,1,Transit,2016,3.1743516,0.04354,13.171,224.38798,0.543,0.096,718.91,1414.0,86.84,0.487,91.8,G,5943.0,1.06,1.09,0.06,0.097,4.42,2.3,1.29,,342.14,5.618525,-59.9425892
29,HAT-P-12,,,TIC 198108326,b,HATNet,1,1,Transit,2009,3.2130598,0.0384,10.749,67.059,0.3192,0.0,117.26,963.0,89.0,0.211,35.8,K4,4650.0,0.7,0.73,-0.29,-0.678,4.61,2.5,2.205,,142.751,209.3886452,43.49331
30,TOI-481,,,TIC 339672028,b,Transiting Exoplanet Survey Satellite (TESS),1,1,Transit,2020,10.33111,0.097,11.097,486.2799,1.96,0.153,342.63,1370.0,89.2,0.15,130.3,G,5735.0,1.66,1.14,0.26,0.435,4.06,6.7,12.52,,179.366,110.5126861,-57.384998
31,K2-136,,,TIC 18310799,d,K2,2,3,Transit,2017,25.575065,,1.45,2.7,4.87,0.14,,373.0,89.4,0.53,,K5.5,4499.0,0.66,0.74,0.15,-0.788,4.66,0.688,3.52,15.0,59.2474,67.4128615,22.8825674
32,HD 149026,HD 149026,HIP 80838,TIC 255930614,b,Subaru Telescope,1,1,Radial Velocity,2005,2.87589,0.04364,8.295,120.7754,0.75,0.0,1529.95,1626.0,84.55,0.571,43.3,G0,6179.0,1.41,1.42,0.32,0.48,4.37,2.6,0.72,,75.8643,247.6229827,38.3475349
33,WASP-170,,,TIC 118956453,b,SuperWASP-South,1,1,Transit,2018,2.34478022,0.0337,12.285,508.528,1.6,,680.0,1422.0,84.87,0.689,255.0,,5600.0,0.94,0.93,0.22,-0.114,4.47,,1.58,,305.603,135.4163028,-20.7203686
34,GJ 3473,,,TIC 452866790,b,Transiting Exoplanet Survey Satellite (TESS),2,2,Transit,2020,1.1980035,0.01589,1.264,1.86,5.03,0.0,59.4,773.0,87.95,0.336,2.21,M4,3347.0,0.36,0.36,0.11,-1.824,4.81,,10.93,168.3,27.3644,120.5936065,3.3371629
35,K2-180,,,TIC 366411016,b,K2,1,1,Transit,2018,8.8656511,0.0734,2.52,11.44182,5.6,0.0,67.0,802.0,88.9,0.46,4.4,K2 V,5306.0,0.72,0.72,-0.5,-0.439,4.57,9.5,3.039,15.7,203.896,126.4643579,10.246577
36,TOI-1693,,,TIC 353475866,b,Transiting Exoplanet Survey Satellite (TESS),1,1,Transit,2022,1.7666957,0.0226,1.41,2.57,5.04,,57.02,764.0,,0.3,,,3499.0,0.46,0.49,,-1.554,4.8,,6.58669,,30.7947,90.3083455,34.7730904
37,TOI-1246,,,TIC 230127302,d,Transiting Exoplanet Survey Satellite (TESS),1,4,Transit,2022,18.6559,0.131,3.51,5.3,0.7,,28.0,586.0,89.5,0.29,1.66,K V,5151.0,0.86,0.87,0.17,-0.316,4.4,,1.81947,38.0,169.422,251.1158702,70.4299917
38,TOI-216,,,TIC 55652896,c,Transiting Exoplanet Survey Satellite (TESS),1,2,Transit,2019,34.525528,0.2069,10.1,177.98391,0.76,0.0046,10.1,497.0,89.84,0.14,,,5026.0,0.75,0.77,0.32,-0.442,4.66,,2.38,,177.945,73.9800129,-63.2603301
39,HATS-42,,,TIC 98283926,b,HATSouth,1,1,Transit,2018,2.292102,0.03689,15.693,597.5204,0.83,0.229,1637.21,1856.0,85.1,0.46,246.0,,6060.0,1.48,1.27,0.22,0.425,4.2,3.26,0.55,,800.377,108.4523991,-33.4373462
40,Kepler-424,,,TIC 264508014,c,McDonald Observatory,1,2,Radial Velocity,2014,223.3,0.73,12.7,2215.18,5.94,,,,,,246.0,,5460.0,0.94,1.01,0.44,-0.15,4.5,4.9,1.73,,698.646,298.6249797,48.57745
41,TOI-257,HD 19916,,TIC 200723869,b,Transiting Exoplanet Survey Satellite (TESS),1,1,Transit,2021,18.38818,0.1528,7.163,43.86032,0.65,0.0,186.0,1027.0,87.91,0.643,8.5,,6095.0,1.87,1.41,0.175,0.636,4.04,,0.305,,76.9028,47.5172608,-50.8322632
42,55 Cnc,HD 75732,HIP 43587,TIC 332064670,c,McDonald Observatory,2,5,Radial Velocity,2004,44.3989,0.2373,8.51,54.4738,0.486,0.03,,,89.73,,9.89,G8V,5172.0,0.94,0.91,0.35,-0.197,4.43,10.2,1.41851,38.8,12.5855,133.1468373,28.3298154
43,TOI-5153,,,TIC 124029677,b,Transiting Exoplanet Survey Satellite (TESS),1,1,Transit,2022,20.33003,0.158,11.882,1036.12061,3.39,0.091,49.56,906.0,88.27,0.725,212.0,F8 V,6300.0,1.4,1.24,0.12,0.464,4.3,5.4,0.649,,390.484,91.5403204,-19.9534443
44,HD 73583,HD 73583,,TIC 101011575,c,Transiting Exoplanet Survey Satellite (TESS),1,2,Transit,2022,18.87974,0.1242,2.39,9.7,3.88,0.08,10.2,498.0,89.72,0.21,2.89,K4 V,4511.0,0.65,0.73,0.0,-0.76,4.62,0.48,3.69,12.2,31.5666,129.6883026,-13.2565267
45,K2-284,,,TIC 5882269,b,K2,1,1,Transit,2018,4.795069,0.04771,2.78,8.15,2.08,0.078,42.6,653.0,89.0,0.28,,,4140.0,0.61,0.63,0.0,-1.013,4.67,0.12,3.91,8.88,107.272,79.1407971,20.2549034
46,LP 714-47,,,TIC 70899085,b,Transiting Exoplanet Survey Satellite (TESS),1,1,Transit,2020,4.052037,0.0417,4.7,30.8,1.7,0.04,38.54,700.0,87.3,0.757,17.6,M0.0 V,3950.0,0.58,0.59,0.41,-1.125,4.64,,3.73287,33.0,52.616,64.1902212,-12.0848643
47,TrES-4,,,TIC 159742538,b,TrES,2,1,Transit,2007,3.55395,0.05084,18.046,247.9074,0.099,0.0,1061.86,1778.0,82.81,0.755,97.4,F8 V,6200.0,1.66,1.08,0.14,0.726,4.06,2.2,0.33,,515.98,268.3043361,37.2117397
48,TOI-544,,,TIC 50618703,b,Transiting Exoplanet Survey Satellite (TESS),1,1,Transit,2022,1.548351,0.0251,2.03,4.78,3.14,,240.2,1082.0,,0.64,,,4369.0,0.66,0.85,,-0.9,4.73,,3.1868,,41.1166,82.2900716,-0.3428983
49,Kepler-74,,,TIC 137903329,b,Kepler,1,1,Transit,2013,7.340711,0.0781,10.76,200.22,0.88,0.0,337.68,1078.0,87.46,0.685,59.0,F8 V,6000.0,1.12,1.18,0.42,0.332,4.44,0.8,1.3,,1177.55,293.0925275,41.3555095
50,HATS-61,,,TIC 44745133,b,HATSouth,1,1,Transit,2018,7.817953,0.07908,13.395,1080.622,2.47,0.092,374.2,1226.1,87.15,0.508,330.0,,5542.0,1.66,1.08,0.247,0.369,4.03,8.9,0.33,,679.761,61.6578005,-25.3496674
51,WASP-23,,,TIC 170102285,b,SuperWASP,1,1,Transit,2010,2.9444256,0.0376,10.783,280.95,1.17,0.062,317.43,1076.54497534,88.39,,147.4,,5150.0,0.77,0.78,0.05,-0.377,4.56,6.2,1.84,,207.49,101.1275033,-42.7622296
52,HD 15337,HD 15337,HIP 11433,TIC 120896927,c,Transiting Exoplanet Survey Satellite (TESS),1,2,Transit,2019,17.1784,0.1268,2.39,8.11,3.23,0.05,29.18,642.0,88.5,0.87,2.16,K1 V,5125.0,0.86,0.9,0.15,-0.326,4.53,5.1,2.07949,36.53,44.8155,36.8678846,-27.6361171
53,TOI-1710,,,TIC 445805961,b,Transiting Exoplanet Survey Satellite (TESS),1,1,Transit,2022,24.283429,0.16,5.34,28.3,0.94,0.16,34.19,673.0,89.6,0.36,6.4,G5 V,5665.0,0.97,0.98,0.1,-0.05,4.46,4.2,1.53,22.5,81.2271,94.2838373,76.21102
54,NGTS-1,,,TIC 192826603,b,Paranal Observatory,1,1,Transit,2017,2.647298,0.0326,14.908,258.07796,0.42,0.016,65.3,790.0,85.27,0.9948,166.0,M0.5,3916.0,0.57,0.62,0.0,-1.153,4.71,,4.4,,218.121,82.7142134,-36.6309812
55,Kepler-686,,,TIC 399794420,b,Kepler,1,1,Transit,2016,1.59474546,0.0258,12.15,,,0.0,2132.9,1539.0,85.25,0.514,,,5649.0,0.92,0.94,-0.07,0.108,4.49,4.47,1.77544,,1490.94,285.213819,39.027466
56,TOI-1899,,,TIC 172370679,b,Transiting Exoplanet Survey Satellite (TESS),1,1,Transit,2020,29.02,0.1587,12.89,209.7678,0.54,0.118,2.9,362.0,89.77,0.22,59.91,M0,3841.0,0.61,0.63,0.31,-1.057,4.67,7.4,3.95,,128.438,299.4268472,40.1433462
57,HIP 97166,,HIP 97166,TIC 237222864,b,Transiting Exoplanet Survey Satellite (TESS),1,2,Transit,2021,10.28891,0.089,2.74,20.0,5.3,0.16,9.7,757.0,,0.836,6.6,K0 V,5198.0,0.84,0.9,0.27,-0.331,4.41,3.33,2.154,,65.9501,296.2446203,74.0628577
58,WASP-132,,,TIC 127530399,b,SuperWASP-South,1,2,Transit,2016,7.133514,0.067,10.05,130.3103,0.84,0.07,50.84,763.0,89.51,0.16,51.0,K4,4714.0,0.75,0.78,0.18,-0.597,4.58,3.2,1.81,33.0,122.91,217.6091998,-46.159516
59,TOI-833,,,TIC 362249359,b,Transiting Exoplanet Survey Satellite (TESS),1,1,Transit,2022,1.0418777,0.0171,1.27,2.15,5.77,,270.07,1118.0,,0.31,,,3920.0,0.6,0.61,,-1.111,4.67,,3.79253,,41.7148,145.645472,-62.4758857
60,KELT-24,HD 93148,HIP 52796,TIC 349827430,b,KELT-North,1,1,Transit,2019,5.5514926,0.06969,14.258,1646.3594,3.13,0.077,750.9,1459.0,89.17,0.134,462.0,F7,6509.0,1.51,1.46,0.186,0.565,4.25,0.78,0.603,,96.5173,161.9090273,71.655727
61,TOI-558,,,TIC 207110080,b,Transiting Exoplanet Survey Satellite (TESS),1,1,Transit,2021,14.574071,0.1291,12.173,1147.36055,3.5,0.298,248.86,1061.0,86.24,0.9073,257.1,F V,6466.0,1.5,1.35,-0.004,0.547,4.22,1.79,0.568,,402.63,42.2915093,-58.0246828
62,WASP-94 A,,,TIC 92352620,b,SuperWASP,2,2,Transit,2014,3.95019,0.055,17.71,158.915,0.118,0.0,1364.09,1604.0,88.7,0.17,45.4,F8,6170.0,1.48,1.67,0.26,0.51,4.27,2.7,0.73,,211.211,313.7832393,-34.1357512
63,WASP-126,,,TIC 25155310,b,SuperWASP-South,1,2,Transit,2016,3.28883,0.0449,10.435,90.3,0.41,0.18,759.34,1480.0,89.51,0.3,36.0,G2,5800.0,1.27,1.12,0.207,0.159,4.28,6.4,0.79,,216.526,63.374706,-69.2265926
64,KOI-94,,,TIC 273231214,d,Kepler,2,4,Transit,2013,22.342989,0.1684,11.27,106.0,0.363,0.022,97.12,806.0,89.871,0.055,18.3,,6182.0,1.52,1.28,0.023,0.479,4.18,3.16,0.77072,,477.052,297.3330716,41.8911186
65,HD 332231,HD 332231,,TIC 199376584,b,Transiting Exoplanet Survey Satellite (TESS),1,1,Transit,2020,18.71204,0.1436,9.718,77.55052,0.464,0.032,98.09,876.0,89.68,0.133,17.3,F8,6089.0,1.28,1.13,0.036,0.305,4.28,4.3,0.766,,80.6665,306.741134,33.7443882
66,Kepler-75,,,TIC 122785299,b,Kepler,1,1,Transit,2013,8.8849116,0.0818,11.77,3209.9,11.0,0.57,106.48,767.0,89.12,0.13,1287.0,K0 V,5200.0,0.89,0.91,0.3,-0.215,4.5,6.2,1.85,19.18,835.356,291.1376203,36.5773443
67,WASP-141,,,TIC 117979897,b,SuperWASP-South,1,1,Transit,2016,3.310651,0.0469,13.563,854.9627,1.98,0.0,1061.55,1540.0,87.6,0.31,315.0,F9,5900.0,1.37,1.25,0.29,0.315,4.26,5.0,0.69,,516.543,71.8244347,-17.1151736
68,HD 39091,HD 39091,HIP 26394,TIC 261136679,b,Anglo-Australian Telescope,1,3,Radial Velocity,2001,2093.07,3.1,12.3,4099.98645,12.1,0.637,,,50.8,,192.6,G0 V,6037.0,1.1,1.09,0.08,0.16,4.42,2.98,1.148,,18.2702,84.2992798,-80.4646041
69,LHS 1678,,,TIC 77156829,c,Transiting Exoplanet Survey Satellite (TESS),2,2,Transit,2021,3.694247,0.0331,0.982,1.4,10.6,0.22,13.5,510.904079282,89.09,0.39,,M2.0 V,3490.0,0.33,0.35,,-1.839,4.89,7.0,13.9,64.0,19.8782,68.1789866,-39.7908744
70,HD 23472,HD 23472,HIP 17264,TIC 425997655,b,Transiting Exoplanet Survey Satellite (TESS),1,2,Transit,2019,17.667,0.121,1.872,17.92,15.0,0.0,15.37,505.014215083,,,5.33,K3.5 V,4813.0,0.73,0.75,-0.19,-0.636,4.38,,3.32753,,39.0341,55.4590314,-62.7672667
71,TOI-1296,,,TIC 219854185,b,Transiting Exoplanet Survey Satellite (TESS),1,1,Transit,2021,3.9443715,0.0497,13.798,94.71287,0.198,0.055,868.16,1562.0,88.81,0.13,34.8,,5603.0,1.66,1.17,0.44,0.39,4.05,6.9,0.324,,323.265,256.7706392,70.2384806
72,TrES-2,,,TIC 399860444,b,TrES,2,1,Transit,2006,2.47063,0.03563,15.244,473.5667,0.884,0.0,903.86,1466.0,83.57,0.8429,181.3,G0 V,5850.0,1.12,1.36,-0.15,0.038,4.43,3.55,1.38,,215.32,286.8085258,49.3164211
73,K2-131,,,TIC 176868951,b,K2,1,1,Transit,2017,0.369311,0.0095,1.5,6.3,7.7,0.0,3842.25,2062.0,89.7,0.4,6.55,,5200.0,0.81,0.84,-0.02,-0.479,4.6,,2.71,9.37,152.509,182.751404,-9.7652392
74,Qatar-10,,,TIC 229791084,b,Qatar,1,1,Transit,2019,1.645321,0.0286,17.295,233.92288,0.248,0.0,1838.37,1955.0,85.87,0.379,114.0,F7 V,6124.0,1.25,1.16,0.016,0.3,4.3,3.2,0.823,,559.068,284.4439052,69.5708373
75,HAT-P-3,,,TIC 311035838,b,HATNet,2,1,Transit,2007,2.8997,0.03866,10.536,206.5895,0.855,0.0,176.59,1189.0,87.24,0.574,89.1,K,5185.0,0.87,1.06,0.27,-0.36,4.56,1.6,2.28,,134.554,206.0940142,48.028565
76,HAT-P-11,,HIP 97657,TIC 28230919,c,W. M. Keck Observatory,1,2,Radial Velocity,2018,3407.0,4.13,13.3,731.009,1.71,0.601,,,135.7,,30.9,K4,4780.0,0.68,0.81,0.31,-0.564,4.66,6.5,3.70008,29.2,37.7647,297.7101763,48.0818635
77,K2-212,,,TIC 388811663,b,K2,1,1,Transit,2018,9.79551,0.0785,2.52,6.9,2.37,,60.65,542.0,89.191,0.38,,,4272.0,0.65,0.67,0.03,-0.91,4.64,,4.445,,109.218,18.4241015,3.0970732
78,HD 97658,HD 97658,HIP 54906,TIC 82308728,b,W. M. Keck Observatory,1,1,Radial Velocity,2010,9.4897116,0.0805,2.12,8.3,4.8,0.05,179.96,751.0,89.05,0.39,2.8,K1 V,5212.0,0.73,0.85,-0.23,-0.455,4.64,3.9,3.1,,21.5618,168.6376584,25.7105962
79,WASP-164,,,TIC 237320326,b,SuperWASP-South,1,1,Transit,2018,1.7771255,0.02818,12.644,676.9779,1.96,0.0,1043.21,1610.0,82.73,0.8216,367.0,G2 V,5806.0,0.93,0.95,-0.01,-0.067,4.46,4.08,1.642,,327.506,344.8735878,-60.4478194
80,HD 86226,HD 86226,HIP 48739,TIC 22221375,b,Las Campanas Observatory,1,2,Radial Velocity,2009,1628.0,2.73,14.3,143.0235,0.269,0.059,,176.0,,,7.74,G1 V,5863.0,1.05,1.02,0.018,0.072,4.4,4.6,1.233,,45.683,149.1235154,-24.0991859
81,HD 5278,HD 5278,HIP 3911,TIC 263003176,b,Transiting Exoplanet Survey Satellite (TESS),1,2,Transit,2021,14.339156,0.1202,2.45,7.8,2.9,0.08,132.0,943.0,89.27,0.27,1.93,F V,6203.0,1.19,1.13,-0.12,0.28,4.5,3.0,0.9319,16.8,57.5846,12.5467785,-83.7437671
82,K2-237,,,TIC 16288184,b,K2,1,1,Transit,2018,2.18053539,0.03558,16.197,433.20012,0.562,0.042,1860.0,1828.0,88.03,0.201,183.0,F9 V,6360.0,1.26,1.26,0.137,0.371,4.34,1.02,0.888,5.07,314.995,253.7688479,-28.7105836
83,Kepler-1656,,,TIC 120255950,c,W. M. Keck Observatory,1,2,Radial Velocity,2022,1919.0,3.053,14.0,126.4,0.253,0.527,,,,,6.35,,5569.0,1.1,1.03,0.19,-0.004,4.4,6.31,1.22864,,185.875,284.4722473,39.911889
84,HAT-P-25,,,TIC 35022727,b,HATNet,1,1,Transit,2010,3.65281514,0.0466,12.722,180.84527,0.483,0.023,325.0,1182.0,88.22,0.347,74.5,G5,5519.0,0.92,1.01,0.294,-0.152,4.52,3.2,1.84,,300.384,48.4354731,25.1973548
85,TOI-763,,,TIC 178819686,c,Transiting Exoplanet Survey Satellite (TESS),1,2,Transit,2020,12.2737,0.1011,2.63,9.32,2.82,0.04,64.32,800.0,,0.51,2.78,G,5450.0,0.9,0.92,0.01,-0.154,4.45,,1.83425,27.0,95.1274,194.468098,-39.7580613
86,HATS-55,,,TIC 114299824,b,HATSouth,1,1,Transit,2019,4.2042001,0.05412,14.022,292.72143,0.587,0.092,355.91,1367.0,86.32,0.662,102.8,,6214.0,1.13,1.2,0.108,0.229,4.41,0.4,1.179,,609.838,114.2833819,-32.7554188
87,TOI-892,,,TIC 66561343,b,Transiting Exoplanet Survey Satellite (TESS),1,1,Transit,2020,10.62656,0.092,11.994,301.9385,0.962,0.125,571.01,1397.0,88.2,0.43,74.0,F,6261.0,1.39,1.28,0.24,0.431,4.26,2.2,0.482,,340.543,86.738228,-11.2353401
88,HAT-P-5,,,TIC 76419763,b,HATNet,1,1,Transit,2007,2.78849,0.04073,13.563,311.4734,0.642,0.0,653.75,1539.0,86.75,0.425,138.0,G,5960.0,1.12,1.04,0.24,0.187,4.37,2.6,1.04,,303.336,274.4055335,36.6214617
89,HD 108236,HD 108236,HIP 60689,TIC 260647166,c,Transiting Exoplanet Survey Satellite (TESS),1,5,Transit,2020,6.203449,0.062,2.071,4.94,3.06,0.034,162.17,932.0,88.3,0.455,,G3 V,5660.0,0.88,0.87,-0.28,-0.15,4.49,6.7,1.82,,64.5978,186.5740627,-51.3630519
90,WASP-156,,,TIC 270380593,b,SuperWASP,1,1,Transit,2017,3.836169,0.0453,5.717,40.68224,1.3,0.007,150.0,970.0,89.1,0.18,19.0,K3,4910.0,0.76,0.84,0.24,-0.435,4.6,6.4,2.68,,122.066,32.782085,2.4181937
91,HATS-69,,,TIC 467971286,b,HATSouth,1,1,Transit,2018,2.2252577,0.03211,10.593,183.38791,0.46,0.519,466.6,1295.7,88.49,0.207,52.0,,5137.0,0.88,0.89,0.377,-0.318,4.5,8.0,1.854,,414.537,289.2974275,-60.8917599
92,Kepler-411,,,TIC 399954349,d,Kepler,2,4,Transit,2018,58.02035,0.279,3.319,15.2,2.3,0.128,3.7,410.0,89.43,0.7193,,K2 V,4987.0,0.82,0.87,0.11,-0.579,4.59,0.212,0.25545,10.4,153.676,287.6057027,49.5233937
93,WASP-183,,,TIC 14344979,b,SuperWASP,1,1,Transit,2019,4.1117771,0.04632,16.477,159.55066,0.21,,268.72,1111.0,85.37,0.916,74.8,G9,5313.0,0.87,0.78,-0.31,-0.209,4.45,14.9,1.68,,325.377,163.7888521,-0.7370663
94,K2-405,,,TIC 149496868,b,K2,1,1,Transit,2022,3.435471,,4.569,18.9,1.09,,146.58,969.0,,0.871,,K0,4927.0,0.77,1.03,0.132,-0.488,4.69,,2.16758,,197.234,164.3759959,12.535614
