id,starname,HD,HIP,TIC,letter,facility,n_stars,n_planets,discovery_method,year,period,a,planet_radius,planet_mass,density,e,insolation_flux,teff,i,b,K,spectral_type,star_temperature,star_radius,star_mass,star_met,star_luminosity,star_logg,star_age,star_density,star_prot,distance,RA,Dec
2872,Kepler-172,,,TIC 237157751,b,Kepler,1,4,Transit,2014,2.940309,0.04,2.35,6.12,2.59,0.0,639.48,1256.0,80.64,0.14,,,5526.0,1.08,1.0,0.23,-0.032,4.38,6.46,1.58662,,828.592,283.3684093,41.821839
2873,Kepler-173,,,TIC 378160351,c,Kepler,1,2,Transit,2014,8.005777,0.074,2.43,6.48,2.48,0.0,258.42,956.0,89.74,0.37,,,6031.0,0.95,0.79,0.036,0.074,4.4,3.3,2.36963,,833.165,294.6466171,41.8840952
2875,Kepler-178,,,TIC 158394235,b,Kepler,1,3,Transit,2014,9.576694,0.085,2.9,8.75,1.97,0.0,84.57,846.0,89.89,0.49,,,5676.0,1.07,0.94,0.18,-0.208,4.33,11.3,2.32199,,716.025,287.1010275,46.8964033
2877,Kepler-18,,,TIC 273690178,c,Kepler,1,3,Transit,2011,7.64159,0.0752,5.49,17.3,0.59,0.0,126.08,899.0,87.68,0.593,5.1,,5345.0,1.11,0.97,0.19,-0.031,4.31,10.0,1.01,,433.047,298.0794448,44.746248
2884,Kepler-191,,,TIC 159647213,b,Kepler,1,3,Transit,2014,9.939632,0.087,1.34,2.36,5.39,0.0,64.29,722.0,84.14,0.14,,,5282.0,0.79,0.81,0.13,-0.414,4.59,0.9,3.25127,,594.464,291.1833211,45.3230937
2885,Kepler-194,,,TIC 63070427,b,Kepler,1,3,Transit,2014,2.092281,0.032,1.51,2.89,4.61,0.0,953.17,1648.0,87.62,0.13,,,6089.0,1.02,1.09,0.16,0.043,4.42,2.5,1.19508,,1097.97,291.971429,47.8640498
2888,Kepler-105,,,TIC 158625964,c,Kepler,1,2,Transit,2014,7.1262,0.0711,1.31,4.6,11.2,0.0,161.0,997.0,84.02,0.558,,,5827.0,0.89,0.96,-0.19,0.097,4.43,3.17,1.32224,,459.223,287.8872376,46.2761224
2889,Kepler-218,,,TIC 271662623,b,Kepler,1,3,Transit,2014,3.619337,0.046,1.48,2.79,4.73,0.0,460.66,1156.0,89.27,0.09,,,5502.0,1.06,1.02,0.31,0.009,4.39,6.3,1.10283,,656.38,295.4128785,46.2665801
2891,Kepler-219,,,TIC 158838045,b,Kepler,1,3,Transit,2014,4.585512,0.057,2.95,9.01,1.93,0.0,456.73,1307.0,82.38,0.03,,,5786.0,1.49,1.17,0.361,0.214,4.16,4.0,1.06034,,787.07,288.7389481,46.7625929
2892,Kepler-198,,,TIC 122519154,d,Kepler,1,3,Transit,2016,1.31184443,0.0229,1.53,2.96,4.54,0.0,1444.52,1562.0,88.78,0.38,,,5636.0,0.93,0.97,0.04,-0.109,4.49,3.72,2.06258,,495.358,290.6731326,38.6910045
2898,Kepler-223,,,TIC 273876171,b,Kepler,1,4,Transit,2014,7.38449,0.0756,2.99,7.4,1.54,0.078,444.05,1042.0,90.0,0.04,,,5803.0,1.72,1.12,0.19,0.371,4.46,7.2,0.4236,,1859.71,298.3183909,47.2794824
2899,Kepler-223,,,TIC 273876171,c,Kepler,1,4,Transit,2014,9.84564,0.0916,3.44,5.1,0.71,0.15,302.47,947.0,90.0,0.31,,,5803.0,1.72,1.12,0.19,0.371,4.46,7.2,0.27849,,1859.71,298.3183909,47.2794824
2905,Kepler-166,,,TIC 26814955,d,Kepler,1,3,Transit,2016,1.55400393,0.0246,1.73,3.64,3.86,0.0,651.41,1313.0,89.87,0.72,,,5350.0,0.83,0.88,-0.03,-0.385,4.55,4.47,2.54733,,603.53,293.1600977,48.8812074
2906,Kepler-213,,,TIC 159521326,b,Kepler,1,2,Transit,2014,2.46236,0.036,1.62,3.26,4.21,0.0,833.47,1326.0,89.72,0.22,,,5696.0,1.2,1.07,0.157,0.082,4.31,1.62,3.62663,,634.939,290.8241931,44.6472832
2908,Kepler-280,,,TIC 159716174,b,Kepler,1,2,Transit,2014,2.139542,0.032,1.45,2.7,4.87,0.0,821.89,1425.0,87.19,0.33,,,5744.0,0.89,0.96,0.121,-0.064,4.54,4.27,1.748,,780.361,291.3905325,42.1804735
2913,Kepler-168,,,TIC 378087276,b,Kepler,1,2,Transit,2014,4.425391,0.056,1.46,2.73,4.82,0.0,725.06,1240.0,88.95,0.18,,,6282.0,1.11,1.11,0.09,0.361,4.42,2.29,0.86387,,1343.6,294.7101832,39.8250437
2914,Kepler-233,,,TIC 27843776,b,Kepler,1,2,Transit,2014,8.472382,0.077,2.43,6.48,2.48,0.0,85.13,751.0,89.95,0.08,,,5360.0,0.76,0.85,-0.09,-0.328,4.61,0.6,3.86328,,856.417,296.3665054,51.3194548
2916,Kepler-171,,,TIC 239229224,b,Kepler,1,3,Transit,2014,4.166972,0.05,2.34,6.08,2.61,0.0,304.18,1053.0,89.89,0.05,,,5642.0,0.84,0.91,0.11,-0.079,4.57,3.47,1.82708,,863.855,296.7719082,41.7555958
2920,Kepler-173,,,TIC 378160351,b,Kepler,1,2,Transit,2014,4.263742,0.048,1.29,2.21,5.66,0.0,599.5,1179.0,88.44,0.25,,,6031.0,0.95,0.79,0.036,0.074,4.4,3.3,2.66952,,833.165,294.6466171,41.8840952
2927,Kepler-176,,,TIC 271159950,b,Kepler,1,4,Transit,2014,5.433074,0.058,1.43,2.63,4.94,0.0,123.8,841.0,86.69,0.07,,,5232.0,0.89,0.79,0.16,-0.404,4.47,13.7,3.56337,,527.321,294.6679021,43.8532104
2932,Kepler-182,,,TIC 267672183,b,Kepler,1,2,Transit,2014,9.825792,0.096,2.58,7.18,2.3,0.0,239.79,935.0,83.03,0.68,,,6250.0,1.15,1.16,0.072,0.344,4.4,3.09,0.19037,,1549.09,289.8301128,50.5862025
2933,Kepler-251,,,TIC 272489533,b,Kepler,1,4,Transit,2014,4.790936,0.053,1.33,2.33,5.44,0.0,203.17,990.0,89.55,0.25,,,5526.0,0.89,0.95,-0.02,-0.172,4.49,3.63,2.12141,,924.625,296.5662171,44.1058077
2936,Kepler-192,,,TIC 158626833,d,Kepler,1,3,Transit,2016,6.47027579,0.0668,1.02,1.04,5.39,0.0,186.08,926.0,85.94,0.63,,,5487.0,0.94,0.94,0.13,-0.094,4.46,6.76,1.6048,,651.674,287.9179379,45.5928829
2945,Kepler-202,,,TIC 258202719,b,Kepler,1,2,Transit,2014,4.069427,0.045,1.63,3.29,4.17,0.0,108.5,802.0,89.62,0.64,,,4668.0,0.67,0.68,-0.263,-0.638,4.65,3.24,4.24656,,285.111,282.9734874,41.3217991
2947,Kepler-207,,,TIC 159217436,b,Kepler,1,3,Transit,2014,1.611865,0.029,1.57,3.09,4.39,0.0,4097.32,1930.0,73.17,0.38,,,5920.0,1.59,1.04,0.18,0.534,4.13,4.17,0.29599,,875.519,290.0305195,42.1660555
2951,Kepler-225,,,TIC 63203294,b,Kepler,1,2,Transit,2014,6.738975,0.056,1.2,1.87,5.95,0.0,38.88,579.0,89.87,0.45,,M1 V,3682.0,0.48,0.59,-0.04,-0.996,4.78,2.88,2.7212,,561.101,292.1939846,47.4570808
2960,Kepler-163,,,TIC 271355638,b,Kepler,1,2,Transit,2014,7.810937,0.078,1.05,1.16,5.51,0.0,115.61,906.0,85.78,0.55,,,5776.0,0.92,0.88,0.141,-0.138,4.52,4.27,2.11347,,689.814,295.0027458,46.9873389
2963,Kepler-1642,,,TIC 273036122,c,Kepler,1,2,Transit,2016,6.6513802,0.0678,2.66,7.56,2.21,0.0,89.63,1095.0,89.85,0.1915,,,5355.0,0.84,0.88,-0.01,-0.405,4.54,4.47,5.96613,,413.873,297.2121215,43.643789
2964,Kepler-170,,,TIC 120253745,b,Kepler,1,2,Transit,2014,7.930592,0.08,3.2,82.6,13.9,0.0,136.52,899.0,87.79,0.76,,,5679.0,1.03,1.09,0.31,-0.055,4.45,1.8,0.91343,,738.657,284.5211975,41.6296562
2971,Kepler-157,,,TIC 122716806,b,Kepler,1,3,Transit,2014,1.732342,0.028,1.32,2.3,5.5,0.0,1572.31,1546.0,88.24,0.02,,,5774.0,1.04,1.02,-0.059,0.091,4.39,4.07,1.38122,,773.713,291.0972257,38.8756049
2972,Kepler-444,,HIP 94931,TIC 394172596,b,Kepler,3,5,Transit,2015,3.6001053,0.04178,0.403,0.0374,3.14,0.16,225.74,938.0,88.0,0.4,,K,5046.0,0.75,0.76,-0.55,-0.425,4.56,11.23,2.493,,36.4396,289.7528323,41.631884
2973,Kepler-444,,HIP 94931,TIC 394172596,c,Kepler,3,5,Transit,2015,4.5458841,0.04881,0.497,0.0793,3.55,0.31,165.73,868.0,88.2,0.42,,K,5046.0,0.75,0.76,-0.55,-0.425,4.56,11.23,2.493,,36.4396,289.7528323,41.631884
2977,Kepler-55,,,TIC 164884002,e,Kepler,1,5,Transit,2014,4.617534,0.048,1.55,3.02,4.46,0.0,73.16,728.0,86.99,0.72,,,4503.0,0.62,0.63,-0.01,-0.763,4.68,2.34,1.67234,,578.796,285.1683291,44.0264898
2984,Kepler-339,,,TIC 26817284,c,Kepler,1,3,Transit,2014,6.988055,0.069,1.15,7.3,26.4,0.0,101.84,914.0,89.92,0.46,,,5631.0,0.8,0.93,0.033,-0.313,4.59,4.37,2.04813,,616.637,293.351701,48.4445922
2985,Kepler-341,,,TIC 159179987,c,Kepler,1,4,Transit,2014,8.01041,0.08,1.7,3.53,3.95,0.0,237.43,940.0,89.82,0.21,,,6012.0,1.02,1.0,0.14,0.127,4.44,3.6,0.90734,,1047.03,289.8615609,43.4727412
2997,Kepler-52,,,TIC 399825554,b,Kepler,1,3,Transit,2012,7.8773565,0.0637,2.1,135.0,,0.0,22.72,553.0,89.92,0.041,,M0 V,4075.0,0.52,0.54,0.0,-0.996,4.74,3.55,8.09685,,321.542,286.7380152,49.9757383
3005,Kepler-619,,,TIC 417659212,c,Kepler,1,2,Transit,2016,1.20846503,0.0225,1.69,3.5,3.98,0.0,1652.91,1767.0,76.66,0.78,,,5980.0,1.11,1.09,0.05,-0.04,4.38,3.47,3.127,,900.678,290.8490899,48.4159782
3006,Kepler-62,,,TIC 164458488,b,Kepler,1,5,Transit,2013,5.714932,0.0553,1.31,9.0,,0.0,80.33,750.0,89.2,0.25,,K2 V,4925.0,0.64,0.69,-0.37,-0.678,4.68,7.0,3.8,,300.874,283.2125621,45.3496992
3016,Kepler-60,,,TIC 158923465,b,Kepler,1,3,Transit,2012,7.1334,0.0719,1.71,4.19,4.62,0.0,318.0,1102.0,86.52,0.896,,,5905.0,1.26,1.04,-0.09,0.369,4.26,5.0,0.14551,,1025.1,288.9612535,42.2650472
3028,Kepler-561,,,TIC 270700432,c,Kepler,1,2,Transit,2016,5.35016198,0.0593,2.68,7.65,2.18,0.0,183.17,989.0,89.98,0.58,,,5646.0,0.94,0.96,0.02,-0.18,4.48,4.27,4.18915,,621.378,293.7471107,45.1071981
3031,Kepler-444,,HIP 94931,TIC 394172596,f,Kepler,3,5,Transit,2015,9.740486,0.0811,0.741,0.332,4.48,0.29,59.91,673.0,87.96,0.79,,K,5046.0,0.75,0.76,-0.55,-0.425,4.56,11.23,2.493,,36.4396,289.7528323,41.631884
3038,Kepler-60,,,TIC 158923465,c,Kepler,1,3,Transit,2012,8.9187,0.0835,1.9,3.85,3.06,0.0,236.0,1023.0,87.32,0.9,,,5905.0,1.26,1.04,-0.09,0.369,4.26,5.0,0.54873,,1025.1,288.9612535,42.2650472
3051,Kepler-619,,,TIC 417659212,b,Kepler,1,2,Transit,2016,5.4042722,0.0611,3.16,10.1,1.76,0.0,224.15,1073.0,89.2,0.76,,,5980.0,1.11,1.09,0.05,-0.04,4.38,3.47,3.13041,,900.678,290.8490899,48.4159782
3058,Kepler-312,,,TIC 274030824,b,Kepler,1,2,Transit,2014,1.772419,0.031,1.29,2.21,5.66,0.0,4124.02,1685.0,89.94,0.36,,,6115.0,1.47,1.2,0.121,0.598,4.19,1.48,0.30899,,797.72,298.3957687,42.4597712
3059,Kepler-314,,,TIC 271052158,c,Kepler,1,2,Transit,2014,5.960392,0.064,2.9,8.75,1.97,0.0,149.98,890.0,85.57,0.75,,,5378.0,0.95,1.02,0.322,-0.226,4.46,2.4,1.49432,,268.881,294.6741507,42.0756037
3061,Kepler-316,,,TIC 159522175,b,Kepler,1,2,Transit,2014,2.240508,0.027,1.06,1.2,5.54,0.0,164.78,837.0,87.63,0.14,,,4204.0,0.52,0.59,-0.23,-0.936,4.74,3.31,5.73497,,384.938,290.825835,44.1838993
3065,Kepler-402,,,TIC 158725491,b,Kepler,1,4,Transit,2014,4.028751,0.051,1.22,1.98,5.99,0.0,619.84,1311.0,88.85,0.06,,,6090.0,1.26,1.15,-0.08,0.203,4.28,1.4,0.75422,,625.339,288.3701976,43.3546109
3066,Kepler-402,,,TIC 158725491,d,Kepler,1,4,Transit,2014,8.921099,0.087,1.38,2.48,5.19,0.0,214.28,1006.0,89.6,0.11,,,6090.0,1.26,1.15,-0.08,0.203,4.28,1.4,1.31615,,625.339,288.3701976,43.3546109
3068,Kepler-406,,,TIC 63066101,b,Kepler,1,2,Transit,2014,2.42629,0.0359,1.43,6.35,11.82,0.0,826.93,1302.0,82.34,0.1,2.89,,5538.0,1.07,1.07,0.18,0.048,4.41,5.84,1.12,,364.03,291.8481764,44.9682807
3071,Kepler-48,,,TIC 171882123,c,Kepler,1,4,Transit,2012,9.67395,0.0845,2.71,14.61,4.01,0.0,67.59,736.0,89.51,0.38,4.74,,5194.0,0.89,0.88,0.17,-0.289,4.49,3.14,1.98,,306.738,299.1393094,40.948939
3072,Kepler-49,,,TIC 137555411,d,Kepler,1,4,Transit,2014,2.576549,0.031,1.6,3.19,4.28,0.0,64.39,717.0,89.14,0.06,,M1 V,4252.0,0.56,0.55,0.03,-1.131,4.73,2.88,5.48224,,311.222,292.2945208,40.5918123
3082,Kepler-53,,,TIC 122446315,d,Kepler,1,3,Transit,2014,9.751962,0.091,2.12,5.14,2.96,0.0,144.85,870.0,80.97,0.81,,,6085.0,0.96,0.98,0.16,0.036,4.5,0.3,0.044,,1366.07,290.4617926,40.5624966
3088,Kepler-990,,,TIC 273591945,b,Kepler,1,2,Transit,2016,9.91723428,0.0883,2.6,7.27,2.27,0.0,157.41,903.0,87.06,0.786,,,5948.0,1.08,1.05,0.01,-0.05,4.39,3.55,0.6042,,802.163,297.9381813,46.8813194
3174,Kepler-968,,,TIC 350814607,d,Kepler,1,3,Transit,2021,7.685,0.0634,2.58,11.02,4.5,0.0,27.35,613.0,86.87,0.3073,,,4413.0,0.67,0.68,-0.58,-0.763,4.68,2.14,38.18455,,290.324,285.6025889,50.1120401
3241,Kepler-969,,,TIC 158785055,c,Kepler,1,2,Transit,2016,1.6829346,0.0272,0.99,0.937,5.31,0.0,564.58,1270.0,82.42,0.4643,,,5214.0,0.82,0.92,0.22,-0.389,4.57,1.51,1.59429,,390.354,288.3724989,47.9335642
3412,Kepler-1047,,,TIC 299029323,c,Kepler,1,2,Transit,2016,3.18897601,0.0434,0.99,0.937,5.31,0.0,1323.07,1309.0,86.09,0.0889,,,5754.0,1.13,1.08,0.29,0.424,4.37,4.47,0.25738,,817.647,288.6462564,50.7889645
3421,Kepler-1371,,,TIC 158840095,b,Kepler,1,2,Transit,2016,3.4462039,0.0393,0.73,0.315,4.45,0.0,414.76,1015.0,85.56,0.1831,,,5361.0,0.83,0.87,-0.07,-0.198,4.55,4.37,3.54402,,515.334,288.8314251,47.5519753
3438,Kepler-148,,,TIC 159171904,b,Kepler,1,3,Transit,2014,1.729366,0.028,1.8,3.89,3.67,0.0,609.02,1284.0,87.87,0.05,,,5272.0,0.85,0.86,0.14,-0.383,4.55,11.2,2.84319,,791.163,289.7861626,46.8588176
3473,Kepler-195,,,TIC 298837729,b,Kepler,1,2,Transit,2014,8.307872,0.077,2.03,4.78,3.14,0.0,74.15,751.0,89.95,0.05,,,5329.0,0.78,0.84,-0.11,-0.367,4.6,0.7,2.41247,,652.051,288.1209339,47.9666141
3476,Kepler-226,,,TIC 63204017,b,Kepler,1,3,Transit,2014,3.940997,0.047,1.55,24.0,35.4,0.0,270.4,1018.0,88.88,0.15,,,5571.0,0.8,0.91,0.16,-0.239,4.59,0.5,2.13629,,980.138,292.3760942,47.8809596
3477,Kepler-224,,,TIC 159642189,b,Kepler,1,4,Transit,2014,3.132924,0.038,1.39,2.51,5.14,0.0,201.49,937.0,89.29,0.32,,,5018.0,0.68,0.82,-0.27,-0.514,4.64,2.29,2.69909,,782.088,290.9342679,47.3575414
3480,Kepler-253,,,TIC 63065911,b,Kepler,1,3,Transit,2014,3.783986,0.046,1.63,3.29,4.17,0.0,194.35,949.0,86.54,0.27,,,5208.0,0.79,0.85,0.03,-0.387,4.59,0.7,4.48753,,838.595,291.8419337,44.858124
3495,Kepler-336,,,TIC 122298677,b,Kepler,1,3,Transit,2014,2.024823,0.033,1.02,1.04,5.39,0.0,1652.5,1625.0,87.61,0.06,,,5867.0,1.3,1.09,0.337,0.26,4.26,4.9,0.67596,,768.86,290.2376224,41.3313637
3496,Kepler-326,,,TIC 270956861,c,Kepler,1,3,Transit,2014,4.580358,0.051,1.4,17.4,34.8,0.0,303.62,889.0,88.6,0.26,,,5105.0,0.8,0.85,0.239,-0.157,4.56,14.0,4.25805,,487.675,294.3255898,46.0022646
3499,Kepler-366,,,TIC 27914560,b,Kepler,1,2,Transit,2014,3.281959,0.045,1.46,2.73,4.82,0.0,1873.31,1326.0,88.5,0.33,,,6209.0,1.05,1.06,0.01,0.573,4.45,0.3,1.0833,,1856.28,296.8520316,49.0844359
3500,Kepler-353,,,TIC 239229234,c,Kepler,2,2,Transit,2014,8.410894,0.065,1.38,2.48,5.19,0.0,16.56,472.0,85.99,0.46,,,3903.0,0.5,0.55,-0.12,-1.187,4.75,3.39,3.40975,,384.694,296.8565596,41.7580749
3504,Kepler-372,,,TIC 350810559,b,Kepler,1,3,Transit,2014,6.849692,0.075,1.36,2.42,5.29,0.0,384.63,1081.0,75.35,0.2,,,6509.0,1.14,1.15,0.16,0.321,4.41,3.09,0.61022,,1493.95,291.2562253,49.2589288
3508,Kepler-393,,,TIC 159580535,b,Kepler,1,2,Transit,2014,9.182417,0.091,1.29,2.21,5.66,0.0,429.81,1052.0,89.07,0.63,,,6189.0,1.38,1.21,0.032,0.524,4.23,2.15,0.56072,,881.404,290.995205,45.192188
3521,Kepler-431,,,TIC 123231081,b,Kepler,1,3,Transit,2015,6.803,0.0719,0.764,0.37,4.56,0.0,577.54,1032.0,80.51,0.295,,,6004.0,1.09,1.07,0.07,0.498,4.4,4.34,0.35793,,486.546,281.1123072,43.2277663
3527,Kepler-445,,,TIC 268060194,b,Kepler,1,3,Transit,2015,2.984151,0.0217,1.58,3.12,4.35,0.0,17.66,401.0,89.74,0.001,7.0,M4,3157.0,0.21,0.18,0.27,-2.1,4.93,6.61,14.39263,,127.201,298.7363395,46.4991236
3532,Kepler-450,,,TIC 27534138,d,Kepler,1,3,Transit,2015,7.51464,0.082,0.837,17.6,165.0,0.14,557.21,1199.0,87.91,0.399,,,6197.21,1.64,1.19,0.128,0.554,4.08,3.02,0.37922,,455.982,295.4865821,51.0135237
3535,Kepler-49,,,TIC 137555411,b,Kepler,1,4,Transit,2012,7.2037945,0.05929,2.72,8.0,3.4,0.0,21.48,509.0,89.9,0.91,,M1 V,3974.0,0.53,0.55,0.03,-1.131,4.73,2.88,4.13698,,311.222,292.2945208,40.5918123
3536,Kepler-444,,HIP 94931,TIC 394172596,e,Kepler,3,5,Transit,2015,7.743493,0.0696,0.546,0.1,4.8,0.1,81.34,727.0,89.13,0.29,,K,5046.0,0.75,0.76,-0.55,-0.425,4.56,11.23,2.493,,36.4396,289.7528323,41.631884
3537,Kepler-446,,,TIC 123417850,d,Kepler,1,3,Transit,2015,5.148921,0.0403,1.35,2.39,5.34,0.0,3.31,436.0,88.72,0.705,4.0,M4,3359.0,0.24,0.22,-0.3,-2.248,5.03,3.72,25.35714,,96.339,282.2501047,44.921002
3540,Kepler-269,,,TIC 122297877,b,Kepler,1,2,Transit,2014,5.326718,0.061,2.47,6.66,2.43,0.0,730.77,1007.0,89.8,0.62,,,5847.0,0.96,0.92,0.02,0.368,4.5,4.57,0.98784,,2257.32,290.2151459,41.775981
3541,Kepler-269,,,TIC 122297877,c,Kepler,1,2,Transit,2014,8.127899,0.081,1.69,3.5,3.98,0.0,416.58,875.0,88.71,0.61,,,5847.0,0.96,0.92,0.02,0.368,4.5,4.57,1.14108,,2257.32,290.2151459,41.775981
3542,Kepler-28,,,TIC 63122956,c,Kepler,1,2,Transit,2011,8.9858,0.081,3.4,432.23,,0.0,35.9,509.0,89.98,0.008,,M0 V,4590.0,0.7,0.75,0.34,-0.745,4.29,2.24,3.50489,,438.359,292.1370409,42.4294835
3551,Kepler-291,,,TIC 158631683,c,Kepler,1,2,Transit,2014,5.700786,0.065,1.88,4.19,3.47,0.0,332.74,1035.0,88.15,0.57,,,6002.0,1.02,0.9,-0.11,0.071,4.47,0.3,11.48591,,1786.48,287.9163029,42.4372666
3553,Kepler-304,,,TIC 377909730,c,Kepler,1,4,Transit,2014,5.315946,0.054,2.17,5.35,2.88,0.0,73.6,746.0,88.47,0.49,,,4731.0,0.69,0.8,0.05,-0.662,4.63,2.09,36.68262,,434.684,294.4418031,40.5575408
3557,Kepler-360,,,TIC 158213532,b,Kepler,1,2,Transit,2014,3.289672,0.044,1.65,3.36,4.11,0.0,415.43,1116.0,89.73,0.07,,,6053.0,1.06,0.95,0.16,-0.132,4.42,3.4,2.29385,,876.044,286.2847077,44.7815817
3563,Kepler-314,,,TIC 271052158,b,Kepler,1,2,Transit,2014,2.461069,0.035,0.83,0.498,4.79,0.0,488.67,1195.0,85.4,0.21,,,5378.0,0.95,1.02,0.322,-0.226,4.46,2.4,1.49432,,268.881,294.6741507,42.0756037
3564,Kepler-303,,,TIC 164460208,c,Kepler,1,2,Transit,2014,7.061149,0.057,1.14,1.55,5.75,0.0,25.85,521.0,88.38,0.68,,M0 V,3944.0,0.48,0.57,-0.414,-1.066,4.77,3.31,60.48401,,209.738,283.1354742,43.6567036
3568,Kepler-32,,,TIC 273590427,b,Kepler,1,5,Transit,2011,5.90124,0.05,2.2,1303.0,,0.0,22.02,514.0,89.92,0.03,,M1 V,3900.0,0.53,0.58,0.0,-1.292,4.64,2.69,4.21511,,323.847,297.8423073,46.5743595
3569,Kepler-330,,,TIC 158727691,b,Kepler,1,2,Transit,2014,8.25978,0.075,1.35,2.39,5.34,0.0,66.58,714.0,89.57,0.64,,,5117.0,0.72,0.79,0.16,-0.442,4.64,0.7,2.75123,,717.527,288.4474035,44.8017616
3570,Kepler-331,,,TIC 351063265,b,Kepler,1,3,Transit,2014,8.457496,0.065,1.82,3.97,3.62,0.0,35.98,540.0,89.58,0.48,,,4347.0,0.49,0.65,0.118,-0.784,4.77,1.2,6.72352,,580.119,291.8343455,39.3073462
3572,Kepler-332,,,TIC 158272257,b,Kepler,1,3,Transit,2014,7.626324,0.07,1.17,1.71,5.87,0.0,53.71,703.0,89.43,0.13,,,4955.0,0.72,0.8,-0.1,-0.584,4.61,2.82,4.39175,,344.19,286.6627811,47.4136938
3574,Kepler-339,,,TIC 26817284,b,Kepler,1,3,Transit,2014,4.977656,0.055,1.42,2.6,4.99,0.0,159.94,1023.0,87.96,0.6,,,5631.0,0.8,0.93,0.033,-0.313,4.59,4.37,1.79524,,616.637,293.351701,48.4445922
3579,Kepler-357,,,TIC 159649595,b,Kepler,1,3,Transit,2014,6.475434,0.063,1.84,4.04,3.56,0.0,69.57,793.0,88.31,0.27,,,5036.0,0.83,0.79,0.18,-0.556,4.5,13.8,2.0051,,688.573,291.2429746,44.0086337
3580,Kepler-323,,,TIC 137150039,c,Kepler,1,2,Transit,2014,3.553822,0.046,1.63,79.7,101.0,0.0,650.01,1292.0,83.05,0.1,,,5987.0,1.18,1.09,-0.215,0.151,4.31,3.96,1.04614,,454.883,291.3822988,38.1274595
3582,Kepler-334,,,TIC 158394479,b,Kepler,1,3,Transit,2014,5.470319,0.061,1.12,1.46,5.71,0.0,300.98,1090.0,89.68,0.11,,,5828.0,1.07,1.07,-0.012,0.056,4.38,1.6,1.51962,,426.59,287.1406177,47.1151153
3584,Kepler-335,,,TIC 272085033,b,Kepler,1,2,Transit,2014,6.562331,0.075,3.39,11.4,1.61,0.0,721.12,1290.0,86.26,0.83,,,5877.0,1.85,1.03,0.278,0.578,4.02,4.37,0.41998,,1278.97,296.0642944,45.4285986
3585,Kepler-360,,,TIC 158213532,c,Kepler,1,2,Transit,2014,7.186434,0.075,2.1,5.06,3.0,0.0,146.5,860.0,87.2,0.19,,,6053.0,1.06,0.95,0.16,-0.132,4.42,3.4,21.41412,,876.044,286.2847077,44.7815817
3587,Kepler-361,,,TIC 272601590,b,Kepler,1,2,Transit,2014,8.486616,0.086,1.45,2.7,4.87,0.0,411.9,1060.0,89.96,0.27,,,6169.0,1.34,1.17,0.024,0.459,4.25,3.16,0.50575,,930.32,296.8034146,46.7411011
3588,Kepler-349,,,TIC 270615037,b,Kepler,1,2,Transit,2014,5.929778,0.065,1.9,94.5,75.7,0.0,248.27,972.0,89.85,0.48,,,5956.0,0.93,1.02,0.151,-0.007,4.52,3.09,3.48156,,940.724,293.6764689,44.6155972
3589,Kepler-363,,,TIC 258349590,c,Kepler,1,3,Transit,2014,7.542427,0.079,1.69,66.4,75.6,0.0,376.29,1054.0,88.44,0.1,,,5593.0,1.49,1.1,0.397,0.365,4.15,5.25,0.30006,,762.596,283.1920779,41.3054172
3591,Kepler-380,,,TIC 48132154,b,Kepler,1,2,Transit,2014,3.930821,0.05,1.19,1.81,5.9,0.0,808.09,1317.0,88.74,0.19,,,6045.0,1.22,1.08,-0.06,0.278,4.29,4.43,1.25891,,813.713,282.3947017,48.7591334
3592,Kepler-380,,,TIC 48132154,c,Kepler,1,2,Transit,2014,7.630004,0.078,1.27,2.15,5.77,0.0,333.56,1056.0,87.84,0.04,,,6045.0,1.22,1.08,-0.06,0.278,4.29,4.43,3.15664,,813.713,282.3947017,48.7591334
3675,KOI-351,,,TIC 267667295,b,Kepler,1,8,Transit,2013,7.008151,0.074,1.31,2.27,5.55,0.0,316.44,1062.0,89.4,0.13,,,6080.0,1.2,1.2,-0.12,0.269,4.4,0.53,1.06266,,848.254,284.4334642,49.3051239
3681,Kepler-242,,,TIC 120899945,b,Kepler,1,2,Transit,2014,8.20395,0.075,2.61,7.32,2.26,0.0,43.77,742.0,86.43,0.06,,,5020.0,0.85,0.81,0.01,-0.613,4.49,14.0,0.65082,,600.241,286.5656932,41.8084168
3700,Kepler-222,,,TIC 158625100,b,Kepler,1,3,Transit,2014,3.936981,0.048,3.16,10.1,1.76,0.0,206.77,1004.0,85.63,0.57,,,5433.0,0.87,0.88,0.05,-0.338,4.55,0.7,4.36488,,758.854,287.9060885,46.9377479
3705,Kepler-113,,,TIC 298834019,c,Kepler,1,2,Transit,2014,8.92507,0.0763,2.18,8.7,,0.0,45.6,628.0,87.69,0.56,,,4725.0,0.69,0.75,0.05,-0.576,4.64,6.89,2.71,,262.351,287.9978721,50.9441847
3707,Kepler-137,,,TIC 123415819,b,Kepler,1,2,Transit,2014,8.436387,0.077,1.47,2.76,4.77,0.0,86.33,742.0,88.33,0.01,,,5187.0,0.8,0.91,-0.02,-0.292,4.55,4.27,2.00607,,302.979,282.1355875,43.0391951
3725,Kepler-144,,,TIC 123409401,b,Kepler,1,2,Transit,2014,5.885273,0.066,1.33,2.33,5.44,0.0,426.72,1253.0,88.06,0.34,,,6075.0,1.24,1.15,-0.185,0.282,4.29,0.94,0.78667,,384.917,281.9156128,42.7755535
