id,starname,HD,HIP,TIC,letter,facility,n_stars,n_planets,discovery_method,year,period,a,planet_radius,planet_mass,density,e,insolation_flux,teff,i,b,K,spectral_type,star_temperature,star_radius,star_mass,star_met,star_luminosity,star_logg,star_age,star_density,star_prot,distance,RA,Dec
2065,Kepler-920,,,TIC 267570317,b,Kepler,1,2,Transit,2016,6.53192704,0.065,2.42,6.44,2.5,0.0,153.14,907.0,84.79,0.2007,,,5403.0,0.85,0.89,0.0,-0.183,4.54,4.37,1.85865,,1001.68,284.2969363,49.1585983
2105,Kepler-97,,,TIC 399951991,b,Kepler,1,2,Transit,2014,2.58664,0.0356,1.48,3.51,5.44,0.0,767.96,1328.0,87.61,0.41,1.65,,5779.0,0.98,0.94,-0.2,-0.025,4.43,8.42,1.53,,400.907,287.3265292,48.6733443
2108,Kepler-990,,,TIC 273591945,c,Kepler,1,2,Transit,2016,0.53835431,0.0127,1.53,2.96,4.54,0.0,7609.22,2386.0,82.87,0.1093,,,5948.0,1.08,1.05,0.01,-0.05,4.39,3.55,1.52952,,802.163,297.9381813,46.8813194
2119,Kepler-760,,,TIC 158494681,c,Kepler,1,2,Transit,2016,2.46697439,0.0333,1.48,2.79,4.73,0.0,453.65,1139.0,86.61,0.83,,,5322.0,0.85,0.89,0.08,-0.28,4.54,4.57,5.32948,,792.336,287.5931997,44.1794278
2178,Kepler-266,,,TIC 271046092,b,Kepler,1,2,Transit,2014,6.61833,0.071,2.48,6.71,2.42,0.0,230.4,1066.0,89.82,0.36,,,5885.0,1.03,0.95,0.16,0.012,4.45,4.79,1.11507,,1370.79,294.4843821,44.1669355
2181,Kepler-197,,,TIC 27397848,b,Kepler,2,4,Transit,2014,5.599308,0.06,1.02,1.04,5.39,0.02,431.26,1142.0,79.07,0.22,,,6004.0,1.12,0.86,-0.441,0.222,4.3,5.37,0.9219,,330.575,295.2264739,50.5592348
2271,Kepler-1388,,,TIC 164524311,c,Kepler,1,4,Transit,2016,5.53608151,0.0519,2.26,5.73,2.73,0.0,51.04,566.0,86.33,0.1665,,,4098.0,0.61,0.63,0.02,-1.107,4.67,4.47,3.82796,,453.795,283.3360156,47.1744499
2287,Kepler-1154,,,TIC 169561256,c,Kepler,1,2,Transit,2016,8.45808312,0.0875,2.36,6.17,2.58,0.0,339.57,1117.0,87.5,0.1625,,,6327.0,1.43,1.26,0.04,0.452,4.23,2.29,2.48739,,1460.1,297.4771158,39.8772345
2297,Kepler-304,,,TIC 377909730,b,Kepler,1,4,Transit,2014,3.295709,0.039,2.86,8.55,2.01,0.0,139.15,875.0,88.89,0.42,,,4731.0,0.69,0.8,0.05,-0.662,4.63,2.09,4.07394,,434.684,294.4418031,40.5575408
2301,Kepler-319,,,TIC 121786630,c,Kepler,1,3,Transit,2014,6.941357,0.069,2.63,7.41,2.24,0.0,136.34,876.0,86.78,0.13,,,5526.0,0.9,0.96,-0.015,-0.181,4.49,3.55,11.00889,,503.436,288.8119782,39.7706431
2304,Kepler-179,,,TIC 268057162,c,Kepler,1,2,Transit,2014,6.40013,0.064,2.0,4.66,3.2,0.0,115.98,810.0,85.83,0.03,,,5302.0,0.76,0.84,0.123,-0.278,4.61,0.6,3.92897,,605.68,298.6636163,47.7619329
2305,Kepler-318,,,TIC 274198407,b,Kepler,1,2,Transit,2014,4.662715,0.056,4.71,19.9,1.05,0.0,333.15,1039.0,87.66,0.07,,,5746.0,1.19,1.02,0.332,0.004,4.33,1.62,2.1145,,489.141,298.4828337,46.7936357
2306,Kepler-304,,,TIC 377909730,e,Kepler,1,4,Transit,2016,1.49914695,0.0232,1.2,1.87,5.95,0.0,397.25,1137.0,87.54,0.0624,,,4817.0,0.73,0.8,0.05,-0.662,4.61,2.09,4.41479,,434.684,294.4418031,40.5575408
2307,Kepler-181,,,TIC 27767452,c,Kepler,1,2,Transit,2014,4.302149,0.049,1.99,4.62,3.22,0.0,168.19,937.0,87.09,0.05,,,5333.0,0.75,0.85,-0.023,-0.379,4.62,0.5,4.86015,,609.283,296.1512831,50.0957806
