   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    0.49500  0.00000000000E+00   1.41223   3.87104  11.33012 -30.00000   0.44876   0.00000  0.00000E+00  9.04450E-01  3.80200E-02  1.11600E-02     0.64420     0.42590     0.00000     0.00040    -0.07019  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000000000
        2    0.49500  1.53490000000E+02   1.41218   3.87104  11.33010 -30.00000   0.44876   0.00000  0.00000E+00  9.04450E-01  3.80200E-02  1.11600E-02     0.56190     0.42600     0.00000     0.00040     0.01170  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000028441
        3    0.49500  3.45360000000E+02   1.41207   3.87104  11.33005 -30.00000   0.44876   0.00000  0.00000E+00  9.04440E-01  3.80200E-02  1.11600E-02     0.64960     0.42610     0.00000     0.00040    -0.07563  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000063994
        4    0.49500  5.85190000000E+02   1.41188   3.87103  11.32997 -30.00000   0.44876   0.00000  0.00000E+00  9.04440E-01  3.80300E-02  1.11600E-02     0.64280     0.42620     0.00000     0.00040    -0.06904  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000108433
        5    0.49500  8.84980000000E+02   1.41157   3.87103  11.32983 -30.00000   0.44876   0.00000  0.00000E+00  9.04440E-01  3.80300E-02  1.11600E-02     0.63950     0.42650     0.00000     0.00040    -0.06602  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000163983
        6    0.49500  1.25972000000E+03   1.41107   3.87101  11.32961 -30.00000   0.44876   0.00000  0.00000E+00  9.04430E-01  3.80300E-02  1.11600E-02     0.63800     0.42690     0.00000     0.00040    -0.06496  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000233421
        7    0.49500  1.72814000000E+03   1.41031   3.87096  11.32932 -30.00000   0.44876   0.00000  0.00000E+00  9.04430E-01  3.80400E-02  1.11600E-02     0.63710     0.42760     0.00000     0.00040    -0.06470  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000320217
        8    0.49500  2.31367000000E+03   1.40930   3.87085  11.32904 -30.00000   0.44876   0.00000  0.00000E+00  9.04420E-01  3.80500E-02  1.11600E-02     0.63600     0.42850     0.00000     0.00040    -0.06451  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000428713
        9    0.49500  3.04558000000E+03   1.40819   3.87062  11.32895 -30.00000   0.44876   0.00000  0.00000E+00  9.04410E-01  3.80600E-02  1.11600E-02     0.63420     0.42950     0.00000     0.00040    -0.06372  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000564333
       10    0.49500  3.96046000000E+03   1.40728   3.87021  11.32932 -30.00000   0.44876   0.00000  0.00000E+00  9.04400E-01  3.80700E-02  1.11600E-02     0.63110     0.43020     0.00000     0.00040    -0.06143  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000733856
       11    0.49500  5.10406000000E+03   1.40700   3.86958  11.33044 -30.00000   0.44876   0.00000  0.00000E+00  9.04380E-01  3.80800E-02  1.11600E-02     0.62620     0.43040     0.00000     0.00040    -0.05670  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000945760
       12    0.49500  6.53356000000E+03   1.40766   3.86871  11.33250 -30.00000   0.44876   0.00000  0.00000E+00  9.04360E-01  3.81000E-02  1.11600E-02     0.61920     0.42970     0.00000     0.00040    -0.04889  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0001210640
       13    0.49500  8.32046000000E+03   1.40942   3.86765  11.33551 -30.00000   0.44876   0.00000  0.00000E+00  9.04340E-01  3.81200E-02  1.11600E-02     0.61010     0.42790     0.00000     0.00040    -0.03808  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0001541745
       14    0.49500  1.05540600000E+04   1.41212   3.86649  11.33917 -30.00000   0.44876   0.00000  0.00000E+00  9.04310E-01  3.81500E-02  1.11600E-02     0.59990     0.42530     0.00000     0.00040    -0.02520  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0001955621
       15    0.49500  1.33460600000E+04   1.41536   3.86540  11.34298 -30.00000   0.44876   0.00000  0.00000E+00  9.04280E-01  3.81800E-02  1.11700E-02     0.58960     0.42230     0.00000     0.00040    -0.01194  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0002472967
       16    0.49500  1.68360600000E+04   1.41855   3.86456  11.34625 -30.00000   0.44876   0.00000  0.00000E+00  9.04230E-01  3.82300E-02  1.11700E-02     0.58090     0.41950     0.00000     0.00040    -0.00031  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0003119649
       17    0.49500  2.11985600000E+04   1.42108   3.86416  11.34830 -30.00000   0.44876   0.00000  0.00000E+00  9.04180E-01  3.82800E-02  1.11700E-02     0.57480     0.41740     0.00000     0.00040     0.00779  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0003928001
       18    0.49500  2.66516600000E+04   1.42245   3.86429  11.34873 -30.00000   0.44876   0.00000  0.00000E+00  9.04110E-01  3.83500E-02  1.11700E-02     0.57220     0.41660     0.00000     0.00040     0.01124  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0004938437
       19    0.49500  3.34680600000E+04   1.42250   3.86487  11.34760 -30.00000   0.44876   0.00000  0.00000E+00  9.04020E-01  3.84300E-02  1.11700E-02     0.57280     0.41700     0.00000     0.00040     0.01027  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0006201486
       20    0.49500  4.19885600000E+04   1.42153   3.86569  11.34548 -30.00000   0.44876   0.00000  0.00000E+00  9.03910E-01  3.85300E-02  1.11700E-02     0.57520     0.41840     0.00000     0.00040     0.00647  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0007780298
       21    0.49500  5.26395600000E+04   1.42010   3.86648  11.34318 -30.00000   0.44876   0.00000  0.00000E+00  9.03780E-01  3.86700E-02  1.11800E-02     0.57770     0.42020     0.00000     0.00040     0.00214  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0009753882
       22    0.49500  6.59525600000E+04   1.41878   3.86709  11.34130 -30.00000   0.44876   0.00000  0.00000E+00  9.03610E-01  3.88300E-02  1.11800E-02     0.57930     0.42190     0.00000     0.00040    -0.00104  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0012220723
       23    0.49500  8.25945600000E+04   1.41779   3.86752  11.33995 -30.00000   0.44876   0.00000  0.00000E+00  9.03390E-01  3.90300E-02  1.11900E-02     0.57960     0.42320     0.00000     0.00040    -0.00270  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0015304413
       24    0.49500  1.03396560000E+05   1.41707   3.86785  11.33894 -30.00000   0.44876   0.00000  0.00000E+00  9.03140E-01  3.92800E-02  1.11900E-02     0.57920     0.42430     0.00000     0.00040    -0.00347  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0019158933
       25    0.49500  1.29399560000E+05   1.41648   3.86814  11.33805 -30.00000   0.44876   0.00000  0.00000E+00  9.02810E-01  3.95900E-02  1.12000E-02     0.57870     0.42530     0.00000     0.00040    -0.00389  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0023977176
       26    0.49500  1.61902560000E+05   1.41595   3.86842  11.33723 -30.00000   0.44876   0.00000  0.00000E+00  9.03020E-01  3.94000E-02  1.11900E-02     0.57830     0.42600     0.00000     0.00040    -0.00416  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0029999841
       27    0.49500  2.02531560000E+05   1.41546   3.86868  11.33647 -30.00000   0.44876   0.00000  0.00000E+00  9.02500E-01  3.98900E-02  1.12100E-02     0.57790     0.42700     0.00000     0.00040    -0.00473  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0037528218
       28    0.49500  2.53317560000E+05   1.41505   3.86889  11.33584 -30.00000   0.44876   0.00000  0.00000E+00  9.02210E-01  4.01800E-02  1.12100E-02     0.57750     0.42770     0.00000     0.00040    -0.00510  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0046938643
       29    0.49500  3.16800560000E+05   1.41474   3.86905  11.33537 -30.00000   0.44876   0.00000  0.00000E+00  9.01650E-01  4.07100E-02  1.12300E-02     0.57730     0.42820     0.00000     0.00040    -0.00540  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0058701767
       30    0.49500  3.96154560000E+05   1.41456   3.86913  11.33510 -30.00000   0.44876   0.00000  0.00000E+00  9.00950E-01  4.13900E-02  1.12400E-02     0.57720     0.42850     0.00000     0.00040    -0.00552  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0073405718
       31    0.49500  4.95346560000E+05   1.41453   3.86913  11.33511 -30.00000   0.44876   0.00000  0.00000E+00  9.00100E-01  4.22000E-02  1.12600E-02     0.57720     0.42860     0.00000     0.00040    -0.00555  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0091785565
       32    0.49500  6.19336560000E+05   1.41470   3.86901  11.33543 -30.00000   0.44876   0.00000  0.00000E+00  8.99020E-01  4.32300E-02  1.12900E-02     0.57730     0.42830     0.00000     0.00040    -0.00538  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0114760373
       33    0.49500  7.74326560000E+05   1.41510   3.86876  11.33613 -30.00000   0.44876   0.00000  0.00000E+00  8.97670E-01  4.45300E-02  1.13300E-02     0.57740     0.42800     0.00000     0.00040    -0.00519  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0143479346
