   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
        1    0.47000  0.00000000000E+00   1.06540   4.20150  10.49580 -30.00000   0.44874   0.00000  0.00000E+00  9.04450E-01  3.80200E-02  1.11600E-02     0.07980     0.93670     0.00000     0.00090    -0.01551  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000000000
        2    0.47000  1.53490000000E+02   1.06539   4.20150  10.49580 -30.00000   0.44874   0.00000  0.00000E+00  9.04450E-01  3.80200E-02  1.11600E-02     0.07000     0.93670     0.00000     0.00090    -0.00577  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000026868
        3    0.47000  3.45360000000E+02   1.06536   4.20149  10.49580 -30.00000   0.44874   0.00000  0.00000E+00  9.04440E-01  3.80200E-02  1.11600E-02     0.07890     0.93680     0.00000     0.00090    -0.01474  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000060454
        4    0.47000  5.85190000000E+02   1.06531   4.20147  10.49581 -30.00000   0.44874   0.00000  0.00000E+00  9.04440E-01  3.80300E-02  1.11600E-02     0.07970     0.93690     0.00000     0.00090    -0.01566  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000102435
        5    0.47000  8.84980000000E+02   1.06525   4.20145  10.49581 -30.00000   0.44874   0.00000  0.00000E+00  9.04440E-01  3.80300E-02  1.11600E-02     0.07980     0.93700     0.00000     0.00090    -0.01595  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000154911
        6    0.47000  1.25972000000E+03   1.06518   4.20143  10.49583 -30.00000   0.44874   0.00000  0.00000E+00  9.04430E-01  3.80300E-02  1.11600E-02     0.07980     0.93720     0.00000     0.00090    -0.01613  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000220508
        7    0.47000  1.72814000000E+03   1.06515   4.20140  10.49587 -30.00000   0.44874   0.00000  0.00000E+00  9.04430E-01  3.80400E-02  1.11600E-02     0.07980     0.93730     0.00000     0.00090    -0.01619  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000302502
        8    0.47000  2.31367000000E+03   1.06518   4.20138  10.49593 -30.00000   0.44874   0.00000  0.00000E+00  9.04420E-01  3.80500E-02  1.11600E-02     0.07980     0.93720     0.00000     0.00090    -0.01609  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000404996
        9    0.47000  3.04558000000E+03   1.06530   4.20136  10.49602 -30.00000   0.44874   0.00000  0.00000E+00  9.04410E-01  3.80600E-02  1.11600E-02     0.07970     0.93690     0.00000     0.00090    -0.01576  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000533113
       10    0.47000  3.96046000000E+03   1.06553   4.20135  10.49615 -30.00000   0.44874   0.00000  0.00000E+00  9.04400E-01  3.80700E-02  1.11600E-02     0.07960     0.93650     0.00000     0.00090    -0.01517  5.72900E-01  3.67700E-01  8.80600E-03  4.67500E-03  2.60500E-02   1.0000693258
